code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;22.6;22.9;23.4;23.4;22.4;22.9;23.9;23.1;23.1;23.7;23.3;23.6;-999;23.9;23.3;23.5;24.4;22.7;24.9;22.5;23.3;23.6;-999;23.9;23.4;23.6;24.3;22.7;25;22.5;25.1;24.1;23.9;-999;23.5
51340;31.1;31.4;31.4;31.6;31;31.5;31.7;32;31.1;31.7;31.3;31.2;31.4;31.6;30.3;31.5;32;30.4;31.8;31;31.3;31.1;31.4;31.6;30.3;31.5;32;30.4;31.9;31;32.3;32.6;32.5;-999;31.4
51341;31;31;31.3;31.3;31;31.3;31.6;31.9;30.8;31.5;31.4;30.8;31.6;31.8;30.4;31.4;31.9;30.3;31.7;31.2;31.3;30.7;31.6;31.8;30.4;31.4;31.9;30.3;31.7;31.2;32.1;32.4;32.3;-999;31.3
51342;31.3;31.5;31.4;31.7;31;31.6;31.7;31.8;31;31.5;31;31.5;31.2;31.5;30.5;31.7;31.8;30.2;31.8;30.6;31;31.4;31.2;31.5;30.5;31.6;31.8;30.2;31.9;30.6;32.1;32.1;32.5;-999;31.4
51344;30.7;30.8;30.9;31;30.8;31;31.3;31.6;30.6;31.4;31.1;30.6;30.8;31.4;30;31.2;31.6;30.2;31.2;30.8;31.1;30.5;30.8;31.4;30;31.2;31.6;30.2;31.3;30.8;31.8;32.3;32.3;-999;31
51345;29.1;29.3;29.6;29.6;29.1;29.5;30;30.2;29.1;29.9;29.5;29.2;-999;29.7;28.3;29.7;30.4;28.3;30.2;29.2;29.4;29.1;-999;29.7;28.3;29.8;30.4;28.3;30.3;29.2;30.6;30.9;30.5;-999;29.6
51346;31.1;31.1;31.2;31.6;30.7;31.4;31.5;31.9;31.1;31.3;30.8;31.4;-999;31.3;30.3;31.5;32;30;31.9;30.4;30.8;31.3;-999;31.3;30.4;31.5;32;30;32.1;30.4;32.3;32.2;32.2;-999;31.3
51347;23.6;23.7;24.2;24.3;23.3;23.8;24.7;24.1;24;24.5;24;24.5;-999;24.6;24;24.4;25.2;23.6;25.7;23.3;24;24.4;-999;24.6;24.1;24.5;25.2;23.6;25.8;23.3;26;25.2;24.8;-999;24.4
51348;29;28.8;29.2;29.7;28.6;29.2;29.8;29.8;29.4;29.4;28.9;30;-999;29.9;29;29.7;30.2;28.1;30.4;28.3;28.9;29.9;-999;29.9;29;29.7;30.2;28.1;30.5;28.3;31.1;29.7;30.4;-999;29.5
51349;28.3;28.4;28.7;28.9;28;28.6;29.1;29.2;28.5;28.9;28.4;28.8;-999;28.8;27.9;29;29.7;27.6;29.8;27.9;28.4;28.7;-999;28.8;28;29;29.7;27.6;29.9;27.9;30.2;29.9;29.5;-999;28.8
51351;26.5;26.8;27.2;27.2;26.4;27;27.6;27.6;26.8;27.5;27;27;-999;27.3;26.2;27.5;28.2;26;28.4;26.5;26.9;26.9;-999;27.3;26.3;27.6;28.2;26;28.5;26.5;28.7;28.4;27.8;-999;27.2
51352;28.8;28.8;29.7;29.7;29.2;29.2;30.2;30.2;29.3;30.3;29.5;30.2;30.2;30.6;29.6;30.1;30.4;28.4;30.4;28.6;29.4;30.2;30.1;30.6;29.7;30.1;30.3;28.4;30.5;28.5;31.1;29.5;30.4;-999;29.8
51354;24.6;24.6;25.1;25.4;24.3;24.8;25.6;25.2;25;25.4;24.9;25.6;-999;25.7;25;25.3;26.1;24.5;26.5;24.3;24.9;25.6;-999;25.7;25.1;25.4;26.1;24.5;26.6;24.3;26.9;25.9;25.9;-999;25.3
51359;26.1;26.1;26.5;26.8;25.7;26.3;27;26.7;26.4;26.7;26.3;26.9;-999;26.9;26.2;26.8;27.6;25.8;27.9;25.6;26.3;26.8;-999;26.9;26.3;26.8;27.5;25.8;28;25.6;28.3;27.5;27.3;-999;26.7
51361;32.1;32;32;32.6;31.6;32.4;32.5;32.8;32.1;32.2;31.6;32.6;31.5;32.3;31.4;32.6;32.8;30.5;32.9;31.2;31.6;32.5;31.5;32.3;31.5;32.6;32.8;30.5;33;31.1;33.3;32.6;33.3;-999;32.1
51363;31.5;31.2;31.7;31.9;31.6;31.7;32.4;32.5;32.1;32.4;31.2;32.5;32.5;32.7;31.6;32.6;32.4;29.4;32.2;30.3;31.2;32.4;32.4;32.7;31.7;32.6;32.4;29.4;32.4;30.2;33.1;31.6;33.3;-999;31.9
51364;31.8;31.4;31.8;32.3;31.5;32;32.4;32.7;32.2;32.1;31.3;32.7;32.2;32.6;31.4;32.7;32.7;29.8;32.7;30.7;31.3;32.6;32.2;32.6;31.6;32.7;32.7;29.8;32.8;30.6;33.6;31.8;33.5;-999;32
51377;24.5;25;25.5;25.2;24.7;24.9;26;25.1;25;25.9;25.4;25.8;-999;26.5;25.5;25.4;26.1;24.4;27;24.9;25.4;25.8;-999;26.5;25.5;25.5;26.1;24.4;27;24.9;26.7;25.4;25.5;-999;25.5
51380;25.9;26.2;26.9;26.6;25.9;26.4;27.4;26.8;26.2;27.1;26.7;26.5;-999;27.1;26;27;27.7;25.4;28.2;26;26.6;26.4;-999;27.1;26.1;27.1;27.7;25.4;28.3;26;28.3;27.6;27.2;-999;26.8
51384;22.9;23.3;23.9;23.7;22.9;23.2;24.4;23.4;23.4;24.2;23.7;24.2;-999;24.7;23.8;23.8;24.6;23;25.4;23.1;23.7;24.1;-999;24.7;23.9;23.9;24.6;23;25.4;23.1;25.4;24.1;24.1;-999;23.9
51388;23.9;24.5;25.2;24.5;24;24.5;25.8;24.5;24.3;25.2;25;24.8;-999;25.9;24.9;25.2;25.7;23.6;26.7;24.3;25;24.8;-999;25.9;25;25.3;25.7;23.6;26.7;24.3;26.2;25;24.9;-999;25
51389;25.8;25.9;26.6;26.7;25.9;26.1;27.1;26.6;26.3;27;26.5;27.1;30.6;27.5;26.5;26.7;27.4;25.8;27.8;25.8;26.4;27.1;30.5;27.5;26.6;26.7;27.4;25.8;27.9;25.8;28.1;26.8;27.1;-999;27
