code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;18;17.8;17.4;17.6;17.3;17.4;18.1;18.7;17.3;17.7;17.4;17.8;-999;18.1;17.6;17.5;18.5;17.9;18.2;17.3;18.4;17.9;18.1;18.1;18.5;19.2;18.2;18;18.6;18.8;18.5;18.2;18.1;-999;18
51340;26.7;27;26.8;27.2;26.5;26.5;27.1;28;26.7;26.7;26.8;26.9;26.7;27.3;26.2;26.9;27.6;26.5;27.1;26.3;27.5;27.3;27.3;27.8;27.4;27.6;27.1;27;27.7;27.8;27.3;27.8;27.8;-999;27.1
51341;26.5;26.7;26.7;27;26.6;26.4;27;28.2;26.5;26.7;26.9;26.7;26.7;27.3;26.4;27;27.5;26.6;27.2;26.6;27.1;27.5;27.2;28;27.3;27.7;27.1;27.1;27.6;27.8;27.3;27.7;27.7;-999;27.1
51342;27.6;27.8;27.6;28.1;27.1;27.5;27.8;28.4;27.4;27.2;27.2;27.7;27.5;27.8;26.9;27.4;28.2;26.9;27.8;26.9;28.5;28;28;28.1;27.9;28;27.7;27.7;28.6;28.6;27.8;28.1;28.5;-999;27.8
51344;27;27.3;27.3;27.7;27.2;27;27.7;28.6;27.2;27.4;27.5;27.4;27.2;27.9;26.9;27.6;28.2;27.2;27.7;27.1;27.8;28.1;27.9;28.6;28;28.1;27.7;27.6;28.2;28.4;27.9;28.4;28.4;-999;27.7
51345;24.6;25;24.7;25;24.5;24.4;25;26.4;24.7;24.8;24.8;24.9;24.8;25.3;24.3;25;25.7;24.6;25.2;24.4;25.4;25.2;25.2;26.2;25.5;26.1;25;25.1;25.7;25.7;25.3;25.9;25.6;-999;25.1
51346;27;27.1;26.8;27.2;26.2;26.6;26.8;28;26.5;26.4;26.4;26.9;26.8;27.1;26.1;26.7;27.6;26.2;27.2;26.1;27.7;27;27.2;27.4;27.3;27.6;26.9;26.9;27.8;27.8;27.3;27.4;27.5;-999;27
51347;19.5;19.3;18.9;19.2;18.7;18.8;19.4;20.2;18.8;19.2;18.9;19.3;-999;19.5;19;19;20;19.3;19.7;18.8;20;19.3;19.7;19.6;20;20.6;19.7;19.5;20.1;20.2;20;19.8;19.6;-999;19.5
51348;25.8;25.3;24.9;25.8;24.6;24.9;25.2;26.2;24.8;24.8;24.6;25.4;25;25.4;24.6;25.2;26.1;24.6;25.7;24.5;26.3;25.2;25.3;25;25.6;26.3;25.2;25.5;26.2;26.1;26;24.9;25.7;-999;25.3
51349;24.3;24.4;24;24.4;23.6;23.8;24.2;25.5;23.9;24;23.9;24.3;25;24.4;23.7;24.2;25;24;24.6;23.6;25;24.3;24.6;24.9;24.9;25.4;24.5;24.4;25.1;25.2;24.8;24.9;24.7;-999;24.5
