code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;556.6;553.2;539.5;547.1;535.7;538.7;559.6;581.2;537.6;550;540.2;551.3;-999;560.7;544.8;542.1;572.6;554.4;565.4;537.8;571.3;554.8;561.8;561.1;574.7;594.6;564.2;558.6;577.6;581.4;573.4;565.3;560.7;-999;558.4
51340;826.7;836;831.3;842.5;822.1;822.3;840.9;869.5;827.8;827.4;830.2;834.6;828.9;845.6;813.2;832.8;855.4;822.9;839.7;816.8;852.1;847.2;847.6;862.4;850.5;854.7;841.5;837.1;859.4;863.3;845.6;862.6;860.9;-999;840.9
51341;822.7;828.1;828;838.3;823.4;817.9;837.5;813.5;823;828.4;832.8;828.6;827.5;827.3;817;836;848.7;825.4;841.7;816.5;840.7;843.4;842.3;863;847.5;827.3;839.4;839.4;854.8;840.9;846.7;859.2;845.4;-999;834.9
51342;855.2;863.2;857;869.8;840.5;852;860.5;881;849.9;842.5;843.3;858.1;853.4;863;832.4;850.1;875.1;835.3;863.2;834;882.3;867.4;868.5;869.9;865.9;867.3;857.2;857.6;885.4;886.2;862.1;869.7;883.7;-999;860.7
51344;837.3;846.5;847;858.8;843;838.3;860;885.8;842.5;849.2;851.9;848.6;843.7;864.8;832.9;854.3;873.7;843.5;857.2;839.3;861.4;870.2;863.9;885.3;869.4;870.9;858.3;856.4;874.6;880.2;864.5;879.9;879.3;-999;858.6
51345;763.1;773.7;764.6;775.5;759.9;756.1;775.7;819.5;765.9;770;768.7;770.8;768.4;782.9;752.3;775.1;795.9;761.4;780;757;786;782.1;781.1;811.6;791.9;808.4;774.7;778.7;796.5;796.8;784.6;803.2;793;-999;779.6
51346;835.8;839.1;829.8;843.9;812.2;824.1;831.1;866.5;822.5;818.7;818.6;834.9;832;838.8;809.7;828;854.3;813.4;841.9;809.7;859.3;837.8;844.5;847.9;847.4;856.1;833.8;832.4;860.3;860.6;846.6;850.6;851.8;-999;837.4
51347;603.9;598.8;586.6;596.1;580.6;584.3;602.3;627.7;582.4;594.4;585.7;597.3;-999;604.1;588.4;589.8;619.3;599.2;611.4;582.1;619.4;599.1;609.4;607.1;621.2;638.6;611.9;603.4;623.9;627.2;620.2;612.3;607.8;-999;604.2
51348;798.3;783.1;771.6;798.5;761.8;773;782.3;812.5;767.4;767.6;762.7;787.3;776;786.3;763.6;781;803.3;763.6;796.8;759.9;814.5;780.6;784.9;774.7;793.2;814.4;780;790;811;808.2;806.5;771.9;795.8;-999;785.5
51349;754.8;756.4;745.2;756.7;731.7;738.9;751.3;790.8;739.6;744.1;740.2;752.5;774.1;757.5;733.9;749.4;775;742.5;763.6;732.6;775.3;753.6;763.4;772.2;772.4;788.2;758.2;755.2;779.1;779.8;769.8;773.4;766.5;-999;758.7
51351;687.7;694.6;681.9;690.3;671.9;673.9;691.9;736.8;680.2;687.9;682.7;689.2;774.1;697.3;673.7;691.8;714.2;685.1;702.1;674.4;708.6;691.9;700;722.6;713.1;735.1;696;697.2;717.3;717.2;705.9;717.9;704.8;-999;700.3
51352;786.3;772.4;764;789.1;766;767.3;785.4;810.7;762.7;770.4;768.7;784.2;772.4;786.3;768.8;788.1;805.4;762.7;790.8;757.3;807;781.4;774.8;766.5;789.4;807.7;778.1;799.5;801.4;804.2;794.1;756.5;794.8;-999;782.3
51354;649.1;638.8;626.9;642.1;621.5;626.5;642.8;667.1;622.8;632.4;624.4;640.2;652.5;646.4;627.2;631.7;661.5;635.9;652.6;622.3;664.2;638.3;647.3;640.7;658.7;676.4;649.9;645.9;664.4;667;661.6;644.1;649.1;-999;644.6
51359;690.6;684.2;672.6;685.5;662.4;670.3;682.7;712.4;666.4;674.1;667.2;682.8;-999;687.1;668.6;674.9;704.2;676.4;695.6;663.4;707;682.5;693.1;688.8;702.9;718.7;691.6;685.6;708.7;710.6;704.3;693.7;692.7;-999;687.5
