code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;23.8;24.2;24.9;24.6;23.8;24.2;25.5;24.4;24.3;25.1;24.7;24.7;-999;25.3;24.5;24.9;25.7;23.7;26.3;23.9;24.7;24.7;-999;25.3;24.6;25;25.7;23.7;26.4;23.9;26.4;25.4;25.1;-999;24.8
51334;23.6;23.7;24.2;24.3;23.3;23.8;24.7;24.1;24;24.5;24;24.5;-999;24.6;24;24.4;25.2;23.6;25.7;23.3;24;24.4;-999;24.6;24.1;24.5;25.2;23.6;25.8;23.3;26;25.2;24.8;-999;24.4
51336;22.8;23.1;23.6;23.6;22.6;23.1;24.1;23.3;23.3;23.9;23.4;23.8;-999;24.1;23.4;23.7;24.6;22.9;25.1;22.7;23.4;23.8;-999;24.1;23.5;23.8;24.5;22.9;25.2;22.7;25.3;24.4;24.1;-999;23.7
51337;21;21.4;22.1;21.8;20.9;21.3;22.7;21.3;21.4;22.3;21.9;22.1;-999;22.8;22;22;22.8;21;23.6;21.1;21.9;22.1;-999;22.8;22.1;22.1;22.8;21;23.7;21.1;23.6;22.3;22.2;-999;22
51350;24.7;24.9;25.4;25.4;24.5;25;25.9;25.5;25.1;25.7;25.2;25.4;-999;25.6;24.8;25.6;26.4;24.6;26.8;24.6;25.2;25.4;-999;25.6;24.9;25.7;26.4;24.6;26.9;24.6;27.1;26.5;26;-999;25.5
51366;25.9;26.7;27.2;26.3;26.2;26.9;27.7;26.8;26.5;27.2;27;26.9;-999;28.4;27;27.2;27.5;25.6;28.8;26.6;27;26.9;-999;28.4;27.1;27.3;27.5;25.6;28.8;26.6;27.9;26.5;26.5;-999;27
51368;25.9;26.7;27.2;26.3;26.2;26.9;27.7;26.8;26.5;27.2;27;26.9;-999;28.4;27;27.2;27.5;25.6;28.8;26.6;27;26.9;-999;28.4;27.1;27.3;27.5;25.6;28.8;26.6;27.9;26.5;26.5;-999;27
51369;24.8;25.5;26.1;25.3;25.1;25.7;26.7;25.6;25.4;26.2;25.9;25.9;-999;27.2;26;26.1;26.5;24.6;27.7;25.4;25.9;25.9;-999;27.2;26;26.1;26.5;24.6;27.7;25.5;26.9;25.5;25.5;-999;26
51371;26;26.7;27.3;26.4;26.3;27;27.8;26.8;26.5;27.3;27.1;26.9;-999;28.4;27.1;27.3;27.6;25.6;28.9;26.6;27.1;26.9;-999;28.4;27.1;27.4;27.6;25.6;28.9;26.7;27.9;26.6;26.6;-999;27.1
51372;22.4;23;23.7;23;22.5;23;24.3;22.9;22.9;23.8;23.5;23.5;-999;24.6;23.6;23.6;24.2;22.3;25.3;22.8;23.5;23.5;-999;24.6;23.7;23.7;24.2;22.3;25.3;22.9;24.8;23.3;23.3;-999;23.6
51375;26.3;27;27.4;26.7;26.7;27.2;28;27.2;26.9;27.7;27.4;27.4;-999;28.7;27.3;27.5;27.8;26.1;29.1;27;27.4;27.4;-999;28.7;27.3;27.5;27.8;26.1;29.1;27.1;28.1;26.8;26.9;-999;27.4
51378;22.3;22.9;23.6;23;22.4;22.9;24.2;22.8;22.8;23.7;23.5;23.4;-999;24.5;23.6;23.5;24.1;22.2;25.2;22.8;23.5;23.4;-999;24.5;23.6;23.6;24.1;22.2;25.2;22.8;24.7;23.3;23.2;-999;23.5
51382;22.5;23.1;23.8;23.1;22.6;23.1;24.4;23;23;23.9;23.6;23.6;-999;24.7;23.7;23.7;24.3;22.4;25.3;22.9;23.6;23.6;-999;24.7;23.8;23.7;24.2;22.4;25.4;23;24.9;23.4;23.4;-999;23.6
51385;25.4;26;26.5;26.1;25.7;25.9;27;26.1;25.9;26.9;26.4;26.7;-999;27.6;26.4;26.4;27;25.3;28;25.9;26.4;26.7;-999;27.6;26.5;26.4;27;25.3;28;26;27.5;26.2;26.3;-999;26.5
51386;21.1;21.6;22.3;21.9;21.1;21.5;22.9;21.5;21.6;22.5;22.1;22.3;-999;23;22.2;22.2;23;21.2;23.8;21.3;22.1;22.2;-999;23;22.3;22.3;22.9;21.2;23.9;21.4;23.7;22.4;22.3;-999;22.2
51391;27;27.6;28;27.5;27.4;27.6;28.5;27.9;27.5;28.6;28;28.2;28.3;29.1;28;28;28.5;26.9;29.4;27.6;28;28.2;28.3;29.1;28;28;28.4;26.9;29.5;27.7;28.8;27.6;27.8;-999;28.1
51393;24;24.6;25.1;24.6;24.3;24.6;25.6;24.6;24.6;25.5;25;25.3;-999;26.2;25.1;25;25.6;23.9;26.7;24.5;25;25.3;-999;26.2;25.1;25;25.6;23.9;26.7;24.6;26.2;24.9;24.9;-999;25.1
51395;26.2;26.9;27.3;26.7;26.7;27;27.8;27.1;26.8;27.7;27.3;27.4;28.3;28.5;27.2;27.3;27.7;26.1;28.9;27;27.3;27.4;28.3;28.5;27.3;27.3;27.7;26.1;29;27;28.1;26.8;26.9;-999;27.4
