code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;18.7;18.8;18.3;18.5;18.2;18.3;19;19.9;18.4;18.8;18.4;18.7;-999;19.1;18.5;18.5;19.4;18.8;19.2;18.3;19.2;18.9;19;19.4;19.5;20.3;18.9;19;19.6;19.6;19.3;19.3;19;-999;19
51334;19.5;19.3;18.9;19.2;18.7;18.8;19.4;20.2;18.8;19.2;18.9;19.3;-999;19.5;19;19;20;19.3;19.7;18.8;20;19.3;19.7;19.6;20;20.6;19.7;19.5;20.1;20.2;20;19.8;19.6;-999;19.5
51336;18.3;18.2;17.8;18;17.6;17.7;18.4;19.1;17.7;18.1;17.8;18.1;-999;18.4;17.9;17.9;18.8;18.2;18.6;17.7;18.8;18.2;18.5;18.5;18.9;19.5;18.6;18.4;19;19.1;18.9;18.6;18.4;-999;18.4
51337;15.3;15.3;14.7;14.9;14.7;14.8;15.6;16.1;14.8;15.2;14.9;15.2;-999;15.6;15.1;14.8;15.8;15.4;15.6;14.9;15.7;15.4;15.4;15.5;15.9;16.7;15.5;15.5;16;16.2;15.8;15.6;15.4;-999;15.4
51350;20.4;20.4;20;20.3;19.8;19.9;20.5;21.6;19.9;20.3;20;20.3;-999;20.6;20;20.2;21.1;20.3;20.8;19.9;21;20.4;20.7;21;21.1;21.8;20.7;20.6;21.2;21.3;21;21;20.7;-999;20.6
51366;21.9;22.2;21.4;21.4;21.8;22.1;22.3;23;22;21.9;21.9;22;21.8;23;22.2;22;22.6;21.6;22.6;21.9;22;22.6;22;22.4;22.4;23.8;21.6;22.3;22.7;22.5;22.4;22.1;22;-999;22.2
51368;21.9;22.2;21.4;21.4;21.8;22.1;22.3;23;22;21.9;21.9;22;21.8;23;22.2;22;22.6;21.6;22.6;21.9;22;22.6;22;22.4;22.4;23.8;21.6;22.3;22.7;22.5;22.4;22.1;22;-999;22.2
51369;20.2;20.5;19.7;19.7;20;20.3;20.6;21.3;20.2;20.2;20.1;20.3;21.8;21.2;20.4;20.2;20.9;20;20.8;20.2;20.4;20.8;20.3;20.6;20.8;22;20;20.6;21;20.9;20.7;20.4;20.3;-999;20.5
51371;21.7;22;21.2;21.3;21.6;21.9;22.1;22.9;21.9;21.7;21.7;21.8;21.8;22.8;22;21.8;22.4;21.4;22.4;21.7;21.8;22.4;21.8;22.3;22.3;23.7;21.4;22.1;22.5;22.3;22.2;21.9;21.9;-999;22
51372;16.7;16.9;16.2;16.2;16.4;16.6;17.2;17.7;16.6;16.7;16.5;16.7;-999;17.5;16.8;16.5;17.3;16.7;17.2;16.5;17;17.2;16.9;17.1;17.3;18.4;16.7;17.1;17.5;17.5;17.3;17;16.9;-999;17
