code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;579.9;583.5;567.8;572.1;565.7;566.7;589.7;616;570.2;581.8;571.2;578.8;-999;591.3;574.7;572.9;600.9;582.2;594.3;568.6;595.4;585.8;588.5;600.2;603.8;629.5;587.1;588.3;606.7;608.9;598.9;598.8;589;-999;587.8
51334;603.9;598.8;586.6;596.1;580.6;584.3;602.3;627.7;582.4;594.4;585.7;597.3;-999;604.1;588.4;589.8;619.3;599.2;611.4;582.1;619.4;599.1;609.4;607.1;621.2;638.6;611.9;603.4;623.9;627.2;620.2;612.3;607.8;-999;604.2
51336;567.7;563.9;550.7;558.5;546.2;549.4;569.6;592.2;548.1;560.5;550.9;562.1;-999;570.8;555;553.4;583.6;565;576.2;548.2;582.6;565.2;573.1;572.2;585.8;605;575.5;569.1;588.6;592.2;584.4;576.7;571.8;-999;569.2
51337;473.4;473.4;456.9;460.5;456.9;459;484.9;499.8;459.1;472.3;460.6;470.6;-999;484.9;468.6;458.4;490.9;476;484.6;460.5;486.6;477.4;478.3;480.9;493.2;517.7;480.6;480.1;496.5;501.2;491.2;483.1;478;-999;478
51350;632.9;633.7;620.9;628.9;613;615.9;634.1;668.9;617.9;628.8;621.1;629.9;-999;637.2;619.1;627.3;653.4;630.5;644.2;615.5;650.5;632.2;642;651.6;655;675.4;641.6;637.2;657.7;659.4;650.7;652.3;642.4;-999;638.2
51366;678.1;689;661.9;664.1;675;686.5;691;712.4;682.6;677.4;678.2;680.7;676.7;713;688.3;680.5;699.6;670.5;699.8;679;682;701.2;682.4;693.1;695.3;737.3;669.5;692.7;703;696.4;692.9;684.9;682.4;-999;687.8
51368;678.1;689;661.9;664.1;675;686.5;691;712.4;682.6;677.4;678.2;680.7;676.7;713;688.3;680.5;699.6;670.5;699.8;679;682;701.2;682.4;693.1;695.3;737.3;669.5;692.7;703;696.4;692.9;684.9;682.4;-999;687.8
51369;626.2;635.5;609.8;611.8;620.7;630.7;639.5;658.9;627.2;625.9;624.2;627.9;675.4;657.4;633.6;625.2;647.3;621.1;645.8;624.9;631.9;646.2;630.4;639.5;643.7;682.5;621;640;650.8;646.8;641.7;633;630.5;-999;636.6
51371;672.3;682.9;656.9;659.6;669.7;679.5;684.9;708.6;677.5;672.6;672.9;674.7;676.7;706.1;683.3;675.7;693.9;664.6;694.5;673.8;676.1;695.8;677.2;690.4;690.8;733.3;662.8;686.5;697.6;690.5;686.8;680.2;677.5;-999;682.6
51372;518.1;524;502;503.6;508.7;514.4;532.9;548.5;513.5;519;511.9;518.3;-999;541.8;521.9;510.1;537.7;517.9;534.7;512.8;526.8;532.1;522.8;530.2;537.5;571.1;518.3;529.4;542.8;543;535.2;527.4;522.7;-999;526
51375;669.4;681.5;652.3;653.8;664.3;678.5;681.7;702.3;671;668.8;670.3;671.5;667.8;704.7;675.6;672.5;692.9;663.6;689.1;669.7;674.9;692.9;672.8;680.3;684.1;724;665;686.8;693.3;689.6;684.5;672.2;674.1;-999;678.7
51378;514.5;520.2;498.4;500;504.9;510.5;529.3;544.8;509.7;515.5;508.2;514.7;-999;538;518.2;506.3;534;514.5;531;509.1;523.3;528.3;519.2;526.6;533.9;567.3;514.9;525.7;539.2;539.5;531.6;523.8;519.1;-999;522.3
