code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;26.3;26.7;26.4;27.8;25;27.4;26.1;27.5;27.9;26.1;25.8;27.4;27.2;23;27.3;26.7;26.5;28.4;25.7;27.6;25.7;27.5;27.3;23;27.3;26.8;26.5;28.4;25.7;27.5;26.4;27.6;27.4;27;26.7
51340;32.4;32.6;32.9;33.2;31.8;32.5;32.5;32.8;33.7;32.3;33.1;33;33.3;29.3;33.5;32.7;33.1;33;31.6;33.1;33.1;33;33.3;29.3;33.5;32.7;33.1;33;31.7;33.2;33.6;33.3;33.5;33.3;32.7
51341;31.6;31.9;32.2;32.4;31.4;31.8;31.8;32.2;32.7;31.6;32.5;32.2;32.7;29.3;32.7;32;32.1;31.9;31.3;32.5;32.4;32.3;32.7;29.3;32.7;32.1;32.1;31.9;31.3;32.5;33;32.6;32.9;32.7;32
51342;31.9;32.1;32.2;32.6;31.1;31.8;32;32.2;33.1;31.6;32.6;32.3;32.6;28.9;32.6;31.7;32.5;32.2;31.2;32.4;32.6;32.4;32.7;28.9;32.6;31.8;32.4;32.2;31.2;32.4;32.9;32.6;32.7;32.5;32
51344;31.6;31.9;32.3;32.4;31.4;31.8;31.9;32.2;32.8;31.7;32.5;32.2;32.7;29.1;33;32.1;32.3;32.1;31.3;32.5;32.5;32.2;32.7;29.1;33;32.2;32.2;32.1;31.3;32.5;33.1;32.8;32.9;32.9;32.1
51345;31;31.4;31.8;32;30.6;31.5;31.2;31.6;32.6;31;31.6;31.9;32.2;27.8;32.4;31.4;31.8;32.2;30;32.3;31.6;31.9;32.2;27.8;32.4;31.5;31.8;32.2;30;32.3;32.3;32.2;32.5;32.2;31.5
51346;33.1;33.3;33.2;33.9;32.4;33.3;33.1;33.5;34.5;32.9;33.4;33.7;33.9;29.8;34;33.2;33.6;33.9;32.1;33.8;33.4;33.7;34;29.8;34;33.3;33.6;33.9;32.2;33.8;34;33.8;34.1;33.6;33.3
51347;27.3;27.7;27.4;28.8;26.2;28.4;27.1;28.4;28.9;27.1;26.9;28.4;28.2;24;28.4;27.7;27.6;29.3;26.7;28.5;26.9;28.5;28.3;24;28.4;27.8;27.6;29.3;26.7;28.5;27.5;28.6;28.4;28;27.7
51348;32.2;32.6;32.4;33.5;31.6;32.9;32.4;33.1;33.8;32.3;31.9;33.1;33.1;29.6;33.6;32.7;32.5;33.7;31.7;33.3;31.8;33.2;33.2;29.6;33.6;32.7;32.5;33.7;31.7;33.3;32.8;33.1;33.4;33;32.6
51349;31.4;31.8;31.6;32.5;30.6;32.1;31.4;32.1;33;31.2;31.4;32.3;32.4;28;32.5;31.7;32;32.9;30.4;32.5;31.4;32.4;32.5;28;32.5;31.8;32;32.9;30.4;32.5;32.1;32.5;32.6;32.1;31.7
51351;29.7;30.2;30.2;30.9;29.1;30.6;29.8;30.6;31.5;29.6;29.8;30.9;30.9;26.2;31;30.1;30.6;31.6;28.7;31.2;29.8;30.9;31;26.2;31;30.2;30.5;31.6;28.7;31.2;30.5;31;31.1;30.7;30.2
51352;31.9;32.2;32.6;33.1;31.1;32.5;32.4;32.9;33.6;31.9;31.2;33;32.9;29.9;33.7;32.5;32.6;33.6;31.9;33;31.1;33.1;32.9;29.9;33.7;32.5;32.6;33.6;31.9;33.1;32.6;33;33;33.1;32.5
51354;28.2;28.6;28.3;29.7;27.2;29.1;28.1;29.2;29.8;28.1;27.7;29.1;29.1;25.2;29.4;28.6;28.4;30;27.7;29.3;27.7;29.2;29.1;25.2;29.4;28.7;28.3;30;27.7;29.3;28.5;29.4;29.3;28.9;28.6
51359;29.6;30;29.6;30.9;28.6;30.4;29.5;30.5;31.2;29.4;29.2;30.5;30.5;26.3;30.7;30;29.9;31.3;28.9;30.6;29.2;30.6;30.6;26.3;30.7;30.1;29.8;31.3;28.9;30.6;29.9;30.7;30.7;30.2;29.9
51361;33.7;34;33.8;34.5;33;33.8;33.8;34.2;35.1;33.6;34;34.3;34.4;30.8;34.5;33.8;34.1;34.4;32.9;34.4;34;34.3;34.5;30.8;34.5;33.9;34;34.4;33;34.4;34.6;34.3;34.7;34.3;33.9
51363;34.3;34.8;34.9;35.5;33.4;34.5;34.9;35.1;35.9;34.8;34.5;35.5;35.3;32.5;35.5;34.9;35.4;35.2;33.9;35.5;34.4;35.5;35.3;32.5;35.6;34.9;35.5;35.2;33.9;35.6;35.5;35;35.3;35.8;34.9
51364;34.5;34.9;34.8;35.6;33.9;34.9;34.9;35.3;36.1;34.8;34.5;35.5;35.4;32.3;35.8;35;35.2;35.6;34;35.5;34.5;35.6;35.5;32.3;35.8;35.1;35.1;35.6;34;35.6;35.5;35.1;35.5;35.7;35
51377;28.1;28.2;28.2;29.1;26.5;28.4;28.1;29;29.4;27.6;26.8;28.8;28.4;25.2;29;28.1;27.6;29.7;27.5;29.3;26.7;28.8;28.5;25.2;29;28.1;27.6;29.7;27.5;29.3;27.7;29.1;28.9;28.5;28.2
51380;28.8;29.5;29.5;30.3;28.1;30;29.1;30.1;30.7;28.8;28.9;30.3;30;25.5;30.1;29.4;29.6;31.1;28;30.7;28.8;30.3;30.1;25.5;30.1;29.4;29.6;31.1;28;30.7;29.6;30.4;30.4;30;29.5
51384;26.7;27;26.9;28.1;25.2;27.5;26.5;27.8;28.2;26.4;25.8;27.6;27.3;23.6;27.7;27;26.6;28.5;26.1;27.9;25.7;27.7;27.4;23.6;27.7;27;26.6;28.5;26.1;27.9;26.5;27.9;27.6;27.2;26.9
51388;26.5;26.9;26.8;27.9;25.1;27.4;26.8;27.8;27.9;26.2;25.9;27.7;27.1;23.4;27.3;26.8;26.5;28.8;25.9;28.4;25.8;27.7;27.2;23.4;27.4;26.8;26.5;28.8;25.9;28.4;26.6;27.8;27.8;27.4;26.9
51389;29.4;29.6;29.7;30.6;28.3;30;29.5;30.3;30.9;29.2;28.5;30.2;30.1;26.7;30.7;29.7;29.4;31;29;30.4;28.4;30.3;30.2;26.7;30.8;29.7;29.4;31;29;30.4;29.5;30.5;30.4;30;29.7
51392;34.5;34.2;34.6;35;32.9;33.9;34.7;34.8;35.6;33.3;32.9;35;34.3;32.1;35.4;34.4;34.4;35.5;34.4;35.2;32.8;35;34.4;32.1;35.5;34.4;34.4;35.5;34.4;35.2;34.2;35.2;35.3;35;34.4
51394;31;30.9;31.1;31.7;29.4;30.8;31.2;31.5;32.2;30.2;29.4;31.5;31;28.4;31.9;30.8;30.5;32.3;30.7;32;29.4;31.5;31.1;28.4;31.9;30.8;30.5;32.3;30.7;32;30.5;31.8;31.8;31.3;31
