code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;19;19.4;19.6;19.4;18.7;19;19.4;20.1;20.3;18.1;18.9;19.5;19.3;17.2;19.6;19.3;19.4;19.8;18.9;19.8;19.1;18.5;19.6;20;19.4;20.2;20.2;19.7;19.1;19.5;20.1;19.6;19.5;19.4;19.4
51340;27.2;27.5;27.7;27.6;26.9;27;27.6;27.8;28.7;27.3;28.1;27.7;28;26.1;28;27.5;28.1;27.7;27.6;27.8;27.3;27.4;27.6;27.9;27.8;28.1;28.4;28.3;27.2;28.1;28.5;27.7;28;27.9;27.7
51341;27.1;27.2;27.5;27.4;26.8;26.7;27.4;27.6;28.2;27.1;27.8;27.5;27.8;26.1;27.6;27.3;27.7;27.3;27.6;27.7;27.2;27.1;27.4;27.8;27.4;28;28.3;27.8;26.9;27.7;28.2;27.6;27.8;27.7;27.5
51342;27.7;28;28.1;28.3;27.2;27.6;27.9;28;29;27.6;28.4;28.1;28.4;26.8;28.3;27.5;28.3;28;27.9;28.2;27.8;27.9;28;28.1;28.3;28.3;28.6;28.8;27.7;28.4;28.9;27.9;28.3;28.2;28.1
51344;27.8;28;28.4;28.1;27.6;27.5;28.3;28.4;29.2;28;28.7;28.4;28.6;26.9;28.7;28.2;28.6;28.2;28.5;28.5;28;28;28.3;28.6;28.3;28.8;29.1;28.8;27.7;28.6;29.2;28.6;28.7;28.7;28.3
51345;25.4;25.8;26.2;25.9;25.4;25.2;26.1;26.2;27;25.5;26.2;26.1;26.2;24.1;26.4;25.8;26.4;26.3;25.7;26.4;25.6;25.5;25.9;26.5;25.9;26.8;27;26.3;25.5;26.3;26.7;26.1;26.5;26.4;26
51346;27.5;27.9;28;28;27.2;27.4;27.8;28;28.8;27.2;28;27.9;28.1;26.2;28.2;27.6;28.1;28;27.5;28.1;27.6;27.6;27.8;28.1;28;28.2;28.5;28.6;27.5;28.2;28.7;27.8;28.2;28;27.9
51347;20.4;20.9;21.1;20.9;20.2;20.6;21;21.6;21.8;19.6;20.5;21;20.9;18.8;21.1;20.9;20.9;21.3;20.4;21.3;20.6;20.2;21.1;21.5;20.9;21.6;21.7;21.4;20.6;21;21.7;21.1;21.1;20.9;20.9
51348;26.7;27.1;27.1;27.1;26.4;26.9;27;27.4;27.7;26.1;26.6;27.1;27.1;25.4;27.5;27;26.9;27;26.4;27.2;26.9;26.6;27;27.2;27.1;27.2;27.4;27.7;26.7;27.2;27.8;27;26.9;27.1;27
51349;25.2;25.7;25.9;25.7;25.1;25.2;25.7;26.1;26.7;24.8;25.6;25.8;25.8;23.6;26;25.6;26;26.1;25.2;26.1;25.4;25.2;25.7;26.2;25.7;26.3;26.5;26.2;25.3;25.9;26.4;25.8;26.1;25.9;25.7
