code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;549.6;543.8;549.6;543.3;541.7;532.8;543.6;562.8;589;506.5;529.4;546.8;559.8;482.5;547.5;541.6;562.1;554.6;528.1;553.4;554.2;519;547.9;559.2;561.4;564.7;566.1;551.9;553;546.9;561.6;548.8;566.6;543.4;547.4
51340;789.5;768.9;776.3;772.9;780.9;756.9;773.5;777.2;831.7;763.4;785.6;776.8;810.7;731;785.1;768.6;814.2;775.9;772;779.7;792.1;767.7;773.5;781.4;807.2;787.8;796;750.2;788.9;785.8;797.6;776.4;813.4;780.5;782
51341;785.6;762.6;769.9;766;777.8;747.7;767.9;772.3;807.8;759.2;777.2;771;795.4;731.3;773.8;763.4;802.1;764.6;772.4;775.5;788.1;759.1;767.8;777.5;794.5;775.1;773.5;742;780.8;776.4;789.7;771.9;807.3;776.1;774.2
51342;803.7;783.5;787.7;792.7;789.9;771.6;781.2;784.6;832.4;772.2;795.2;787;823.1;749.5;791.6;770.8;821;784.1;782.1;789.3;807.1;779.9;784;787.7;820.8;792.5;762.8;717.2;802;796.2;792.9;780.8;819.3;789.2;789
51344;805.2;782.8;794.4;788.2;799.8;770.1;792.5;794.6;819.8;785.3;803.7;794.6;802.8;753.4;802.8;788.6;829.4;790.2;796.6;798.3;810.8;783.8;792.3;799.9;820.8;779.3;761.2;721.6;803.8;801.8;818.6;799.6;831.3;802.7;794.7
51345;736.3;721.9;734.3;724;736.9;705.4;729.6;733.2;784;713.8;734.3;731.8;760.5;674.4;738.6;722.8;765.4;735.1;720;738.5;742.1;713.8;725.8;741.2;750.9;750;756.5;733;739.2;735.8;746.9;732;769.3;738.1;735.8
51346;797.6;776;782.7;779.2;789;767.2;778.3;784.2;821.8;762;785.2;782.1;814.9;733;785.1;773.9;815.9;784.4;771.2;786.8;800.2;774.2;779.2;782.4;808.9;785.9;730.8;729.5;796.7;788.9;773.2;779.8;816.9;783.9;782.4
51347;592.3;586.2;591.7;586;586.7;577.7;587.4;603.5;633.1;550.2;574.9;588.1;605.4;525.4;591.3;584.8;607.1;596;571.6;596.1;597.9;565.6;589.6;600.7;605.7;603.5;606.9;600;596.6;587.5;606.4;589.9;611.3;586.3;590.7
51348;773.3;743.5;749.2;747.5;766.8;736.9;750.7;739.1;751.3;731;741.6;740.3;770.7;712;720;755;756.4;741.8;738.2;741.3;780.3;725.5;741.5;741.1;762.2;750;725.4;706.8;774.6;750.5;718.7;746.4;780.8;745.7;745.8
51349;730;720;724.7;719.8;729.2;706.1;720.6;730.4;773.9;693.2;717.9;722.4;749.1;661.2;729.4;716.2;753;729.9;706.3;730.2;735.4;706.2;719.3;732.3;745.5;735.7;742.2;734.4;733.8;724.8;739.8;721.8;755.5;724.2;726.9
