code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;27.1;27.7;27.5;28.7;26;28.4;27.2;28.5;28.9;27;26.8;28.5;28.2;23.8;28.2;27.7;27.6;29.5;26.5;28.8;26.8;28.6;28.2;23.8;28.3;27.7;27.6;29.5;26.5;28.8;27.4;28.7;28.4;28.1;27.7
51334;27.3;27.7;27.4;28.8;26.2;28.4;27.1;28.4;28.9;27.1;26.9;28.4;28.2;24;28.4;27.7;27.6;29.3;26.7;28.5;26.9;28.5;28.3;24;28.4;27.8;27.6;29.3;26.7;28.5;27.5;28.6;28.4;28;27.7
51336;26.5;27;26.7;28;25.3;27.6;26.4;27.7;28.2;26.3;26;27.7;27.4;23.2;27.6;27;26.8;28.6;25.9;27.8;26;27.8;27.5;23.2;27.6;27.1;26.8;28.6;25.9;27.8;26.6;27.9;27.6;27.2;26.9
51337;24.5;25;24.8;26.1;23.1;25.7;24.4;25.9;26.1;24.3;23.9;25.8;25.4;21.3;25.5;25;24.7;26.8;23.9;26;23.8;25.9;25.5;21.3;25.5;25.1;24.7;26.8;23.9;26;24.5;26;25.6;25.2;24.9
51350;28.2;28.8;28.6;29.7;27.3;29.3;28.2;29.3;30;28.1;28.1;29.4;29.4;24.8;29.4;28.7;28.9;30.3;27.5;29.6;28;29.5;29.4;24.8;29.5;28.8;28.8;30.3;27.5;29.6;28.7;29.6;29.5;29.1;28.7
51366;28.2;28.3;28.1;29.1;26.6;28.2;29;29.2;29.1;27.7;26.9;28.8;28.1;25.3;28.9;28;27.4;30.3;27.8;30.1;26.9;28.8;28.2;25.3;28.9;28;27.4;30.3;27.8;30;27.7;29;29.4;28.9;28.3
51368;28.2;28.3;28.1;29.1;26.6;28.2;29;29.2;29.1;27.7;26.9;28.8;28.1;25.3;28.9;28;27.4;30.3;27.8;30.1;26.9;28.8;28.2;25.3;28.9;28;27.4;30.3;27.8;30;27.7;29;29.4;28.9;28.3
51369;27.4;27.5;27.4;28.4;25.8;27.6;28;28.5;28.4;26.9;26.2;28.1;27.4;24.4;28.1;27.3;26.8;29.5;27;29.2;26.2;28.1;27.5;24.4;28.1;27.3;26.8;29.5;27;29.2;27;28.4;28.6;28.1;27.5
51371;28.2;28.3;28.1;29.1;26.6;28.3;29;29.2;29.1;27.8;27;28.8;28.1;25.2;28.8;28;27.5;30.3;27.8;30.1;27;28.8;28.2;25.2;28.9;28;27.5;30.3;27.8;30.1;27.8;29;29.4;29;28.3
51372;25.4;25.7;25.5;26.7;23.8;26.1;25.6;26.7;26.6;25;24.4;26.4;25.8;22.3;26.1;25.6;25.1;27.6;24.8;27.1;24.4;26.5;25.9;22.3;26.2;25.6;25.1;27.6;24.8;27;25.1;26.6;26.5;26.1;25.6
51375;29;28.9;28.8;29.6;27.4;28.7;29.5;29.8;29.9;28.3;27.4;29.4;28.8;26.2;29.6;28.6;28;30.7;28.5;30.6;27.3;29.4;28.8;26.2;29.6;28.6;28;30.7;28.5;30.6;28.3;29.7;30.1;29.5;28.9
51378;25.3;25.6;25.4;26.6;23.7;26;25.6;26.6;26.6;24.9;24.4;26.4;25.7;22.2;26.1;25.5;25.1;27.6;24.8;27;24.3;26.4;25.8;22.2;26.1;25.5;25;27.6;24.8;27;25;26.6;26.4;26;25.6
51382;25.5;25.8;25.6;26.8;23.9;26.2;25.7;26.8;26.8;25.1;24.5;26.5;25.9;22.4;26.3;25.7;25.2;27.7;25;27.2;24.5;26.6;26;22.4;26.3;25.7;25.2;27.7;25;27.1;25.2;26.7;26.6;26.2;25.8
51385;28.9;28.9;29;29.7;27.3;28.9;29;29.7;30.1;28.3;27.4;29.5;29;26.1;29.7;28.7;28.3;30.4;28.4;30.1;27.4;29.5;29.1;26.1;29.8;28.8;28.3;30.4;28.4;30;28.3;29.8;29.7;29.2;28.9
