code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;19.7;20.2;20.5;20.2;19.5;19.6;20.2;20.9;21.2;18.9;19.7;20.4;20.1;17.9;20.3;20.1;20.3;20.8;19.6;20.7;19.9;19.2;20.4;20.9;20.1;21.2;21.2;20.2;19.8;20.4;20.7;20.5;20.5;20.3;20.2
51334;20.4;20.9;21.1;20.9;20.2;20.6;21;21.6;21.8;19.6;20.5;21;20.9;18.8;21.1;20.9;20.9;21.3;20.4;21.3;20.6;20.2;21.1;21.5;20.9;21.6;21.7;21.4;20.6;21;21.7;21.1;21.1;20.9;20.9
51336;19.3;19.8;20;19.8;19;19.4;19.8;20.4;20.7;18.5;19.3;19.9;19.7;17.6;19.9;19.7;19.8;20.2;19.2;20.1;19.5;18.9;19.9;20.3;19.7;20.5;20.6;20.1;19.4;19.9;20.4;19.9;19.9;19.8;19.7
51337;16.4;16.8;17;16.7;16;16.2;16.7;17.6;17.7;15.3;16.1;16.9;16.6;14.5;16.8;16.6;16.7;17.2;16.1;17.1;16.5;15.6;17;17.4;16.7;17.8;17.7;16.7;16.4;17;17.2;17;16.8;16.7;16.7
51350;21.3;22;22.2;21.9;21.4;21.5;22;22.5;22.9;20.8;21.7;22.1;22;19.6;22.2;21.9;22.1;22.4;21.4;22.4;21.6;21.2;22;22.5;21.8;22.7;22.8;22.3;21.6;22.1;22.6;22.1;22.3;22.1;21.9
51366;23.2;23.3;23.3;23.2;22.6;21.8;23.1;23.5;23.9;22;22;23;22.5;21.3;23.2;22.7;22.6;23.9;22.9;23.7;22.9;22.1;23.5;24;23.1;24.6;24.3;22.3;22.7;23.4;23.3;23.4;23.5;23.5;23.1
51368;23.2;23.3;23.3;23.2;22.6;21.8;23.1;23.5;23.9;22;22;23;22.5;21.3;23.2;22.7;22.6;23.9;22.9;23.7;22.9;22.1;23.5;24;23.1;24.6;24.3;22.3;22.7;23.4;23.3;23.4;23.5;23.5;23.1
51369;21.5;21.7;21.7;21.6;20.9;20.3;21.5;22;22.3;20.3;20.5;21.5;20.9;19.6;21.6;21.1;21;22.2;21.2;22;21.2;20.5;21.8;22.3;21.5;22.9;22.6;20.8;21.1;21.8;21.7;21.8;21.8;21.8;21.4
51371;22.9;23.1;23.1;23;22.4;21.6;22.9;23.3;23.6;21.8;21.9;22.8;22.3;21;23;22.5;22.4;23.7;22.7;23.5;22.6;21.9;23.3;23.8;22.8;24.4;24.1;22.1;22.4;23.2;23.1;23.2;23.3;23.3;22.8
51372;17.9;18.2;18.3;18.1;17.4;17.2;18;18.7;18.9;16.8;17.2;18.2;17.7;16;18.1;17.8;17.8;18.7;17.6;18.5;17.8;16.9;18.4;18.9;18;19.4;19.1;17.6;17.7;18.4;18.4;18.4;18.3;18.2;18
51375;23.2;23.1;22.9;23;22.4;21.6;22.9;23.3;23.7;21.7;21.9;22.8;22.3;21.2;23;22.5;22.4;23.4;22.7;23.3;22.5;22.1;23.3;23.6;23;24.4;23.9;22.2;22.5;23.2;23.1;23.1;23.3;23.1;22.8
51378;17.8;18.1;18.2;18;17.3;17;17.9;18.6;18.8;16.6;17.1;18.1;17.5;15.9;18;17.7;17.7;18.6;17.5;18.4;17.7;16.8;18.3;18.8;17.9;19.3;19;17.5;17.6;18.3;18.3;18.3;18.2;18.1;17.9
51382;18.1;18.3;18.4;18.2;17.5;17.3;18.1;18.9;19;16.9;17.3;18.3;17.8;16.1;18.3;17.9;17.9;18.8;17.7;18.6;17.9;17;18.5;19;18.1;19.5;19.2;17.7;17.8;18.5;18.5;18.5;18.4;18.3;18.1
51385;22;22;22;21.9;21.2;21.1;21.9;22.4;22.7;20.6;21.1;22;21.5;20.1;22;21.6;21.7;22.1;21.6;22;21.5;21;22.1;22.3;22;23.1;22.7;21.5;21.6;22.2;22.3;21.9;22;22;21.8
51386;16.5;16.9;17.1;16.8;16.1;16.2;16.8;17.6;17.7;15.5;16.1;17;16.6;14.6;16.9;16.7;16.7;17.4;16.3;17.2;16.6;15.7;17.1;17.5;16.8;17.9;17.8;16.7;16.5;17.1;17.3;17.1;17;16.8;16.8
51391;23.7;23.5;23.4;23.4;22.8;22.5;23.5;23.8;24.2;22.1;22.6;23.6;23;21.8;23.5;23.2;23.3;23.6;23.3;23.4;23;22.9;23.7;23.8;23.6;24.7;24.2;23;23.1;23.8;23.8;23.4;23.6;23.6;23.4
51393;20.4;20.4;20.4;20.3;19.6;19.5;20.3;20.9;21.2;19;19.4;20.4;19.9;18.4;20.4;20;20;20.6;19.9;20.5;19.9;19.3;20.5;20.8;20.3;21.5;21.1;19.9;19.9;20.6;20.6;20.4;20.4;20.3;20.2
51395;22.9;22.7;22.6;22.6;22;21.4;22.6;23;23.4;21.3;21.7;22.6;22;20.9;22.6;22.2;22.2;22.9;22.4;22.8;22.2;21.9;22.9;23.1;22.7;24;23.5;21.9;22.1;22.9;22.8;22.7;22.9;22.7;22.5
51396;23.2;23;22.8;22.9;22.3;21.6;22.8;23.2;23.7;21.6;21.9;22.8;22.2;21.2;22.9;22.4;22.4;23.2;22.6;23.2;22.4;22.1;23.2;23.5;23;24.4;23.8;22.1;22.4;23.1;23;23;23.2;23;22.8
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;23.1;23;22.8;22.8;22.3;21.5;22.8;23.2;23.6;21.6;21.9;22.8;22.2;21.1;22.9;22.4;22.4;23.2;22.6;23.1;22.4;22.1;23.2;23.4;22.9;24.3;23.7;22.1;22.4;23.1;23;23;23.2;22.9;22.7
68769;20.3;20.3;20.3;20.2;19.6;19.4;20.2;20.8;21.1;18.9;19.4;20.3;19.8;18.4;20.3;19.9;19.9;20.5;19.8;20.4;19.9;19.2;20.5;20.8;20.3;21.5;21.1;19.8;19.8;20.5;20.6;20.4;20.3;20.2;20.1
