code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;571.2;566.3;574.2;565.3;566.3;548.6;566;586;613.7;530;552;571.5;583.2;501.6;568.8;562.2;588.7;581.4;549.8;579.1;576.2;537.6;569.9;584.7;582.5;594.5;594.5;565.1;575.5;571.7;580.3;573.3;594;569.6;570.5
51334;592.3;586.2;591.7;586;586.7;577.7;587.4;603.5;633.1;550.2;574.9;588.1;605.4;525.4;591.3;584.8;607.1;596;571.6;596.1;597.9;565.6;589.6;600.7;605.7;603.5;606.9;600;596.6;587.5;606.4;589.9;611.3;586.3;590.7
51336;559.5;553.8;559.5;553.3;552.3;543.3;553.9;572.4;599.5;516.7;540.3;556.5;570.6;492.4;557.7;551.8;572.8;564.5;538.4;563.5;564.4;530;557.7;569;571.8;573.9;575.8;563.2;563.2;556.4;572.2;558.6;577.2;553.6;557.6
51337;474.8;469.6;475.8;468.4;462.8;453.7;466.8;491.5;511.9;429.7;449.5;474.4;480;407;470.6;465.7;483.3;482.3;451.7;478.5;477.2;436.9;474.7;486.4;483.6;497.2;494.8;466.8;476.5;475.8;482.7;476.9;488.2;468.3;471.6
51350;618.9;614.9;621.6;613.4;619.7;601.1;616.8;631.2;664.6;581.2;606.6;618.1;637;550.2;621.9;612;642.1;628.3;599.3;627.4;625.8;593.8;616.2;631.4;633.6;635.8;639.7;624.6;625.3;617.5;633;618.8;645.7;618.7;620.2
51366;673.5;652.9;651.5;650.2;655.3;610.2;647.8;657.8;692.2;615.1;617.3;645.1;651.4;595.5;650.3;636.1;654.7;668.7;642.5;662.5;662.8;619.7;657.8;672.8;669.7;689.2;679;625.1;657.9;655.4;651.3;655.2;682.5;657.2;651.9
51368;673.5;652.9;651.5;650.2;655.3;610.2;647.8;657.8;692.2;615.1;617.3;645.1;651.4;595.5;650.3;636.1;654.7;668.7;642.5;662.5;662.8;619.7;657.8;672.8;669.7;689.2;679;625.1;657.9;655.4;651.3;655.2;682.5;657.2;651.9
51369;624.5;606.5;606.2;603.8;606.5;568.6;601.6;615;646.1;567.9;573.6;601.4;606.6;548.4;604.2;591.9;610.2;621.1;594.3;615.4;615.2;573.1;611.5;625.3;622.7;641.9;632.3;582.4;611.5;610.1;607.3;609.8;633.3;609.1;605.9
51371;665.4;646.1;645.9;644.3;649;604.2;641.8;651;685.6;609.1;612.6;639.3;646.1;588.8;643.6;630.2;649.2;662.2;636.8;657;656.6;613.8;651.1;666.4;662.5;683;673.7;619.3;651;648.5;645.6;648.7;676.4;651.9;645.8
51372;519.8;509.2;512.5;507;504.2;480.2;504.6;524.9;548.8;469.3;480.7;509.3;512.1;448;507.7;499.3;516;524.3;493.5;518.6;516.3;473.2;514.6;528.3;522.6;542.7;536.1;492;514;514.9;514.5;515.4;530.8;510.1;509.3
51375;671.9;647.1;642.5;642.8;649.4;605.3;641.8;652.5;687.5;607.9;614;639.6;646.6;593;643.4;629.3;650.4;655.8;636.1;652.2;653.9;619.2;651.5;661.1;666.4;684;669.2;620.3;651.3;649.8;645.8;647.2;675.4;646.9;645.6
51378;516.3;506;509.3;503.8;500.8;477.3;501.4;521.9;545.6;466;477.6;506.2;508.9;444.6;504.5;496.2;512.8;521.1;490.1;515.3;513;469.9;511.4;525.1;519.3;539.4;532.9;489;510.8;511.7;511.4;512.2;527.4;506.8;506.1
51382;523.7;512.5;515.5;510.1;507.5;484;507.9;528.1;552.3;472.6;484.2;512.5;515.6;451.7;511.1;502.5;519.4;526.6;496.6;521.1;519.5;476.9;517.7;530.8;526.3;545.7;538.6;495.7;517.4;518.2;518;518.2;533.7;512.8;512.5
