code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;0.8;0.8;0.7;0.5;0.6;0.9;0.7;0.8;0.6;0.5;0.7;0.6;0.8;0.9;0.5;0.6;0.6;0.7;0.5;0.8;0.6;1;0.8;0.6;0.6;0.9;0.7;0.5;0.4;0.5;0.6;0.7;0.6;0.8;0.7
51334;0.8;0.7;0.6;0.5;0.7;0.9;0.7;0.8;0.6;0.5;0.7;0.6;0.8;0.8;0.6;0.6;0.6;0.7;0.5;0.7;0.6;1;0.8;0.6;0.6;0.8;0.8;0.6;0.4;0.5;0.5;0.6;0.6;0.7;0.7
51336;0.8;0.8;0.6;0.5;0.7;0.9;0.7;0.8;0.6;0.5;0.7;0.6;0.8;0.9;0.5;0.6;0.6;0.7;0.5;0.7;0.6;1;0.8;0.6;0.6;0.8;0.8;0.6;0.4;0.5;0.5;0.6;0.6;0.7;0.7
51337;0.8;0.8;0.7;0.5;0.7;1;0.7;0.8;0.7;0.5;0.8;0.6;0.8;0.9;0.5;0.6;0.6;0.8;0.5;0.8;0.6;1;0.7;0.6;0.6;0.8;0.6;0.5;0.5;0.5;0.6;0.6;0.6;0.7;0.7
51350;0.9;0.7;0.6;0.5;0.7;0.8;0.7;0.8;0.6;0.5;0.7;0.6;0.7;0.9;0.6;0.6;0.6;0.7;0.5;0.8;0.6;1;0.8;0.6;0.7;0.9;0.8;0.6;0.4;0.5;0.5;0.7;0.6;0.7;0.7
51366;0.8;0.8;0.7;0.7;0.7;1;1.1;0.9;1;0.6;1.1;0.5;0.7;1;0.7;1;0.8;0.8;0.8;0.7;0.6;1.1;0.6;0.7;0.6;0.9;0.8;0.6;0.7;0.5;1.2;0.7;0.7;0.9;0.8
51368;0.8;0.8;0.7;0.7;0.7;1;1.1;0.9;1;0.6;1.1;0.5;0.7;1;0.7;1;0.8;0.8;0.8;0.7;0.6;1.1;0.6;0.7;0.6;0.9;0.8;0.6;0.7;0.5;1.2;0.7;0.7;0.9;0.8
51369;0.8;0.8;0.7;0.7;0.7;1;1;0.8;0.9;0.6;1;0.5;0.7;1;0.7;1;0.7;0.8;0.7;0.7;0.6;1.1;0.6;0.7;0.6;0.9;0.8;0.5;0.7;0.5;1.1;0.7;0.7;0.9;0.8
51371;0.8;0.8;0.8;0.7;0.6;1;1.1;0.9;0.9;0.6;1.1;0.5;0.7;1;0.7;1;0.8;0.7;0.8;0.7;0.6;1.1;0.6;0.7;0.6;0.9;0.9;0.6;0.7;0.5;1.2;0.7;0.7;0.9;0.8
51372;0.8;0.8;0.7;0.6;0.6;1;0.9;0.8;0.8;0.5;0.9;0.5;0.8;0.9;0.6;0.8;0.7;0.8;0.6;0.7;0.6;1;0.6;0.6;0.5;0.9;0.6;0.5;0.6;0.5;0.9;0.6;0.6;0.7;0.7
