code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;18.4;18.9;18.5;18.4;18.1;18.4;18.3;18.8;19.2;17.9;17.7;18.3;18.2;17.7;18.9;18.5;18.3;19;18.1;19.2;18;17.8;18.6;18.4;18.9;19.1;19;18.4;18.5;19;18.8;18.8;18.8;18.8;18.5
51340;26.9;27.5;27.2;26.9;27.1;26.8;26.8;26.9;28.3;26.5;27;27.6;27;26.5;27.7;26.5;27.6;27.5;26.9;27.8;26.8;26.7;27.4;27.1;27.8;27.4;27.6;27.1;27.1;27.7;27.8;27.8;27.8;27.8;27.3
51341;26.9;27.3;27.1;26.8;26.8;26.9;26.7;26.9;28.1;26.2;27;27.6;27;26.6;27.6;26.6;27.5;27.5;27.1;27.7;27;26.6;27.3;27.1;27.8;27.5;27.7;27.1;27.2;27.7;27.8;27.8;27.6;27.8;27.2
51342;27.3;28;27.8;27.6;27.7;27.3;27.3;27.4;28.8;27.1;27.5;27.9;27.6;27.2;28.1;26.8;27.9;27.8;27;28.2;27.3;27.6;28.1;27.6;28.3;27.7;27.7;27.7;27.6;28.2;28.4;27.9;27.9;28.3;27.7
51344;27.7;27.9;27.8;27.4;27.6;27.6;27.4;27.7;28.9;27;27.8;28.4;27.8;27.3;28.4;27.4;28.3;28.3;27.8;28.4;27.7;27.4;28.1;27.9;28.5;28.1;28.4;27.9;27.9;28.4;28.6;28.6;28.5;28.6;28
51345;25.1;25.8;25.4;25.1;25.2;25.1;24.9;25.1;26.5;24.5;25;25.8;25.1;24.6;25.9;24.7;25.9;25.9;25.1;26;24.8;24.6;25.4;25.4;26.1;25.9;26.1;25.2;25.5;26;25.8;26;26.3;26;25.5
51346;26.9;27.7;27.2;27.1;27.3;26.7;26.9;26.9;28.3;26.5;26.8;27.3;26.9;26.5;27.6;26.5;27.5;27.5;26.5;27.8;26.6;27;27.4;27.1;27.8;27.4;27.5;27.1;27.1;27.7;27.8;27.5;27.7;27.7;27.2
51347;19.8;20.4;19.9;19.9;19.7;19.8;19.8;20.1;20.8;19.3;19.2;19.8;19.6;19.2;20.3;19.9;19.9;20.5;19.6;20.6;19.4;19.4;20.1;19.9;20.4;20.6;20.3;19.9;19.9;20.4;20.3;20.3;20.3;20.3;20
51348;26;26.7;26.1;25.9;26.5;25.7;25.9;26.2;27.1;25.8;25.4;25.9;26.2;25.7;26.7;25.9;26.1;26.3;25.1;26.6;25.6;26.3;26.4;26.1;26.4;26.3;26.3;26.1;25.9;26.6;26.6;26.4;26.5;26.7;26.2
51349;24.5;25.4;24.8;24.7;24.8;24.5;24.5;24.6;25.8;24;24.2;24.8;24.4;24;25.2;24.3;25.1;25.3;24.3;25.5;24.1;24.3;24.9;24.8;25.4;25.3;25.2;24.6;24.8;25.3;25.3;25.2;25.4;25.3;24.8
