code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;571.3;587.3;572.8;569.7;560.3;569.9;566.6;581.3;594.9;553.8;547.5;568.6;565.5;547.7;586.6;574;568.5;589.2;561.5;594;556.9;553.1;575.8;570.4;587.4;593.6;587.9;570.7;574;589.3;583;584.2;582.6;582.1;574.2
51340;833.1;852.6;841.8;834.8;839;831.9;830.5;833.6;877.3;820.3;836.8;857.1;837.3;822.3;858.7;820.6;854.8;852.5;832.8;860.3;829.8;829.2;849.2;840.1;862.3;849.8;854.6;841.4;841.3;858.1;863.1;860.4;861.3;862.5;845
51341;834.2;847.3;839;831.1;832.1;834.9;826.7;834.5;870.4;812.3;837;855.3;837.6;823.2;854.5;825.2;854;853.8;840;857.7;836.2;823.1;846.2;840.3;860.4;852.2;860;841.1;842.5;858.7;860.7;861.6;856.6;860.9;844.2
51342;847.2;866.9;861.1;854.4;857.2;844.9;846.1;849.1;894.2;839.2;851.1;866.4;856.1;841.8;871.1;829.3;865.1;862.2;837.3;873.5;846.1;856;869.8;855.4;877.2;859.7;860.1;857.8;856.2;874.2;881.1;866.4;866.2;876.8;859.3
51344;857.6;865.7;862;850.7;855;854.9;850.2;858.3;895.5;837;860.6;881.1;863.3;845;881.1;848.7;877.9;876.7;860.7;880.6;857.7;847.9;872.5;863.4;883.9;872.5;880.9;865.7;864.5;880.9;885.6;886.1;884;886.2;867.5
51345;777.7;798.6;786.8;779.2;780.7;779.5;773.2;778.1;820.5;758;775.3;798.6;778.1;762.5;803.2;766.7;802.1;802.5;777.1;807.1;768.7;761.2;787.5;788.5;809.4;803.8;808.8;779.8;790.3;805.9;800.9;806.8;814.6;805;789.3
51346;832.6;859.1;844.1;840.7;845.9;829;833.3;833.1;878.3;822.4;830.9;847.3;835.4;821.4;856.8;821.2;851.2;851.2;821.1;858.1;826;837;850.6;841.4;856.5;850.8;851.2;839.6;838.7;858.4;863.1;853.9;858.9;859.9;844.1
51347;615;633.3;616.7;615.8;609.7;613.2;613.6;622.7;644;599.5;595.5;614.4;608.9;593.7;629.6;615.7;615.7;634.7;607.4;640;600;602.1;622;616.6;633.8;638.6;629.8;617.7;617.8;633.8;630;628.9;630.8;628.8;619.7
51348;804.7;828.4;808.2;802.8;820.2;797;801.8;811.1;819.8;799.8;787.7;803.5;813.3;796.1;822.2;801.6;809.4;816;778;823.6;792.9;815.2;817.6;805.4;809.9;815.7;815.7;810.1;804.1;821.1;818.4;813.2;817.1;822.2;809.5
51349;759.6;786.9;768.6;765.9;767.4;758.5;760.9;762.3;800.8;745.5;751;769.3;756.7;743.3;781.9;753.1;776.8;783.5;752.5;791.7;747.2;753.1;770.8;768.5;787.3;785.1;781.8;763.9;767.3;784.9;783.5;781.2;788.6;783;770.1
51351;698.4;727.4;709.4;704;703;701.7;698.8;702.1;738.9;680.6;688.5;710.1;693.2;680.3;723.6;692.2;721.7;727.6;696.6;733.6;684.2;681.5;704.5;709.7;729.8;730.2;728.3;699.9;711.7;726.7;719.4;723.9;733.4;722.2;709.9
51352;809.5;824.6;807.9;792.3;815.2;797.2;799;809.4;837.7;800.6;780;801.2;820.1;805;827.3;809;814.7;820.2;779.7;818.7;789.8;804.7;813.1;802.4;813.1;812.4;821.8;808.9;806.5;822.8;813.8;812.2;807.5;829.7;809.6
51354;658;677.2;658.5;657;658.9;654.1;655.4;666.5;686.9;646.7;638.2;655.1;657.1;641.7;674;658.4;656.9;672.2;644.6;679.2;644.8;652.4;665.6;659.8;673.3;677.3;669.6;662.6;658.9;676.7;673.3;669;671.8;672.2;662.5
51359;696.8;718.3;700.5;699.8;698.8;693.3;696.5;702.5;730.4;683.6;680.7;697.5;693.6;678.6;713.1;695.5;700.7;715.3;685.4;722.7;683.3;691.6;707.3;700.9;716.9;718.6;711.4;700.8;698.9;717;715.7;711.2;715.4;714.1;703.1
