code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;25.4;25.9;25.9;26.6;25.2;26.2;26.1;27.3;27.3;26.8;25.6;26.6;26.4;24.4;27.4;26.6;26.8;27.5;24;27.2;25.6;26.6;26.4;24.4;27.4;26.6;26.8;27.5;24;27.2;26.2;27.4;27.9;26.6;26.4
51334;25.1;25.6;25.7;26.5;25.2;25.8;25.8;26.8;27.3;26.6;25.4;26.1;25.9;24.3;27;26.2;26.4;27.2;24;26.9;25.4;26.2;25.8;24.3;27;26.1;26.3;27.2;24;26.8;26.1;27.1;27.8;26.5;26.1
51336;24.5;24.9;25;25.8;24.4;25.2;25.2;26.3;26.6;25.9;24.7;25.5;25.3;23.6;26.4;25.7;25.7;26.5;23.2;26.2;24.7;25.5;25.3;23.6;26.4;25.6;25.6;26.5;23.2;26.1;25.3;26.4;27.1;25.8;25.4
51337;22.9;23.2;23.3;24;22.4;23.5;23.4;24.9;24.6;24.2;22.8;24;24;21.6;24.8;24.4;23.9;24.7;21.3;24.4;22.8;24;23.9;21.6;24.8;24.3;23.8;24.7;21.3;24.4;23.3;24.7;25.1;23.8;23.7
51350;26;26.6;26.7;27.4;26.3;26.9;26.9;27.6;28.3;27.5;26.5;27.2;26.8;25.2;28;26.9;27.7;28.4;24.9;28.1;26.5;27.2;26.8;25.2;28;26.8;27.7;28.4;24.9;28;27.2;28.2;28.9;27.6;27.1
51366;27.3;27.7;27.6;27.6;26.2;27.9;27.6;29.1;28.1;27.4;27.4;27.7;28.6;26;29;28.7;27.8;28;25.9;28.2;27.4;27.7;28.6;26;29;28.7;27.7;28;25.9;28.1;27.2;28.2;28.9;27.8;27.7
51368;27.3;27.7;27.6;27.6;26.2;27.9;27.6;29.1;28.1;27.4;27.4;27.7;28.6;26;29;28.7;27.8;28;25.9;28.2;27.4;27.7;28.6;26;29;28.7;27.7;28;25.9;28.1;27.2;28.2;28.9;27.8;27.7
51369;26.3;26.7;26.7;26.8;25.4;27;26.7;28.3;27.3;26.7;26.4;26.8;27.7;25.1;28.2;27.8;26.9;27.3;24.9;27.3;26.4;26.9;27.6;25.1;28.2;27.8;26.8;27.3;24.9;27.3;26.3;27.4;28.1;26.9;26.9
51371;27.3;27.7;27.6;27.6;26.3;27.9;27.7;29.1;28.1;27.5;27.5;27.8;28.7;26;29;28.6;27.9;28.1;25.9;28.2;27.5;27.8;28.6;26;29;28.7;27.8;28.1;25.9;28.2;27.3;28.3;29;27.9;27.8
51372;24.1;24.5;24.5;24.9;23.3;24.8;24.5;26.2;25.4;24.9;24.1;25;25.5;22.9;26;25.7;24.9;25.5;22.5;25.4;24.1;25;25.4;22.9;26;25.7;24.9;25.5;22.5;25.3;24.2;25.6;26;24.8;24.8
51375;27.9;28.2;28.5;28.1;27;28.7;28.1;29.6;28.8;27.9;27.8;28.1;29.1;26.6;29.6;29.2;28.1;28.4;26.4;28.7;27.8;28.1;29.1;26.6;29.6;29.2;28.1;28.4;26.4;28.6;27.8;28.8;29.4;28.3;28.3
51378;24.1;24.4;24.4;24.8;23.3;24.7;24.5;26.2;25.3;24.9;24;24.9;25.4;22.8;26;25.6;24.8;25.4;22.4;25.3;24;24.9;25.3;22.8;26;25.6;24.8;25.4;22.4;25.3;24.2;25.5;25.9;24.7;24.7
51382;24.3;24.6;24.6;25;23.5;24.9;24.6;26.3;25.5;25;24.2;25;25.6;23;26.2;25.8;25;25.6;22.6;25.5;24.2;25.1;25.5;23;26.2;25.8;24.9;25.6;22.6;25.4;24.4;25.7;26.1;24.9;24.9
51385;27.4;27.6;28.2;27.8;26.9;28.1;27.4;29;28.9;27.9;27;27.6;28.4;26.2;29.2;28.7;27.6;28.1;25.7;28.3;27;27.6;28.3;26.2;29.2;28.7;27.5;28.1;25.7;28.2;27.4;28.5;29;28;27.8
