code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;598.5;614.9;603.8;597.3;583;600.8;590.7;608.6;620.6;576.3;573.3;598;591.4;572.2;617.1;601.8;600.9;619.3;590.1;623.1;584.4;571.5;600.3;599.6;618;624.8;623.5;592.8;605.5;619.2;608.5;614.9;614.2;610.1;602
51334;615;633.3;616.7;615.8;609.7;613.2;613.6;622.7;644;599.5;595.5;614.4;608.9;593.7;629.6;615.7;615.7;634.7;607.4;640;600;602.1;622;616.6;633.8;638.6;629.8;617.7;617.8;633.8;630;628.9;630.8;628.8;619.7
51336;581.5;598.1;583.1;580.5;571.8;580;577.6;590.9;606.5;564.3;558.8;579.4;575.4;558.3;596.6;583.7;579.6;600;572.4;604.9;566.9;564.4;586.6;581.2;598.4;604.3;597.7;581.6;584.3;599.7;594;594.8;594.1;593.1;584.8
51337;494.6;506.7;496;488.6;473;494.1;484;509;508.5;473.2;463.1;488.5;489.2;466.6;511.4;501.2;485.5;509.5;481;513.5;481.3;466.1;494.5;489;506.2;514.9;514.6;488;497.5;511.3;500.5;506;497.6;499.8;494.2
51350;644.2;667.5;650.4;647.5;642.1;645.3;643.8;650.3;677.9;626.8;628.2;648.5;637.4;623.2;663.2;642.5;655.2;669.4;639.9;674.6;628.8;627.8;650.3;650.4;669.1;672.8;666.7;645.6;652.1;667.3;661.3;663.5;669.1;662.2;651.9
51366;699.8;718.6;711.6;694.4;672.1;713.4;688.8;720.7;692.9;668.4;682.5;694.3;705.2;676.7;729.3;723.1;691.7;705.1;691.1;711.1;697.4;656.8;695.5;700.8;713.1;721.7;737.5;685.2;713.1;718.2;705.7;708.8;708.7;711.1;701.9
51368;699.8;718.6;711.6;694.4;672.1;713.4;688.8;720.7;692.9;668.4;682.5;694.3;705.2;676.7;729.3;723.1;691.7;705.1;691.1;711.1;697.4;656.8;695.5;700.8;713.1;721.7;737.5;685.2;713.1;718.2;705.7;708.8;708.7;711.1;701.9
51369;648.5;665.9;658.2;642.2;621;659.3;637.3;668.8;645;618.8;627.5;642.4;652.4;624.3;675.4;668.5;639.3;655.3;638.3;660.6;643.9;607.7;644.6;647.1;660.8;669.6;682.7;635.3;659.8;666.5;654.1;657.5;654.7;657.5;649.7
51371;693.4;711.5;705.2;688.6;666.1;707.3;681.9;712.3;688.1;661.1;676.2;688.7;697.5;669.9;722.5;715.9;687.4;699.6;685.7;705;691.2;650.4;689.3;696.1;708.3;716.7;732.2;678.5;706.5;711.8;699.2;702.7;704.3;706.3;695.8
51372;541.7;555.5;547.6;534.9;514;547.6;529.1;560.3;543.6;514.7;513.8;534.9;540.7;514.1;564.4;556.7;531.3;552;529;556.6;533.4;503.4;538.5;537.8;552.9;562.2;570.6;529.5;549.2;558.9;545.7;552.2;544.9;547.8;541.5
51375;691.8;712.4;702.5;683.2;664.4;704;682.9;713.6;687.9;661.3;672.4;685.1;701.2;670.8;718.1;711;681.1;696.2;682.2;700.6;687.2;652.7;687.6;687.2;703.3;711;725.5;680.8;704.7;710.2;699.7;698;694.8;699;693.1
51378;538.2;551.8;543.9;531.3;510.5;543.8;525.5;556.7;540.3;511.2;510;531.4;537;510.4;560.7;552.9;527.7;548.5;525.4;553.1;529.7;500;535;534.1;549.3;558.7;566.8;526;545.5;555.3;542.1;548.6;541.2;544.1;537.8
51382;544.9;559;550.5;537.8;517.8;550.4;532.6;563.6;547.4;518.5;516.9;537.9;544.4;517.8;567.4;559.4;534.1;554.9;531.9;559.5;536.4;507.3;541.8;540.3;555.7;565;573;533.3;552.1;562.1;549.1;554.9;547.1;550.5;544.6
51385;654.8;673.5;659.8;643;634.9;656.8;645.4;671.7;663.4;633.4;627.5;645.5;661.2;637.3;675.3;665.5;643.3;662.3;639.2;664.6;643.9;625.2;652.7;645.3;662;670.1;678.1;652;660.8;672.6;660.5;657.5;645.9;659.3;654.2
51386;498.6;510.9;500.8;492.5;475.7;499.2;487.6;513.7;510.4;476.1;467.6;492.5;493.8;470.4;516.3;506.6;489.3;512.9;485.3;516.9;486.1;468.3;498;493.3;510.3;519;520.2;491;502.3;515.4;504.1;510;501.8;504;498.3
51391;703;723.2;710.6;688.3;680.9;707.1;693.3;718;710.1;676.9;678;692.9;711.6;688.8;722.2;714.9;693.2;709.7;688.8;709.8;691.5;673.8;699.6;693.3;710.3;716.8;730.6;702.5;711.6;721.5;709.8;703;693.6;709.3;702.6
51393;606.3;624.2;611;596.5;583.8;610.2;597.1;626;612.2;584;579;597.9;611.9;584.8;628.3;618.1;592.8;613.3;591.5;617.3;597;574.1;604.1;597.2;614.4;623.1;629.4;599.8;612.8;623.8;612.5;611.7;600.6;609.2;605.8
51395;679.5;700.2;688.7;668.3;653.3;688.9;670.9;699.9;679.4;650.4;657.5;671.5;689.4;660.3;702.8;695.3;667.7;684.3;668.3;687.2;672.2;644.2;675.5;671.6;689.3;696.4;710;672.2;690.9;697.8;687.7;683.5;677.4;684.8;679.9
51396;689;710.4;699.3;679;661.8;700.6;681;711.2;686.3;658.8;668.7;681.9;700.1;668.9;714;706.6;677.2;693.1;679.1;696.7;683.5;651.7;684.9;682.1;699.8;707.1;721.1;679.7;701.8;707.5;697.8;694;689.7;694.6;690
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;688.4;709.8;698.6;678.4;661.2;700;680.4;710.6;685.7;658.2;668.1;681.2;699.4;668.2;713.3;705.9;676.5;692.4;678.4;696.2;682.8;651;684.3;681.5;699.1;706.5;720.4;679;701.1;706.8;697.1;693.4;688.9;693.9;689.3
68769;604.2;622.1;608.9;594.5;581.6;608.2;595.1;624.1;609.9;581.8;577;595.9;609.8;582.5;626.3;616.2;590.6;611.2;589.6;615.3;595;571.8;602;595.2;612.4;621.1;627.4;597.5;610.8;621.7;610.4;609.8;598.7;607.1;603.7
