code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;21.2;21.2;21.6;22.2;21.8;21.2;20.6;21.4;22.4;21.5;21.3;20.7;21.2;21.3;21.7;21.7;20.5;21.9;20.8;21.7;21.3;20.8;21.2;21.3;21.6;21.6;20.5;21.9;20.8;21.7;21.9;23.4;21;21.8;21.4
51340;28.9;28.2;28.4;29.1;28.3;28.5;28.2;28.7;29.2;28.6;28.7;28.1;28.2;28.2;28.3;29.1;28.3;28.5;28.8;28.3;28.7;28.1;28.2;28.2;28.3;29;28.3;28.5;28.8;28.3;29;29.9;29.2;28.8;28.6
51341;27.7;26.8;27.7;28.2;27.5;27.4;26.9;27.5;28.1;27.4;27.8;27.2;27.1;27.2;27.4;28.1;27.3;27.4;28;27.1;27.8;27.2;27.1;27.2;27.3;28.1;27.3;27.4;28;27.1;28;28.6;28.4;27.9;27.6
51342;29.1;28.6;28.1;29.4;28.4;28.7;28.6;29.3;29.5;29.1;28.9;28.2;28.6;28.5;28.6;29.4;28.5;28.8;29.1;28.8;28.9;28.2;28.6;28.5;28.5;29.3;28.6;28.8;29.1;28.8;29.3;30;29.3;28.9;28.9
51344;28.1;27;27.7;28.2;27.4;27.7;27.1;27.7;28.2;27.6;27.8;27.3;27.2;27.3;27.4;28.2;27.4;27.5;28.1;27.1;27.8;27.3;27.2;27.3;27.4;28.2;27.5;27.5;28.2;27.1;28.1;29;28.6;28.2;27.7
51345;26.6;25.9;26.9;27.1;26.7;26.4;25.8;26.7;27.3;26.5;26.7;26.2;26.2;26.2;26.6;27;26.3;26.6;26.7;26.1;26.6;26.2;26.2;26.2;26.5;27;26.3;26.6;26.7;26.1;26.9;27.9;27.2;26.9;26.6
51346;29.4;28.9;28.5;29.8;29;29.2;28.8;29.5;30.1;29.3;29.2;28.4;28.9;28.9;29.1;29.8;28.8;29.3;29.2;29.2;29.1;28.4;29;28.9;29.1;29.7;28.8;29.3;29.2;29.2;29.6;30.5;29.5;29.2;29.2
51347;22.2;22.1;22.4;23.2;22.7;22.2;21.6;22.4;23.4;22.4;22.1;21.7;22.1;22.1;22.7;22.7;21.4;22.9;21.7;22.7;22;21.7;22.1;22.1;22.6;22.6;21.4;22.9;21.7;22.7;22.8;24.4;21.9;22.6;22.4
51348;28;27.8;27.4;28.6;27.8;27.9;27.3;28.1;28.9;28;27.4;26.8;27.9;27.6;28.5;28.7;26.8;28.3;27.7;28;27.4;26.9;27.9;27.6;28.4;28.6;26.8;28.3;27.6;28;28.3;29.4;27.7;27.6;27.9
51349;26.9;26.6;26.8;27.6;27.1;26.8;26.3;27.2;27.9;26.9;26.8;26.3;26.7;26.6;27.1;27.4;26.3;27.2;26.6;27;26.7;26.3;26.7;26.6;27;27.3;26.4;27.2;26.5;27;27.3;28.6;26.9;27;26.9
51351;25;24.7;25.5;25.8;25.5;25;24.3;25.4;26.2;25.1;25.2;24.7;24.9;24.8;25.5;25.5;24.7;25.5;24.7;25.2;25.1;24.7;24.9;24.8;25.4;25.5;24.7;25.5;24.7;25.1;25.5;26.9;25.3;25.5;25.2
51352;28.2;27.9;28;28.3;27.6;27.7;27.4;28.2;28.5;28;27.6;26.9;28.2;27.7;28.5;28.5;26.6;27.9;27.9;27.7;27.6;27;28.2;27.7;28.5;28.5;26.6;27.9;27.8;27.7;28.4;29.5;27.7;27.6;27.9
51354;23.6;23.5;23.6;24.4;23.8;23.5;23;23.7;24.6;23.7;23.3;22.8;23.5;23.4;24.1;24.1;22.5;24.1;23.1;23.9;23.2;22.8;23.5;23.4;24;24;22.5;24.1;23.1;23.8;24.1;25.4;23.2;23.6;23.6
51359;24.8;24.6;24.6;25.6;25.1;24.8;24.1;25;25.9;24.9;24.5;24;24.6;24.6;25.2;25.3;23.9;25.3;24.3;25.1;24.5;24.1;24.6;24.6;25.1;25.2;24;25.3;24.3;25.1;25.3;26.7;24.5;24.9;24.8
51361;30.3;30;29;30.8;29.8;30.1;29.8;30.5;31;30.4;30;29.1;30;29.8;30.1;30.9;29.6;30.3;30.2;30.1;29.9;29.2;30;29.8;30.1;30.8;29.6;30.3;30.1;30.1;30.5;31.4;30.4;30;30.1
51363;29.6;29.3;28.9;29.9;29;29.2;28.9;29.5;30.3;29.4;29;28;29.6;28.7;29.8;30.3;28.5;29.5;29.6;29.3;28.9;28.1;29.6;28.7;29.7;30.2;28.5;29.5;29.5;29.3;29.7;31.1;29.8;29.3;29.4
51364;30;29.7;29;30.4;29.5;29.7;29.3;30;30.8;30;29.4;28.5;29.8;29.3;30.3;30.8;28.9;30;29.8;29.8;29.3;28.6;29.8;29.3;30.2;30.7;29;30;29.7;29.8;30.2;31.2;30;29.6;29.8
51377;23.7;23.9;24.1;24.3;23.7;23.2;23.4;23.6;24.5;23.9;24;23.1;23.6;23.8;23.8;23.9;22.9;23.9;23.5;23.7;24;23.1;23.6;23.8;23.8;23.9;22.9;23.9;23.4;23.7;24.3;25.2;23.5;24.3;23.7
51380;23.9;23.7;24.7;24.9;24.7;23.9;23.2;24.4;25.2;24.2;24.4;23.8;24;24;24.4;24.5;23.8;24.5;23.7;24.1;24.3;23.8;24;24;24.4;24.4;23.9;24.5;23.7;24.1;24.5;26;24.3;24.8;24.3
51384;22;22.1;22.3;22.8;22.2;21.7;21.5;21.9;23;22.2;22.2;21.4;21.9;22;22.3;22.3;21.1;22.3;21.7;22.3;22.1;21.4;21.9;22;22.3;22.3;21.1;22.3;21.6;22.2;22.6;23.8;21.6;22.4;22.1
51388;22.4;22.5;23.2;23.4;23.2;22.3;22;22.8;23.6;22.8;23.2;22.3;22.5;22.9;22.6;22.9;22.5;23.1;22.2;22.7;23.2;22.3;22.5;22.9;22.6;22.9;22.5;23.1;22.2;22.7;23.1;24.4;22.6;23.8;22.8
51389;25.4;25.4;25.6;26;25.3;25.2;24.9;25.5;26.2;25.5;25.2;24.6;25.4;25.2;25.9;25.8;24.1;25.6;25.1;25.4;25.1;24.6;25.4;25.2;25.8;25.8;24.1;25.6;25;25.4;25.9;27;25;25.3;25.4
51392;30.3;30.2;30.4;30.3;29.8;29.5;29.8;30.1;30.1;30.1;30.3;29.3;30.3;30.1;30;30.3;29;29.8;30.1;29.7;30.2;29.4;30.3;30.1;30;30.3;29;29.8;30;29.7;30.7;31.5;30;30.4;30
51394;26.9;27;27.2;27.1;26.6;26.1;26.6;26.6;27.2;26.9;27.1;26.1;26.7;26.8;26.8;26.9;25.9;26.7;26.7;26.5;27.1;26.1;26.7;26.8;26.8;26.9;25.9;26.7;26.6;26.4;27.4;28;26.7;27.3;26.7
