code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;16.5;15.6;16.6;16.8;16.3;15.8;15.5;16.6;16.3;15.7;15.9;16;16;15.9;16.6;16.5;15.8;16.7;16;16.5;16.6;16;16.8;16.4;16.7;16.2;16.7;16.5;16.4;17.1;16.6;17.3;16.2;16.3;16.3
51340;24.6;24;24.4;24.9;23.8;24.3;24;24.4;24.7;24.3;24.4;24.5;24.2;24.2;24.5;24.8;24.3;24.7;24.6;24.1;24;24.2;25;24.7;24.5;24.3;24.7;24.9;24.3;24.8;24.5;25.5;25.1;24.7;24.5
51341;23.5;22.8;23.4;24;22.9;23.3;22.9;23.4;23.7;23.3;23.4;23.5;23.2;23.3;23.6;23.8;23.2;23.7;23.8;23.2;23.1;23.3;24.1;23.6;23.6;23.4;23.7;23.8;23.3;23.8;23.7;24.3;24;23.6;23.5
51342;25.8;25.3;25.5;26.1;24.9;25.4;25.1;25.6;25.9;25.5;25.6;25.4;25.3;25.2;25.5;26;25.4;25.8;25.6;25.3;25.1;25.2;25.9;25.9;25.5;25.6;25.8;26;25.5;26.1;25.6;26.6;26.2;25.8;25.6
51344;24.8;24;24.5;25;23.9;24.4;24.1;24.5;24.8;24.4;24.5;24.7;24.3;24.3;24.7;24.9;24.3;24.7;24.9;24.1;24.1;24.4;25.2;24.8;24.6;24.4;24.8;25;24.4;24.9;24.6;25.6;25.2;24.8;24.6
51345;22.1;21.4;22.1;22.5;21.5;21.9;21.4;22;22.3;21.8;21.8;22.2;21.9;21.7;22.2;22.3;21.9;22.4;22.1;21.7;21.8;21.8;22.8;22.1;22.3;21.9;22.2;22.4;21.6;22.4;22.2;23.1;22.6;22.2;22.1
51346;25.1;24.5;24.8;25.5;24.4;24.7;24.3;25;25.2;24.7;24.8;24.7;24.7;24.5;24.9;25.3;24.7;25.2;24.8;24.7;24.6;24.6;25.3;25.1;24.9;24.8;25.1;25.4;24.8;25.4;25;25.9;25.4;25;24.9
51347;18.1;17;18.1;18.4;17.7;17.3;17;18.1;17.9;17.2;17.4;17.5;17.5;17.3;18.1;18;17.2;18.2;17.4;18;18;17.5;18.2;17.9;18.1;17.6;18.1;18;17.8;18.5;18;18.8;17.6;17.7;17.8
51348;24.2;23.3;24;24.5;23.5;23.5;23.1;24.1;24;23.2;23.4;23.4;23.6;23.3;24.1;24.4;23.2;24.2;23.4;23.7;23.8;23.6;24.2;24.2;24;23.9;24.2;24.4;24;24.7;23.9;24.8;23.9;23.6;23.9
51349;22.5;21.7;22.5;22.9;22;22;21.6;22.5;22.6;21.9;22;22.2;22.1;21.9;22.5;22.6;22.1;22.7;22.1;22.3;22.2;22;22.8;22.5;22.5;22.2;22.5;22.7;22.1;22.8;22.5;23.4;22.6;22.3;22.4
51351;20.1;19.3;20.3;20.5;19.7;19.8;19.3;20.1;20.3;19.6;19.6;20.1;19.9;19.6;20.3;20.2;19.9;20.5;19.8;19.9;19.9;19.7;20.7;20.2;20.4;19.9;20.2;20.4;19.7;20.5;20.3;21.1;20.3;20.1;20.1
51352;24.2;23.3;24;24.3;23.5;23.4;23.1;24.1;23.6;23.2;23.4;23.3;23.7;23.4;24;24.3;22.9;23.9;23.4;23.5;23.9;23.7;24.3;24.2;24;24;24.3;24.1;24.1;24.7;23.8;24.7;23.9;23.5;23.8
51354;19.7;18.7;19.6;20;19.2;18.9;18.6;19.7;19.4;18.7;19;19;19.1;18.9;19.7;19.7;18.7;19.7;19;19.4;19.5;19.1;19.7;19.5;19.6;19.3;19.7;19.7;19.5;20.1;19.6;20.3;19.3;19.2;19.4
51359;20.8;19.8;20.7;21.1;20.3;20.1;19.7;20.8;20.6;19.9;20.1;20.2;20.2;20;20.8;20.8;20;20.9;20.1;20.6;20.6;20.2;20.8;20.6;20.7;20.4;20.8;20.9;20.5;21.1;20.7;21.5;20.4;20.4;20.5
51361;26.3;25.6;25.8;26.7;25.4;25.7;25.4;26.2;26.3;25.8;25.8;25.6;25.7;25.5;25.9;26.5;25.8;26.3;25.7;25.8;25.6;25.6;26.2;26.3;25.9;26;26.2;26.6;26;26.6;26;27;26.5;26;26
51363;25.1;24.3;24.8;25.4;24.3;24.5;23.8;25;25.2;24.2;24.4;23.9;24.6;24;24.7;25.3;24.3;25.2;24.2;24.4;24.6;24.8;25.3;25.3;25.1;25.2;24.9;24.9;24.9;25.7;24.6;25.9;25;24.5;24.8
51364;25.7;24.9;25.4;26.1;24.9;25.1;24.6;25.6;25.7;24.9;25;24.7;25.1;24.7;25.4;26.1;24.9;25.7;24.8;25.1;25.2;25.3;25.8;25.8;25.5;25.6;25.7;26;25.5;26.2;25.3;26.4;25.7;25.1;25.4
51377;18.8;18.2;18.7;18.9;18.5;18;18.2;19;18.5;18.2;18.5;18.3;18.3;18.6;18.7;18.7;18.2;18.9;18.6;18.5;18.9;18.4;19.1;18.8;18.8;18.6;19.4;18.5;18.9;19.5;19;19.4;18.7;18.9;18.7
51380;18.7;17.9;19;19.2;18.6;18.4;18;18.8;18.9;18.3;18.3;18.7;18.5;18.3;19;18.9;18.6;19.2;18.5;18.7;18.9;18.5;19.5;18.8;19.2;18.6;19;19;18.4;19.3;19.1;19.8;19;18.9;18.8
51384;17.2;16.4;17.2;17.4;16.9;16.4;16.3;17.3;16.9;16.4;16.7;16.6;16.6;16.7;17.2;17.2;16.4;17.3;16.8;17;17.3;16.7;17.4;17.1;17.2;16.9;17.6;17;17.2;17.9;17.3;17.8;16.9;17.1;17
51388;16.7;16;16.8;17.1;16.7;16.2;16.2;16.9;16.7;16.4;16.6;16.4;16.4;16.6;16.7;16.9;16.7;17.1;16.6;16.7;17.2;16.5;17.4;16.9;17.2;16.8;17.3;16.8;16.7;17.5;17.2;17.8;16.9;17.2;16.8
51389;21.5;20.6;21.3;21.6;21;20.6;20.4;21.4;20.9;20.5;20.8;20.7;20.9;20.8;21.4;21.5;20.3;21.3;20.8;21;21.3;20.9;21.5;21.4;21.3;21.1;21.7;21.3;21.4;22;21.3;21.9;21.1;21;21.1
51392;25.4;24.8;25.2;25.5;24.9;24.6;24.7;25.7;24.5;24.8;25.2;24.9;25.1;25.1;25.1;25.4;24.6;25.1;25.1;24.8;25.3;25;25.8;25.4;25.3;25.2;25.9;25;25.3;26;25.4;25.9;25.1;25.3;25.2
51394;22;21.4;21.8;22;21.6;21.2;21.4;22.3;21.4;21.4;21.8;21.5;21.5;21.8;21.8;21.9;21.4;21.9;21.8;21.5;22.1;21.6;22.4;22;21.9;21.8;22.6;21.6;22;22.6;22.2;22.5;21.9;22.1;21.8
