code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;512.8;483.4;514.7;521.8;504.8;489.9;481.9;513.5;506.8;487.9;494;496.9;496.2;492.9;514.3;511.4;490.2;518;496.1;510.7;513.1;496.7;519.4;508.8;516.2;501.9;517.2;510.9;507.4;528.6;514.9;535.7;501.6;506.8;506.4
51340;763.7;744.6;757;772.3;738.6;752.8;743.9;757.1;765.7;754.1;756.5;759.4;751.5;750.8;759.8;768.6;752.2;764.4;762.2;748.6;744.5;749.6;775.8;765.1;759.6;753.8;765.7;770.5;752.3;769.4;760.7;790.9;776.7;764.3;759.5
51341;728;707.5;725.3;742.7;711.3;721.2;711.4;725.8;735.6;721.8;725.6;730;720.5;721.2;731.6;739.2;720.6;733.7;738.5;717.9;716.5;723.2;748.4;731;730.3;726.2;734.3;738.8;721.8;736.8;734;753.7;743.4;732.7;728.8
51342;798.9;784.7;789.7;810.3;772.6;786.8;777.9;793.3;801.6;791.3;792.7;787.9;784.4;782.5;789.5;805.7;786.9;799.3;792.7;785.8;777.6;782.6;802;802;790.3;792.3;799.8;807.3;790.7;808.7;793.7;824.2;813.5;800.2;794.1
51344;767.7;745;758.2;774.6;741;756.3;747.9;760.9;767.6;756.6;759.7;765.6;753.9;754.6;765.6;772.1;752.5;766.4;771.7;748.5;748.1;755.7;779.9;767.7;764;757.2;769.4;773.6;756.9;773.3;764.1;793.1;780.9;770.3;763
51345;686.1;663.3;684;698.2;666.8;677.7;664.1;682.2;691.1;676.4;675.6;687.2;678.6;673;688.5;692.1;678.8;693;686;671.5;674.7;676.4;705.3;686.5;690;678.6;688.5;695.7;670.5;694.6;687.5;715.5;700.3;688;684.3
51346;778.3;759.5;770.2;790.4;755.9;764.4;754.6;774.5;780.5;765.5;767.4;766.5;764.5;760.4;772.8;783.2;767.1;781.1;767.9;766.3;761.5;761.3;784;779.2;772.3;769.2;778.7;787.3;768.3;786.8;774.2;804;786.5;774.3;772.9
51347;559.8;528.5;561.1;569.2;549.3;536.9;526;559.8;553.6;532.2;537.9;543.7;542.6;536.2;561.2;557.3;534.3;564.4;540.2;556.5;556.7;541.8;563.9;554;560.9;547.1;560.1;559.3;551.9;572.2;559.1;581.8;546.6;549.4;551.6
51348;751.6;722.2;742.8;760.3;729.9;727.9;715.4;748.6;743.1;719.7;726.4;724.1;731.4;722.9;746.4;756.5;719;748.9;724;735.8;739.1;731.6;748.7;749.2;743.7;740.8;751;757.6;745.1;764.8;740.6;767.6;742.2;730.6;739.7
51349;698.1;673.1;697.4;710.4;682;683;670.4;696.4;699.8;680.1;681.8;689.2;685.4;678.2;698.8;700.1;684.4;705;684.9;690.6;688.3;682.1;708.1;697.1;698.3;688.2;698.2;704.8;686.6;707.7;697.3;724.7;699.5;692.4;693
51351;623.5;598.2;629.3;637;611.2;612.6;598;622.5;629.2;609;608.5;622.7;615.4;607.1;629;626.7;615.7;635.1;614.7;617.9;618.3;611.5;642.7;624.8;631;616.3;626;631.4;610.1;634.9;627.8;654.2;630.1;623.2;621.9
51352;750;723.8;742.5;753;729.4;725.4;716.1;746.6;731.6;718.1;726.2;722.2;734;723.9;744.5;753.9;710.1;741.4;724.5;727.9;740.1;734.6;753.6;751.3;744.7;744.4;752.4;746.5;746.6;766.3;738.8;764.7;739.8;729.3;738.2
