code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;22.1;22.1;22.7;23.1;22.9;22.1;21.5;22.4;23.4;22.5;22.5;21.9;22.2;22.3;22.6;22.6;21.8;22.8;21.8;22.6;22.5;21.9;22.2;22.3;22.5;22.6;21.8;22.8;21.8;22.5;22.8;24.4;22.2;23;22.4
51334;22.2;22.1;22.4;23.2;22.7;22.2;21.6;22.4;23.4;22.4;22.1;21.7;22.1;22.1;22.7;22.7;21.4;22.9;21.7;22.7;22;21.7;22.1;22.1;22.6;22.6;21.4;22.9;21.7;22.7;22.8;24.4;21.9;22.6;22.4
51336;21.5;21.4;21.8;22.4;22;21.4;20.9;21.7;22.7;21.7;21.5;21;21.4;21.4;21.9;21.9;20.7;22.1;21;22;21.4;21;21.4;21.4;21.9;21.9;20.7;22.1;21;21.9;22.1;23.7;21.2;22;21.6
51337;19.6;19.7;20;20.5;20.1;19.4;19;19.6;20.7;19.9;20;19.1;19.5;19.8;19.9;20;19;20.1;19.2;20.1;19.9;19.2;19.5;19.8;19.8;19.9;19;20.1;19.2;20;20.2;21.8;19.3;20.4;19.8
51350;23.2;23.1;23.7;24.2;23.9;23.3;22.6;23.6;24.5;23.4;23.3;22.9;23.2;23.1;23.8;23.8;22.7;23.9;22.8;23.6;23.2;22.9;23.2;23.1;23.7;23.7;22.7;23.9;22.8;23.6;23.8;25.4;23.2;23.7;23.5
51366;25.4;25.6;26.1;26.3;25.8;25;25.6;25.7;26.4;25.7;26.2;25.2;25.4;26;25.2;25.7;25.6;25.9;25.4;25.4;26.2;25.3;25.4;26;25.2;25.7;25.6;25.9;25.4;25.4;26;26.9;25.6;26.9;25.7
51368;25.4;25.6;26.1;26.3;25.8;25;25.6;25.7;26.4;25.7;26.2;25.2;25.4;26;25.2;25.7;25.6;25.9;25.4;25.4;26.2;25.3;25.4;26;25.2;25.7;25.6;25.9;25.4;25.4;26;26.9;25.6;26.9;25.7
51369;24.1;24.3;24.8;24.9;24.5;23.7;24.1;24.3;25.1;24.4;24.8;23.8;24;24.6;24;24.4;24.1;24.5;24;24.2;24.9;23.9;24;24.6;24;24.4;24.1;24.5;24;24.1;24.7;25.7;24.2;25.4;24.4
51371;25.5;25.6;26.2;26.4;26;25.1;25.5;25.9;26.5;25.8;26.3;25.3;25.5;26.1;25.3;25.8;25.7;26;25.5;25.5;26.3;25.4;25.5;26.1;25.4;25.8;25.7;26;25.4;25.5;26.1;27;25.7;27;25.8
51372;21.2;21.4;21.9;22.1;21.8;21;21;21.4;22.4;21.6;22;21;21.2;21.7;21.3;21.6;21.1;21.7;21;21.6;22;21;21.2;21.7;21.3;21.6;21.1;21.7;21;21.5;21.9;23.2;21.2;22.5;21.6
51375;25.4;25.6;26;26;25.5;24.7;25.5;25.4;26.2;25.7;26.2;25;25.2;25.9;25.1;25.5;25.3;25.7;25.4;25.2;26.2;25.1;25.2;25.9;25.2;25.5;25.3;25.7;25.4;25.2;26;26.6;25.6;26.7;25.6
51378;21.1;21.3;21.8;22;21.7;20.9;20.9;21.3;22.3;21.5;21.9;20.9;21.1;21.6;21.2;21.5;21;21.6;20.9;21.5;21.9;20.9;21.1;21.6;21.2;21.5;21;21.6;20.9;21.4;21.8;23.1;21.1;22.4;21.5
51382;21.3;21.5;22;22.2;21.8;21;21.1;21.5;22.4;21.7;22;21;21.3;21.8;21.4;21.7;21.2;21.8;21.1;21.6;22;21.1;21.3;21.8;21.4;21.6;21.2;21.8;21.1;21.6;22;23.2;21.3;22.6;21.6
51385;24.6;24.8;25;25.1;24.5;24;24.4;24.4;25.2;24.8;25;24;24.4;24.7;24.6;24.7;23.8;24.7;24.5;24.4;25;24;24.4;24.7;24.6;24.7;23.9;24.7;24.4;24.4;25.2;26;24.4;25.3;24.6
51386;19.7;19.9;20.3;20.6;20.3;19.6;19.2;19.8;20.9;20.1;20.2;19.4;19.7;20;20;20.1;19.3;20.3;19.4;20.2;20.2;19.4;19.7;20;20;20.1;19.3;20.3;19.4;20.2;20.4;21.9;19.6;20.7;20
51391;26.1;26.2;26.4;26.3;25.8;25.2;25.9;25.8;26.4;26.1;26.5;25.3;25.9;26.1;25.8;26;25.3;26;26;25.6;26.4;25.4;25.9;26.1;25.9;26;25.3;26;25.9;25.6;26.6;27.1;26;26.8;26
51393;23.1;23.4;23.6;23.7;23.2;22.5;22.9;23;23.9;23.4;23.6;22.5;22.9;23.3;23.1;23.2;22.5;23.3;23;23.1;23.6;22.6;22.9;23.3;23.1;23.2;22.5;23.3;22.9;23.1;23.7;24.6;23;23.9;23.2
51395;25.2;25.4;25.7;25.7;25.1;24.4;25.2;25.1;25.8;25.4;25.9;24.7;25;25.5;24.9;25.2;24.8;25.3;25.2;24.9;25.9;24.7;25;25.5;25;25.2;24.8;25.3;25.1;24.9;25.7;26.3;25.3;26.3;25.3
51396;25.5;25.7;26;25.9;25.4;24.6;25.5;25.3;26.1;25.7;26.2;25;25.2;25.8;25.1;25.4;25.2;25.6;25.4;25.1;26.2;25;25.2;25.8;25.2;25.4;25.2;25.6;25.4;25.1;26;26.5;25.6;26.7;25.5
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;25.5;25.7;26;25.9;25.4;24.6;25.5;25.3;26.1;25.6;26.2;24.9;25.2;25.8;25.1;25.4;25.2;25.6;25.4;25.1;26.2;25;25.2;25.8;25.1;25.4;25.2;25.6;25.4;25.1;25.9;26.5;25.6;26.6;25.5
68769;23;23.3;23.5;23.6;23.1;22.4;22.9;22.9;23.9;23.3;23.6;22.5;22.9;23.2;23;23.2;22.4;23.2;22.9;23;23.5;22.5;22.9;23.2;23;23.2;22.4;23.2;22.8;23;23.6;24.5;22.9;23.9;23.1
