code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;16.9;16.1;17.1;17.3;16.8;16.4;16.1;17;16.9;16.4;16.5;16.6;16.6;16.5;17.1;17;16.6;17.3;16.6;16.9;17.1;16.6;17.4;16.9;17.3;16.7;17.2;17;16.7;17.5;17.2;17.9;16.9;17;16.9
51334;18.1;17;18.1;18.4;17.7;17.3;17;18.1;17.9;17.2;17.4;17.5;17.5;17.3;18.1;18;17.2;18.2;17.4;18;18;17.5;18.2;17.9;18.1;17.6;18.1;18;17.8;18.5;18;18.8;17.6;17.7;17.8
51336;16.9;15.9;16.9;17.2;16.6;16.2;15.9;16.9;16.7;16.1;16.3;16.4;16.3;16.2;16.9;16.8;16.1;17.1;16.3;16.8;16.9;16.4;17.1;16.7;17;16.5;17;16.8;16.7;17.4;16.9;17.6;16.5;16.7;16.7
51337;13.9;13;14;14.1;13.8;13.1;13.1;13.9;13.7;13.2;13.4;13.4;13.4;13.5;13.9;13.9;13.3;14.1;13.5;13.9;14.1;13.5;14.2;13.9;14.1;13.6;14.3;13.7;13.8;14.6;14.1;14.7;13.6;13.9;13.8
51350;18.7;17.7;18.8;19;18.4;18.1;17.7;18.7;18.7;18;18.1;18.4;18.3;18;18.8;18.7;18.1;19;18.2;18.6;18.6;18.2;19.1;18.6;18.8;18.3;18.7;18.8;18.3;19.1;18.8;19.5;18.5;18.5;18.5
51366;21;20.4;20.9;21.2;20.9;20.4;20.9;21.4;21;20.8;21.1;20.6;20.5;21.3;20.8;21.1;21.1;21.4;21.1;20.9;21.5;20.9;21.8;21.3;21.4;21.2;21.9;21;21.1;21.8;21.6;22;21.3;21.8;21.2
51368;21;20.4;20.9;21.2;20.9;20.4;20.9;21.4;21;20.8;21.1;20.6;20.5;21.3;20.8;21.1;21.1;21.4;21.1;20.9;21.5;20.9;21.8;21.3;21.4;21.2;21.9;21;21.1;21.8;21.6;22;21.3;21.8;21.2
51369;19.2;18.6;19.1;19.4;19.1;18.5;19;19.5;19.2;19;19.3;18.8;18.7;19.4;19;19.3;19.2;19.5;19.2;19.1;19.7;19;19.9;19.4;19.6;19.3;20;19.2;19.3;20;19.8;20.2;19.4;19.9;19.3
51371;20.8;20.2;20.7;21;20.6;20.2;20.6;21.1;20.7;20.6;20.8;20.4;20.3;21;20.5;20.9;20.9;21.1;20.8;20.7;21.3;20.6;21.5;21;21.2;20.9;21.6;20.8;20.8;21.6;21.4;21.8;21.1;21.5;20.9
51372;15.5;14.8;15.5;15.7;15.4;14.8;15;15.7;15.4;15.1;15.4;15;15;15.4;15.4;15.6;15.3;15.8;15.4;15.5;15.9;15.2;16.1;15.6;15.9;15.4;16.2;15.4;15.5;16.3;16;16.4;15.5;15.9;15.5
51375;20.7;20.2;20.5;20.7;20.4;19.9;20.5;21.1;20.6;20.4;20.9;20.3;20.1;20.9;20.4;20.6;20.7;21;20.8;20.5;21.1;20.5;21.4;20.8;20.9;20.7;21.5;20.5;20.8;21.4;21.3;21.5;21;21.4;20.8
51378;15.4;14.7;15.4;15.6;15.3;14.7;14.9;15.5;15.3;15;15.2;14.9;14.9;15.3;15.3;15.4;15.2;15.7;15.2;15.4;15.8;15.1;15.9;15.5;15.7;15.3;16;15.3;15.4;16.2;15.8;16.3;15.4;15.8;15.4
51382;15.6;14.9;15.6;15.8;15.5;14.9;15.2;15.8;15.5;15.2;15.5;15.2;15.1;15.6;15.6;15.7;15.4;15.9;15.5;15.6;16;15.4;16.2;15.7;16;15.6;16.3;15.5;15.7;16.4;16.1;16.5;15.7;16.1;15.6
51385;19.6;19;19.5;19.6;19.3;18.8;19.1;19.9;19.2;19.1;19.5;19.1;19.1;19.5;19.4;19.5;19.1;19.6;19.5;19.3;19.8;19.2;20;19.6;19.6;19.4;20.2;19.3;19.7;20.3;19.9;20.2;19.6;19.8;19.5
51386;14;13.2;14.1;14.3;13.9;13.3;13.2;14.1;13.8;13.4;13.6;13.5;13.5;13.6;14;14;13.5;14.2;13.7;14;14.2;13.6;14.4;14;14.3;13.8;14.4;13.9;14;14.7;14.3;14.8;13.8;14.1;13.9
51391;21.1;20.6;20.9;21.1;20.8;20.3;20.7;21.5;20.6;20.7;21.1;20.7;20.7;21.1;20.9;21;20.7;21.1;21.1;20.7;21.3;20.8;21.6;21.1;21.1;21;21.8;20.8;21.2;21.8;21.4;21.7;21.2;21.4;21.1
51393;17.9;17.3;17.8;18;17.7;17.1;17.4;18.2;17.7;17.4;17.8;17.5;17.4;17.8;17.8;17.8;17.5;18.1;17.8;17.7;18.1;17.6;18.3;17.9;18;17.8;18.6;17.7;18;18.7;18.3;18.6;17.9;18.2;17.9
51395;20.3;19.8;20;20.2;20;19.4;20;20.7;20;19.9;20.4;19.9;19.7;20.4;20;20.1;20.1;20.4;20.3;19.9;20.5;20;20.9;20.3;20.4;20.2;21.1;20;20.3;21;20.8;21;20.4;20.8;20.3
51396;20.6;20.1;20.3;20.5;20.3;19.7;20.4;21;20.4;20.3;20.8;20.2;20;20.8;20.3;20.4;20.5;20.8;20.7;20.3;20.9;20.4;21.2;20.6;20.7;20.6;21.4;20.4;20.6;21.3;21.1;21.3;20.8;21.3;20.6
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;20.5;20.1;20.3;20.5;20.3;19.7;20.4;21;20.4;20.3;20.7;20.2;20;20.7;20.2;20.4;20.5;20.8;20.7;20.3;20.9;20.3;21.2;20.6;20.7;20.6;21.4;20.3;20.6;21.3;21.1;21.3;20.8;21.2;20.6
68769;17.9;17.2;17.7;17.9;17.6;17;17.3;18.1;17.6;17.4;17.7;17.4;17.3;17.7;17.7;17.7;17.4;18;17.8;17.6;18.1;17.5;18.3;17.9;17.9;17.7;18.5;17.6;18;18.6;18.2;18.5;17.9;18.2;17.8
