code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;524.9;498.6;530;536.3;521.2;506.9;499.5;526.7;524.1;507.6;511.3;515.1;513.2;510.9;528.9;526.9;513.3;535;514.8;524.8;530.3;513.7;540.2;524.6;535.3;518.7;533.7;525.5;519.1;543.9;533;553.4;522.4;527.7;523.3
51334;559.8;528.5;561.1;569.2;549.3;536.9;526;559.8;553.6;532.2;537.9;543.7;542.6;536.2;561.2;557.3;534.3;564.4;540.2;556.5;556.7;541.8;563.9;554;560.9;547.1;560.1;559.3;551.9;572.2;559.1;581.8;546.6;549.4;551.6
51336;523.5;493.6;525.3;532.6;515;500.7;491.9;524.1;517.6;498;503.9;507.7;506.8;502.7;525;521.7;500.4;528.6;506.2;521.2;523;506.9;529.6;519;526.5;512.1;526.8;521.9;517.4;538.3;525;546.4;511.9;516.5;516.7
51337;430;404.1;432.9;438;426.6;407.2;404.7;432.1;424.5;410.3;416.9;414.8;414.7;417.1;431.7;430.2;413.1;436.4;419;430.1;436.5;417.3;441.2;429.4;437.7;422.4;441.8;425.2;429.1;451.8;437.6;454.7;422.6;432.3;426.9
51350;578.8;549.7;583.3;590.4;568.9;561.4;548.6;578.8;578.5;557.2;559.8;570.1;566;558.3;582.8;578.5;562.1;587.7;563.9;575.8;576.1;563.8;590.6;576.1;584.1;568.8;580.1;581.9;568.3;591;581.3;605.6;574.1;573.6;574
51366;651.6;633.6;648.2;655.7;646.6;631.1;648.9;662.1;650.4;645.4;655.4;638.8;635.8;659.6;644.3;654.7;654.7;662.3;653.5;648.8;667.6;647.3;674.4;659.2;663.6;656.1;679.4;651.8;653;676.4;671;682.3;661.6;674.6;655.9
51368;651.6;633.6;648.2;655.7;646.6;631.1;648.9;662.1;650.4;645.4;655.4;638.8;635.8;659.6;644.3;654.7;654.7;662.3;653.5;648.8;667.6;647.3;674.4;659.2;663.6;656.1;679.4;651.8;653;676.4;671;682.3;661.6;674.6;655.9
51369;596.1;577.1;593.6;600.3;591.5;574.6;589.4;605.2;593.8;587.6;597.3;582.9;580.2;600.6;590.3;598;595.5;605.7;596.2;593.4;610.4;590.2;616.8;602;606.9;598.2;621.4;594.4;597.5;620.7;613.6;625.2;602.9;615.8;599
51371;643.4;625;641;649.7;639.2;624.7;639.2;654.5;643.1;637.2;646.1;631.4;629.7;650.5;636.3;648.6;647.4;655;645.1;641.1;660.6;639.6;667.5;650.9;657.1;648.8;670.4;645.5;644.1;668.2;662.8;674.9;654.3;665.6;648.2
51372;480.3;458.7;481;486.5;478;458.5;466.5;486;477.2;468.1;476.2;466.3;465;478.4;478.5;482.3;474.3;489.1;476.5;480.1;493;472.3;498;484.4;491.5;478.9;501.2;476.8;481.6;505.3;494.7;508.7;481.5;494.3;481.5
51375;641.4;625.4;635.3;641;633.5;617.3;636.6;653.7;637.3;633.7;646.4;629.1;624.6;647.8;632.6;638.9;640.4;649.7;644.8;634.2;653.1;635.3;662.1;645;647.7;643.1;668;636.7;643.5;664.2;659.4;666.6;650;663.2;643.6
51378;476.4;454.7;477.3;482.7;474.2;454.6;462.4;482;473.3;464.1;472.1;462.5;461.2;474.4;474.8;478.4;470.2;485.2;472.5;476.3;489;468.4;494;480.5;487.6;474.9;497.2;472.8;477.7;501.5;490.8;504.8;477.4;490.3;477.5
51382;484.4;462.9;484.7;490;481.5;462.1;470;490.2;480.7;471.7;480;470.3;468.8;482.1;482.4;485.7;477.3;492.6;480.5;483.5;496.3;476;501.4;488;494.6;482.4;505;480.2;485.8;509.2;498.3;511.8;485.2;497.7;485.1
51385;608.4;589.4;603.3;607.9;597.9;582.5;590.7;615.9;595.2;590.6;603.2;593.2;591.2;603.1;602.2;604.4;591.1;608.9;603.7;597.1;612.4;596.4;619.8;607.7;607.6;602.1;627.2;597.8;610.5;629.6;616.1;625.6;606.6;613.7;604.5
51386;434;408.8;436.7;441.8;431;411.5;410.7;436.7;429.1;415.7;422.5;419.1;418.8;423;435.2;434.5;419.2;440.9;424.3;434.2;441.7;422.2;446.5;434.2;442.5;427.5;447.4;429.4;433.4;456.4;442.9;459.5;428.1;438.5;431.7
51391;655.6;639.6;648.9;654;643.9;630.1;641.7;667;640;640.7;655.1;642.5;641;653.6;647.1;650.8;641.1;655.6;653.5;641.4;659.3;645.1;670.8;654.8;654.2;650.3;676.9;644.3;657.1;675.5;664.6;672.7;655.8;664.5;652.6
51393;556.3;536.7;552;556.5;547.5;530.1;539.7;563.7;547.4;540;551.7;541.4;538;552.4;551.1;552.4;541.9;559.7;552.9;548.3;562.6;544.9;568.4;556.1;557.8;551.2;575.8;547.3;558.8;578.8;566.5;575.4;555.7;564.8;553.6
51395;628.3;612.8;621.5;626.5;618.8;602.7;620.1;640.9;620.6;618.2;632;616.1;611.8;631.8;619.6;623.5;622.3;633.9;630.6;618.4;636.7;620.5;646.8;629.5;631.1;627.2;653;620.4;630.5;649.9;643.5;649.7;633.9;646.3;628.5
51396;637.7;622.6;630.5;635.4;628.5;612.2;632;650.8;632.4;629.3;643.3;625.7;620.6;643.4;628.3;632.8;634.9;645;641.7;628.6;647.7;630.9;657.6;639.6;641.6;638.3;663.7;631;640;659.6;655.1;660.5;645.7;659.1;639
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;637;621.9;629.8;634.7;627.9;611.5;631.4;650.1;631.7;628.7;642.6;625;619.8;642.7;627.7;632.1;634.3;644.3;641.1;628;647;630.3;656.8;639;640.9;637.6;663.1;630.3;639.4;659;654.4;659.9;645;658.4;638.3
68769;554;534.4;549.7;554.2;545.4;527.8;537.5;561.4;545.4;537.9;549.6;539.1;535.6;550.2;548.9;550.1;539.9;557.6;550.7;546.2;560.5;542.7;566.2;553.9;555.6;549.1;573.6;545.1;556.5;576.6;564.4;573.3;553.5;562.8;551.5
