code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;16.9;16.7;17.4;17.7;17.2;16.5;16.5;17.1;17.1;16.7;16.9;17.4;17.4;17.3;17.2;17.6;16.8;17.6;17.5;17.4;17.3;16.8;17;17.2;17;17.2;17.6;17.4;17;18.3;17.9;18.2;17.2;16.7;17.2
51340;24.9;24.5;25.1;25.5;24.8;24.9;24.8;25.1;25.1;24.8;25;24.9;25.5;25.3;25.3;25.4;25.2;25.4;25.7;24.8;24.9;25;25.6;25.6;25.1;25.7;25.3;25.3;24.4;25.9;25.9;26.2;25.7;25;25.2
51341;23.6;23.4;24.1;24.5;23.8;23.8;23.6;24;24.3;23.8;24.2;23.8;24.5;24.3;24.3;24.2;24.2;24.5;24.7;23.9;24.1;24.1;24.6;24.6;24.2;24.8;24.3;24.2;23.4;24.9;24.8;25;24.6;24.2;24.2
51342;26.3;25.7;26.1;26.6;25.8;25.9;26;26.3;26.2;25.9;26.1;26;26.6;26.1;26.4;26.6;26.4;26.4;26.7;25.8;25.9;26;26.5;26.6;26.1;26.9;26.6;26.6;25.7;27;27.2;27.5;26.8;26.1;26.3
51344;25;24.7;25.3;25.6;25;25.1;25;25.4;25.4;25;25.3;25.1;25.6;25.5;25.5;25.5;25.4;25.6;25.9;25.1;25.2;25.3;25.9;25.9;25.5;25.9;25.5;25.5;24.7;26.1;26.1;26.3;25.9;25.4;25.4
51345;22.2;22;22.8;23.2;22.5;22.4;22.1;22.7;22.8;22.3;22.5;22.5;23.1;23.1;22.9;22.9;22.7;23.2;23.3;22.5;22.7;22.8;23.3;23.1;22.8;23.4;22.9;22.8;21.9;23.6;23.3;23.7;23.3;22.5;22.8
51346;25.6;25.2;25.5;26.1;25.3;25.2;25.3;25.7;25.6;25.3;25.4;25.5;26.1;25.7;25.7;26;25.7;26;26.1;25.3;25.4;25.5;25.8;26;25.5;26.2;26;25.9;25;26.4;26.5;26.9;26.1;25.3;25.7
51347;18.4;18.2;18.9;19.2;18.7;17.9;18;18.7;18.6;18.2;18.4;18.9;18.9;18.8;18.7;19;18.3;19.2;19.1;18.9;18.8;18.4;18.5;18.8;18.6;18.7;19.2;19;18.4;19.8;19.4;19.8;18.8;18.2;18.7
51348;24.9;23.9;24.7;25.1;24.5;23.7;24.3;24.6;24.5;24.2;24.3;24.7;25.1;24.4;24.8;24.9;24.4;25.1;24.7;24.5;24.6;24.4;24.3;24.9;24.5;24.9;25.3;25.2;24.5;25.7;25.7;25.8;25;24;24.7
51349;22.9;22.7;23.3;23.8;23.1;22.6;22.6;23.2;23.2;22.8;22.9;23.2;23.6;23.4;23.3;23.5;23;23.7;23.6;23.1;23.2;23.1;23.3;23.4;23.1;23.6;23.6;23.5;22.6;24.2;24;24.4;23.6;22.8;23.3
51351;20.4;20.3;21.1;21.5;20.8;20.4;20.2;20.9;21;20.4;20.6;20.9;21.2;21.3;21;21.2;20.7;21.4;21.3;20.9;20.9;20.8;21.2;21.1;20.9;21.3;21.2;21;20.2;21.9;21.5;22;21.3;20.5;21
51352;24.9;23.8;24.6;25;24.5;23.4;24;24.2;24.4;23.8;24.2;24.6;24.9;24.2;24.7;24.8;23.8;24.9;24.4;24.4;24.5;24.1;24.1;24.7;24.5;24.6;25.1;24.7;24.5;25.6;25.4;25.3;24.9;24;24.5
51354;20.2;19.7;20.4;20.7;20.2;19.4;19.6;20.2;20.1;19.8;19.9;20.4;20.5;20.2;20.3;20.5;19.8;20.7;20.5;20.3;20.3;19.9;19.9;20.3;20.1;20.3;20.8;20.6;20;21.3;21.1;21.2;20.4;19.7;20.3
51359;21.2;20.9;21.5;21.9;21.4;20.6;20.8;21.4;21.3;20.9;21.1;21.5;21.7;21.4;21.4;21.7;21.1;21.8;21.7;21.4;21.4;21.1;21.2;21.5;21.2;21.5;21.9;21.7;21.1;22.4;22.2;22.5;21.5;20.8;21.4
51361;26.9;26.2;26.5;27.2;26.3;26.1;26.5;26.8;26.6;26.4;26.4;26.6;27.1;26.5;26.8;27;26.8;26.9;27;26.2;26.4;26.5;26.7;27;26.5;27.3;27.2;27.2;26.2;27.5;27.8;28;27.2;26.3;26.8
51363;25.8;24.6;25.5;25.8;25.1;24.2;25.1;25.1;25.5;24.9;25.1;25;26;24.7;25.6;25.8;25;25.6;25.4;25.2;25.2;25.1;25.1;26;25.4;25.8;26;25.9;25.3;26.4;26.5;26.7;26;24.9;25.4
51364;26.5;25.3;26.1;26.5;25.8;25.1;25.8;26.1;26;25.7;25.7;26;26.6;25.6;26.3;26.4;26;26.3;26.1;25.8;25.9;25.9;25.8;26.5;26;26.6;26.8;26.7;25.9;27.1;27.3;27.4;26.5;25.4;26.2
51377;19.4;19;19.4;19.6;19.3;18.8;18.8;19.1;19.1;18.8;19.2;19.5;19.4;19.2;19.1;19.8;18.8;19.6;19.5;19.5;19.5;18.8;19.1;19.3;19.2;19.2;19.9;19.3;19.4;20.3;20.2;20;19.5;19.2;19.3
51380;19;18.9;19.8;20.1;19.5;19;18.8;19.5;19.6;19;19.3;19.6;19.8;20;19.6;19.9;19.5;20.1;19.9;19.7;19.7;19.4;19.8;19.7;19.6;20;19.8;19.5;19;20.6;20.1;20.6;19.8;19.2;19.6
