code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;507.1;501.2;521.5;529.9;517.2;494.1;496.2;513.9;512.4;500.9;506.4;521;521;518.7;514.5;527.1;505.1;528.4;524.9;522.3;520.4;505.3;510.5;517.2;510.9;516;529.3;520.8;509.5;547.9;536.4;546.8;516.3;501.3;516.8
51340;747.3;736.5;753.6;764.5;743.7;746;743.8;753.8;754.3;743.4;748.9;747.1;764.1;758.8;758.6;762.6;755.6;763.1;770.2;743.8;748;751.3;768.4;767.1;753.9;770.6;760.5;759;732;775.7;776.2;787.1;771.5;750.3;756.8
51341;708.4;701.3;724.4;735.8;714.2;712.8;709.2;721.4;728;712.8;727.4;714.5;733.6;729.4;728.4;725.8;725.4;735.8;740.8;718.3;723.1;724.2;737.2;737.9;725.3;743.9;727.9;727.3;702.3;747.7;745;751.3;738.7;724.5;726.6
51342;789;772.4;783.9;799.1;773.3;777.5;781;789.5;785.1;777.8;782;780.9;798.5;784.3;791.6;797;791.7;791.1;801.2;773.4;778.3;780.4;793.8;799.2;783;807.8;798.5;797.2;769.7;808.7;815;826;804.1;784;790.2
51344;750.3;740.4;759.5;768.3;750.2;752.6;749.6;760.7;762.4;750.2;759;752.6;769;765.4;765.9;764.2;762.7;767.8;778.4;751.9;755.9;760.4;776.4;775.7;764.5;776.9;763.9;763.6;739.7;783.3;781.7;788.8;777.1;761;763.2
51345;666.9;659.7;683.7;695;675.4;670.8;664.4;681.3;684.3;669.3;675.4;676;692.6;692.8;686.4;688;680.9;694.7;697.9;674.9;680.7;682.7;698.3;691.9;684.8;700.6;685.6;683.1;656.4;707.1;699.9;711.9;699.2;674.7;684.3
51346;767.9;754.8;765.7;783.4;759.6;755.9;758.7;771.2;767.2;758;761.9;765.5;781.5;770.4;772.4;779.1;769.6;778.7;781.8;758.4;763.3;765.2;775.5;779.2;764.4;785.3;780.9;778.4;750.5;793.3;795.7;805.8;784.1;760.4;771.9
51347;552.6;546.1;566.8;576.6;562.5;538.3;540.4;560.1;559.2;546.8;551.5;565.8;567.8;564.5;560.9;570.4;549.3;575.2;571.6;566.3;564.7;552.4;555.4;564.2;556.8;562.1;574.8;568.8;552.9;593.9;583;593.1;563.2;544.9;562.4
51348;746.2;718.4;740.3;754.2;736.3;710.7;727.7;739.4;735.6;725.6;729;741.9;752.1;733.4;745.4;748.3;731.8;751.6;741.8;735.9;738;732.9;729.7;746.4;735.8;747.8;758.8;755;733.9;771.8;772.4;772.6;748.8;720.2;741.5
51349;688.1;680.3;698.3;713.2;692.1;679.5;678.9;697;696.4;682.9;687.2;696.3;706.9;702.5;698.6;705;691;710.3;708.6;693.2;695;692.5;700.4;703.5;693.4;707.3;707.2;703.8;679.1;725;718.7;730.6;706.9;683.5;698.6
51351;612.4;608.4;633.2;645.9;624.3;612.1;606.3;626.8;629.8;612.4;617.6;627.7;637;639.2;630.2;635.9;622.1;643.3;639.9;627.2;627.9;624.9;636.1;633.8;627.5;640;635.1;630.8;607.3;656.8;644.8;660.4;638.5;615.6;629.7
51352;746.5;715.1;738.1;748.8;733.6;703.2;718.8;726.5;730.8;714.9;726.8;737.2;747.1;725;741.3;745.5;712.8;745.9;731.1;733;733.7;722.7;724.2;739.8;735.7;736.9;752.2;739.7;735.2;769.1;763.1;759.8;746.5;718.7;735.3
51354;605;590.4;610.8;621.6;607.3;582.3;589.2;605.2;603.6;592.6;597.6;611.4;615;606.9;608.3;615.7;594;620.2;614.1;610;610;598;597.9;610.5;603;608.7;622.8;616.9;601;639.4;633.5;637.1;611.7;590;608.3
51359;636.7;626.6;644;657.1;640.6;618.9;623.5;641.8;639.1;628;632.3;644.8;650.5;643.2;642.3;650.3;632;654.9;651.5;642.6;642.9;634.2;636.2;646;636.7;645.8;656.2;651.3;631.8;673.2;666.4;674.5;646.5;625.2;643.2
51361;806.4;785.4;794.5;814.7;788.6;783.5;794.5;805;796.8;791.2;792.9;797.5;814.5;794.6;804.7;810;803.5;807.3;810.4;787;792.7;795.6;800;810.7;794.7;818.9;817.1;815.1;787.3;825.9;833;836.8;814.6;789.2;803.4
51363;773.3;737.6;764.7;773.5;753.1;727.2;751.7;754.1;766.3;747.5;751.7;750.6;778.6;740.4;767.5;773;748.6;766.8;762.8;756.2;755.4;752.3;753.3;780.2;763.4;774.4;780.8;776.3;758.7;793.4;795.1;801.2;779.5;747.7;763.4
51364;793.6;757.6;782.7;795.6;774.1;751.5;775.5;782.2;781;770.4;770.7;779.2;797.4;768;790.3;792.5;780;790.4;782.1;773.5;775.8;776.7;774.3;795.1;780.4;798.1;803.6;801.1;777.6;813.9;818.7;817.7;795.9;763.5;784.7
51377;581.3;570;581.1;588.2;580.2;563.4;565;572.7;574.1;563.9;576.3;586;581.1;577.3;574.4;592.7;562.8;588.2;584.8;583.9;585;563.3;572.5;577.8;577.4;577.4;595.7;577.9;581.5;610.4;606.4;601.2;585.7;576.5;580.5
51380;569.1;567.4;593.2;604.2;586.4;570.4;564.8;585.7;587.4;570.7;578;589.5;594.6;598.7;589.1;598;584.2;601.7;597.5;590.5;591;582.5;594.9;589.8;587.1;598.6;594.4;585.8;569.7;617.4;601.6;618.9;593.8;576.7;588.9
51384;530.7;519.6;536.9;543.8;533.8;512.7;516.8;528;526.9;517.3;525;538.8;536.1;532;529.6;545.6;518.8;542.6;538.6;539.3;537.8;518.3;524.9;532.2;528.1;530.6;548;535.4;532.3;563.8;557.2;558.6;535.2;522;533.5
51388;506.6;505.3;523.7;531.1;521.3;505.8;502;515.9;518;503.5;515.8;526.1;521.4;525;517.9;536.4;517.6;530.2;526.7;526.2;529.4;509.9;522.4;519.4;520.6;527.7;531.6;512.5;513.9;549.5;536.3;549.8;521.9;520.7;521.8
51389;662.1;640.6;660.2;670.2;657.8;632.2;641.1;650.7;651.9;640.4;648.9;662.3;665.4;653.5;658.8;667.2;637.6;668.8;658.9;659.2;659.3;644.6;645.8;658.7;654.2;655.5;674;662.3;656.2;689.5;685.5;681.2;664.7;642.8;657.7
51392;785.1;770.6;774.2;790.9;774.7;758;755.7;764.8;770.4;757.2;781.1;782.5;782.9;770;772.9;787.6;742.4;786.5;777;772.1;779.7;759.4;768.1;773.7;778.7;771.1;789.5;762;775.4;801.7;799.2;790.1;786.5;772.5;775.4
51394;679.9;667.2;672;683.3;673.6;658.9;657.7;663.7;668.4;657.3;675.2;680.5;676.8;670.1;668.5;686;649.3;682.6;676.7;673.7;678.2;656.6;666.1;671;673.7;670.2;689.8;665.9;675.5;705.4;701.3;689.8;683.7;673.8;674.2
