code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;22.4;22.3;23.1;24;22.3;22.9;23.1;23.4;23.4;22.5;23.5;23.5;23.4;23;23.4;24.1;22.3;23.5;23.2;24;23.5;23.5;23.4;23;23.4;24.1;22.3;23.5;23.2;24;23.5;24.7;22.9;22.9;23.3
51334;22.7;22.9;23.1;24.3;22.5;23;23.3;23.7;23.9;23;23.7;23.7;23.8;23.2;23.7;24.2;22.2;23.9;23.6;24.1;23.6;23.6;23.8;23.2;23.7;24.2;22.3;23.9;23.6;24.1;23.8;24.9;23.3;23;23.5
51336;22;22;22.4;23.5;21.7;22.2;22.6;22.8;23;22.1;22.9;22.9;22.9;22.3;22.8;23.5;21.4;23.1;22.8;23.3;22.9;22.9;22.9;22.3;22.8;23.5;21.5;23.1;22.7;23.4;23;24.1;22.4;22.3;22.7
51337;20.1;19.9;20.4;21.3;19.6;20.3;20.6;20.8;20.7;19.9;20.9;21;20.7;20.2;20.6;21.6;19.4;21;20.6;21.4;20.9;20.9;20.8;20.2;20.6;21.6;19.4;21;20.6;21.5;21;22.1;20.2;20.4;20.7
51350;23.5;23.7;24.3;25.4;23.6;24.1;24.2;24.8;24.9;23.9;24.7;24.6;24.7;24.3;24.8;25.2;23.5;24.8;24.6;25;24.7;24.6;24.8;24.3;24.8;25.2;23.5;24.8;24.5;25;24.7;25.9;24.4;24;24.5
51366;25.7;25.1;26.1;26.8;25.4;26;26.1;26.2;25.6;25.1;26.7;26.3;26;25.9;25.8;26.6;25.4;26.5;26.1;26.5;26.7;26.2;26;25.9;25.7;26.6;25.4;26.5;26;26.5;26.7;27.1;26;26.7;26.1
51368;25.7;25.1;26.1;26.8;25.4;26;26.1;26.2;25.6;25.1;26.7;26.3;26;25.9;25.8;26.6;25.4;26.5;26.1;26.5;26.7;26.2;26;25.9;25.7;26.6;25.4;26.5;26;26.5;26.7;27.1;26;26.7;26.1
51369;24.5;23.9;24.8;25.5;24.1;24.7;24.9;25;24.4;23.8;25.4;25;24.8;24.5;24.5;25.4;24;25.2;24.8;25.3;25.4;25;24.8;24.5;24.5;25.4;24;25.2;24.7;25.3;25.3;25.9;24.6;25.2;24.8
51371;25.6;25;26.1;26.9;25.5;26.1;26.1;26.3;25.7;25.1;26.7;26.3;26.1;25.9;25.9;26.6;25.5;26.5;26.1;26.5;26.7;26.3;26.1;25.9;25.8;26.6;25.5;26.5;26;26.5;26.7;27.1;26;26.7;26.1
51372;21.6;21.2;22;22.7;21.2;21.9;22.1;22.2;21.8;21.2;22.5;22.4;22;21.7;21.9;22.9;21.1;22.4;22;22.8;22.5;22.3;22.1;21.7;21.8;22.9;21.1;22.4;21.9;22.8;22.5;23.4;21.7;22.2;22.1
51375;25.9;25.1;26;26.6;25.5;25.7;26.1;26.2;25.5;25;26.7;26.1;26;25.8;25.6;26.5;25;26.4;26.1;26.3;26.8;26.1;26;25.8;25.6;26.6;25.1;26.4;26.1;26.3;26.7;26.9;26.1;26.7;26
51378;21.5;21.1;21.9;22.6;21.1;21.8;22;22.1;21.7;21.1;22.4;22.3;22;21.6;21.8;22.8;21;22.3;21.9;22.7;22.4;22.2;22;21.6;21.7;22.8;21;22.3;21.9;22.7;22.4;23.3;21.6;22.1;22
51382;21.8;21.3;22.1;22.8;21.3;22;22.2;22.3;21.9;21.3;22.6;22.5;22.2;21.8;22;23;21.1;22.5;22.1;22.8;22.6;22.4;22.2;21.8;21.9;23;21.2;22.5;22.1;22.8;22.6;23.5;21.8;22.3;22.2
