code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;17.2;17.1;17.9;18.2;17.7;17.1;17;17.6;17.6;17.2;17.4;17.8;17.8;17.9;17.7;18.1;17.5;18.1;18;17.9;17.9;17.4;17.7;17.7;17.6;17.8;18;17.7;17.4;18.7;18.2;18.7;17.7;17.3;17.7
51334;18.4;18.2;18.9;19.2;18.7;17.9;18;18.7;18.6;18.2;18.4;18.9;18.9;18.8;18.7;19;18.3;19.2;19.1;18.9;18.8;18.4;18.5;18.8;18.6;18.7;19.2;19;18.4;19.8;19.4;19.8;18.8;18.2;18.7
51336;17.2;17.1;17.7;18;17.6;16.8;16.9;17.5;17.4;17;17.2;17.7;17.7;17.6;17.5;17.9;17.2;18;17.9;17.7;17.7;17.2;17.4;17.6;17.4;17.6;18;17.7;17.3;18.6;18.2;18.6;17.6;17;17.6
51337;14.2;14.1;14.7;14.9;14.6;13.9;14;14.4;14.3;14;14.2;14.7;14.6;14.6;14.4;15;14.2;14.9;14.8;14.8;14.7;14.1;14.4;14.5;14.3;14.5;15;14.5;14.4;15.6;15.1;15.5;14.5;14.2;14.6
51350;19;18.9;19.6;20;19.4;18.8;18.7;19.4;19.4;18.9;19.1;19.5;19.7;19.7;19.5;19.7;19.1;19.9;19.8;19.5;19.5;19.2;19.4;19.6;19.3;19.6;19.8;19.6;19;20.5;20.1;20.5;19.6;18.9;19.5
51366;21.3;21.2;21.4;21.6;21.5;21.3;21;21.2;21.5;20.9;21.6;21.7;21.3;21.5;21.3;22;21.3;21.8;21.7;21.6;21.9;21.1;21.5;21.4;21.7;21.7;22;21.1;21.5;22.4;22.2;22.4;21.7;22.1;21.6
51368;21.3;21.2;21.4;21.6;21.5;21.3;21;21.2;21.5;20.9;21.6;21.7;21.3;21.5;21.3;22;21.3;21.8;21.7;21.6;21.9;21.1;21.5;21.4;21.7;21.7;22;21.1;21.5;22.4;22.2;22.4;21.7;22.1;21.6
51369;19.5;19.4;19.7;19.9;19.7;19.4;19.3;19.5;19.7;19.2;19.7;19.9;19.6;19.7;19.5;20.3;19.5;20;19.9;19.8;20.1;19.3;19.7;19.7;19.8;19.9;20.2;19.4;19.7;20.7;20.4;20.6;19.9;20.1;19.8
51371;20.9;20.9;21.2;21.4;21.2;21;20.7;21;21.2;20.7;21.3;21.4;21.1;21.2;21;21.8;21;21.5;21.4;21.3;21.6;20.8;21.3;21.2;21.4;21.5;21.7;20.8;21.1;22.1;21.9;22.1;21.4;21.8;21.3
51372;15.8;15.7;16.1;16.3;16.1;15.6;15.5;15.8;15.9;15.5;15.9;16.2;16;16.1;15.9;16.6;15.8;16.3;16.2;16.3;16.3;15.6;16;16;16;16.1;16.5;15.8;16;17;16.7;17;16;16.1;16.1
51375;21.1;20.9;21;21.2;21.1;20.9;20.7;20.9;21.1;20.6;21.3;21.3;21;21.1;20.8;21.6;20.8;21.4;21.3;21.2;21.5;20.6;21.1;21;21.2;21.3;21.7;20.8;21.2;22.1;22;21.8;21.4;21.7;21.2
51378;15.6;15.5;16;16.2;15.9;15.5;15.4;15.7;15.8;15.4;15.8;16.1;15.9;15.9;15.7;16.5;15.7;16.2;16.1;16.2;16.2;15.4;15.9;15.8;15.8;16;16.4;15.7;15.9;16.9;16.5;16.8;15.9;16;15.9
51382;15.9;15.8;16.3;16.4;16.2;15.7;15.7;16;16;15.6;16;16.4;16.1;16.2;16;16.7;15.9;16.4;16.4;16.4;16.5;15.7;16.1;16.1;16.1;16.2;16.6;15.9;16.1;17.1;16.8;17.1;16.2;16.2;16.2
51385;20.2;19.8;20.1;20.3;20.1;19.6;19.6;19.8;19.9;19.6;20.1;20.3;20.1;20;19.9;20.5;19.5;20.4;20.2;20.2;20.3;19.5;19.9;20;20.1;20;20.6;19.9;20.2;21.1;21;20.7;20.3;20.1;20.1
51386;14.3;14.2;14.8;15;14.7;14;14.1;14.5;14.5;14.1;14.4;14.9;14.7;14.7;14.5;15.2;14.4;15;14.9;14.9;14.9;14.2;14.5;14.6;14.5;14.6;15.1;14.6;14.6;15.7;15.2;15.6;14.6;14.4;14.7
51391;21.8;21.5;21.5;21.9;21.6;21.2;21.1;21.3;21.5;21.1;21.8;21.8;21.6;21.5;21.4;22;20.9;21.9;21.8;21.6;21.8;21;21.4;21.5;21.7;21.6;22.1;21.3;21.7;22.7;22.6;22.1;22;21.8;21.6
51393;18.4;18.1;18.4;18.6;18.4;18;18;18.2;18.2;17.9;18.4;18.6;18.4;18.3;18.2;18.9;17.9;18.7;18.6;18.6;18.6;17.8;18.2;18.3;18.4;18.4;18.9;18.3;18.5;19.4;19.3;19.1;18.6;18.5;18.4
