code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;516.7;514.4;536.5;544.8;531.2;511.5;510.2;528.3;527.3;514.5;521.3;535.1;535.2;536.8;529.5;543.5;524.5;542.7;539.3;537.2;535.8;520.9;531;530.9;526.8;534.5;541;530.4;521;561.3;546.6;561.6;531.1;518.9;531.5
51334;552.6;546.1;566.8;576.6;562.5;538.3;540.4;560.1;559.2;546.8;551.5;565.8;567.8;564.5;560.9;570.4;549.3;575.2;571.6;566.3;564.7;552.4;555.4;564.2;556.8;562.1;574.8;568.8;552.9;593.9;583;593.1;563.2;544.9;562.4
51336;517.4;511.6;532;540.7;527.6;504.3;506.3;524.6;523.2;511.5;516.8;531.3;531.8;529.4;525.2;537;515.3;539.2;535.8;532.4;530.6;516.2;520.9;528.1;521.4;526.6;539.7;531.9;519.3;558.5;547;557.5;527;511.3;527.3
51337;426.9;422.7;441.9;447.8;437.5;416.7;418.5;432.7;430;420.3;427.3;442.2;438.4;438.2;432.7;451.1;427.4;446.1;443;445;442.5;422.2;431.8;434.6;430.1;434.8;449;436.1;433.3;466.8;454.2;465.2;433.6;425.1;436.6
51350;569.9;566;589;599.9;582.6;563;560.9;581.9;582.9;567.8;572.7;586;590.3;590.6;583.5;591.7;573.7;598;594.2;586.4;585.3;576.7;583.3;586.7;580.3;588.4;593.5;588;569.1;614.5;601.6;615.4;587.8;568.1;584.4
51366;638.8;636.1;643.3;649.2;644.5;637.7;631.2;636.3;644.3;628;647;650.9;639.4;643.8;638.4;661.1;638.2;653.3;649.9;647.4;655.9;631.7;645.2;643.3;649.5;651.9;659.8;632.5;644;672.2;666.4;670.8;651;662.4;646.9
51368;638.8;636.1;643.3;649.2;644.5;637.7;631.2;636.3;644.3;628;647;650.9;639.4;643.8;638.4;661.1;638.2;653.3;649.9;647.4;655.9;631.7;645.2;643.3;649.5;651.9;659.8;632.5;644;672.2;666.4;670.8;651;662.4;646.9
51369;585.6;582.5;591.3;596.9;591.6;582.3;577.5;583.9;589.6;575;592;597.7;587.3;590.9;585.2;607.7;584.3;600;597;595.4;601.8;577.6;591;589.6;594;596.6;606.3;581.5;591;619.6;612.8;617.4;596.1;603.9;593.3
51371;628.5;626.1;635.3;642.1;636.2;628.5;621.7;628.5;636.6;619.6;638.3;642.6;632.3;636.8;631;652.8;631.3;645.2;641.4;638.8;647.7;624.6;637.8;635.6;641.7;645.4;650.9;623.7;634.3;663.8;657;663;642.7;652.8;638.7
51372;472.7;470.1;484;488.9;481.8;467.7;465.8;475.1;476.6;464.6;476.9;487.4;479.1;481.7;475.8;498;474.5;489.5;486.7;488.2;490.1;466.5;479.3;478.7;479.3;483;494.6;474.2;480.1;510;499.5;508.8;481;483.2;482.2
51375;632.7;628.5;630.8;637;633.3;626.1;620.8;626.3;631.9;617.9;638.7;639.8;628.8;631.8;625.1;647.8;623.3;641.7;640.4;634.9;643.5;617.9;632.8;631;637.5;638.4;649.7;624.4;635.2;662.8;659.8;654.9;642.3;650.5;635.8
51378;469;466.3;480.4;485.3;478.2;463.9;462.1;471.5;472.8;460.9;473;483.8;475.5;478.1;472.1;494.4;470.8;485.9;483;484.7;486.4;462.8;475.5;475;475.4;479.1;490.9;470.6;476.4;506.3;495.8;505.1;477.2;479.1;478.4
51382;477.4;474.1;487.6;492.6;485.6;471.4;469.7;478.8;480.2;468.4;480.8;491.2;483;485.2;479.4;501.5;477.5;493.2;490.5;491.8;493.6;470;482.6;482.4;482.9;486.3;498.6;478.4;484.2;513.9;504.1;511.9;485.3;486.6;485.9
51385;605.7;595.1;602.3;610.3;602.8;588.4;588;594.4;597.4;586.7;602.2;609.2;603.3;599.7;596.2;615.6;583.9;610.7;607.4;605.2;608.2;585.4;596.1;600;601.6;600.3;618.7;597.6;605;633.3;629.8;621.7;610.3;603.6;603.4
51386;430.2;426.5;444.9;450.6;440.8;421.2;422.3;435.7;433.7;423.6;431.4;445.7;441.1;441.5;435.7;454.9;431.4;449.2;446.3;448.2;446.3;425.5;435.7;437.8;434.1;438.8;452.4;438.2;436.9;469.9;457.5;468.4;437.2;430.7;440.1
51391;653.6;644;645.5;656.3;648.1;636.1;633.1;639.3;643.9;632.2;653.2;655.4;649.4;645.4;641.4;660.6;626.2;657.2;653;647.9;654.8;630.8;642.9;645;649.6;646.6;664.4;639.6;650.2;680.2;676.5;663.9;658.7;654.1;649.4
51393;552.9;544.4;552.9;558.7;552.7;538.9;538.7;545.6;547.3;536.8;551.1;558.8;551.2;550.1;545;566.1;538.2;560;558.6;556.7;559.1;535.2;547.2;549.7;551;551.3;568.3;548.8;554.9;582.4;578.9;573.7;558.2;554.8;553.5
51395;623;617.1;618.1;625.4;620.9;612;607.8;613.9;618.1;605.6;626.8;627.6;618;618.9;612.3;634.1;606.8;629.2;628;621.9;629.7;604;618.7;617.9;623.7;623.3;637.4;613.2;623.4;651.5;649;639.6;630.6;634.3;623
51396;630.7;625.9;626.1;632.4;629.3;621.8;616.9;622.7;627.3;614.3;636;635.8;625;627.4;620.1;642.7;617.6;637.5;637;630.2;638.9;612.7;628.3;626.4;633;633.4;646.1;621.5;632;659.4;657.7;648.7;639.4;646.3;631.8
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;630.1;625.2;625.5;631.8;628.6;621.2;616.3;622;626.6;613.6;635.2;635.1;624.3;626.7;619.4;642.1;616.9;636.7;636.4;629.6;638.2;612;627.6;625.7;632.3;632.6;645.4;620.9;631.4;658.8;657;648.1;638.7;645.5;631.1
