code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;25.9;26.5;25.3;26.8;25.8;26.1;26.2;26.8;27;25.9;24.4;27;27.6;25.9;27;25.5;26.2;27.7;26.3;26.4;24.4;27;27.6;25.9;27;25.5;26.3;27.7;26.4;26.3;25;27.2;28;26.6;26.4
51340;32.7;32.5;32.9;33.2;33;32.1;33.3;33.5;33.6;32.5;32;33.3;33.4;32.4;33.9;32.9;33.1;33.4;32.8;33.2;31.9;33.3;33.4;32.4;33.8;33;33.1;33.4;32.9;33.2;33.5;33.9;34;33.7;33.1
51341;31.7;31.5;31.9;32.3;31.9;31.3;32.1;32.3;32.5;31.5;31.2;32.1;32.4;31.4;32.7;32.1;31.8;32.3;32.2;31.9;31.2;32.1;32.4;31.4;32.7;32.1;31.8;32.3;32.2;31.9;32.9;32.8;32.8;32.6;32.1
51342;32.5;32.3;32.5;32.8;32.7;31.7;33;33.2;33.3;32.2;31.8;32.9;32.9;32.2;33.4;32.6;33.2;33.1;32.8;33.1;31.8;32.9;32.9;32.2;33.4;32.6;33.2;33.1;32.8;33;32.7;33.5;33.5;33.6;32.8
51344;31.9;31.6;32.1;32.3;32.1;31.4;32.4;32.6;32.7;31.7;31.4;32.4;32.6;31.6;33.1;32.3;32.1;32.4;32.3;32.2;31.3;32.4;32.6;31.6;33.1;32.3;32.1;32.4;32.3;32.1;33.2;33.1;33.1;32.8;32.3
51345;31;30.8;31.3;31.7;31.2;30.7;31.6;31.8;32;31.1;29.6;31.8;32;30.7;32.2;31.1;31.2;32.1;31;31.4;29.6;31.8;32.1;30.7;32.1;31.1;31.3;32.1;31;31.3;31.8;32.2;32.5;32;31.4
51346;33.4;33.4;33.2;33.9;33.5;32.8;33.9;34.1;34.4;33.4;32.3;34;34.1;33.2;34.4;33.4;33.9;34.2;33.5;34.1;32.3;34;34.2;33.2;34.4;33.4;33.9;34.2;33.5;34.1;33.4;34.5;34.7;34.2;33.7
51347;27.1;27.6;26.4;27.9;27;27.2;27.3;27.9;28.1;27.1;25.6;28.1;28.6;27;28.2;26.6;27.4;28.6;27.3;27.6;25.5;28;28.6;27;28.2;26.6;27.4;28.6;27.3;27.6;26.2;28.4;29.1;27.7;27.5
51348;32.1;32.5;31.6;32.7;31.9;32;32.2;32.8;33.1;32.2;30.5;32.7;33;32.2;33.3;31.7;32.1;32.9;32.7;32.5;30.5;32.7;33;32.2;33.2;31.6;32.1;32.9;32.7;32.5;31.3;33.2;33.4;32.3;32.4
51349;31.5;31.6;31.2;32.2;31.6;31.2;31.9;32.3;32.6;31.6;30;32.4;32.6;31.3;32.6;31.2;31.9;32.7;31.5;32.2;30;32.3;32.7;31.3;32.6;31.2;31.9;32.7;31.5;32.1;31.2;32.7;33.2;32.2;31.9
51351;29.7;29.8;29.6;30.5;29.9;29.6;30.3;30.7;30.8;29.8;27.9;30.8;31.1;29.5;30.9;29.4;30.1;31.2;29.6;30.3;27.9;30.7;31.1;29.5;30.8;29.4;30.1;31.2;29.6;30.2;29.7;30.9;31.6;30.6;30.1
51352;31.6;32.1;31.5;32.4;31.2;31.6;31.3;32.7;32.8;31.8;30;32.1;32.8;32.2;32.9;31.2;31.3;32.5;32.6;31.5;30;32;32.8;32.2;32.8;31.2;31.3;32.5;32.6;31.4;30.7;32.6;32.7;31.7;31.9
51354;28;28.6;27.4;28.8;27.8;28.2;28.1;28.8;29;28.1;26.5;28.8;29.4;28;29.2;27.6;28.1;29.3;28.4;28.5;26.5;28.8;29.4;28;29.2;27.6;28.2;29.3;28.5;28.4;27;29.3;29.8;28.5;28.4
51359;29.5;29.9;28.9;30.2;29.4;29.4;29.7;30.2;30.5;29.6;28;30.4;30.8;29.4;30.6;29.1;29.8;30.8;29.7;30.1;28;30.3;30.8;29.4;30.6;29;29.8;30.8;29.8;30.1;28.7;30.7;31.3;30;29.9
