code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;19.7;19.2;20.1;20.5;19.8;19.3;19.7;21.1;20.2;19.2;18.6;19.6;20.5;18.6;19.9;19.2;19.8;20.4;19.8;19.9;20.2;19;19.4;20;20;20.5;20.1;19.9;19.6;20.7;19.4;20.1;20.2;20.1;19.8
51340;27.8;27.4;28.2;28.3;28.1;27.5;28.4;29;28.8;27.9;27.4;28.1;28.5;27.3;28.8;28.1;28.2;28.3;28.5;28.4;28.2;28.3;28.6;28.7;28.6;28.7;28.4;28.7;28;28.7;28.7;28.4;28.4;28.8;28.3
51341;27.1;27;27.7;27.8;27.4;27;27.6;28.3;28.1;27.3;26.9;27.5;27.8;26.8;28.1;27.6;27.5;27.8;28.1;27.6;27.6;27.8;27.9;28.3;28.1;28.2;27.6;28;27.3;28;28.3;27.8;27.8;28;27.7
51342;28.7;28.1;28.8;29.1;28.8;28.1;29;29.4;29.3;28.6;28.2;28.8;29.1;28.1;29.3;28.8;28.9;28.9;29.1;29.2;28.9;28.8;29.6;29.3;29.2;29.2;29.2;29.4;28.6;29.4;29;28.9;28.8;29.5;28.9
51344;28.1;27.8;28.7;28.7;28.5;27.9;28.7;29.4;29.2;28.3;28;28.6;28.8;27.8;29.2;28.6;28.5;28.7;29;28.6;28.5;28.9;29;29.3;29.1;29.1;28.6;29;28.4;29;29.5;28.9;28.8;29;28.7
51345;25.8;25.6;26.5;26.5;26.1;25.6;26.4;27.2;26.7;26;25.1;26.1;26.6;25.2;26.7;26;26.2;26.6;26.3;26.3;26.2;26.3;26.3;26.9;26.6;27;26.2;26.5;25.9;26.9;26.6;26.3;26.6;26.7;26.3
51346;28.4;27.9;28.5;28.9;28.5;27.8;28.7;29.3;29;28.3;27.6;28.4;29;27.7;29;28.3;28.7;28.7;28.7;29;28.7;28.6;29;29;28.9;29.1;28.9;29.1;28.4;29.2;28.5;28.7;28.7;29;28.7
51347;21.3;20.8;21.6;22;21.3;20.8;21.3;22.7;21.8;20.8;20.2;21.2;22.1;20.2;21.6;20.8;21.4;21.9;21.4;21.6;21.7;20.8;21.1;21.5;21.6;22.1;21.8;21.6;21.2;22.3;21;21.7;21.7;21.6;21.4
51348;27.5;26.5;27.3;27.8;27.2;26.7;27.2;28.2;27.9;26.8;26;27.2;27.7;26.5;27.7;26.8;27.1;27.5;27.2;27.5;27.5;27.3;27.4;27.4;27.5;28.1;27.9;27.5;27.2;28.1;27;27.7;27.2;27;27.3
51349;26.1;25.7;26.4;26.7;26.2;25.6;26.3;27.4;26.7;25.9;25.1;26.1;26.8;25.2;26.6;25.8;26.3;26.7;26.3;26.6;26.5;26.1;26.3;26.6;26.5;27;26.6;26.6;26;27.1;26.1;26.5;26.6;26.7;26.3
51351;23.9;23.7;24.5;24.7;24.1;23.5;24.3;25.4;24.6;23.8;22.8;24.1;24.8;23;24.5;23.7;24.2;24.7;24.2;24.4;24.4;23.8;24;24.7;24.4;25;24.3;24.4;23.9;25.1;24.1;24.3;24.7;24.7;24.3
51352;27.3;26.1;27.1;27.6;26.8;26.5;26.5;27.7;27.9;26.5;25.7;27;27.6;26.4;27.4;26.4;26.6;27.3;26.9;26.8;27.2;26.8;26.8;27.2;27.2;27.9;27.5;26.9;26.9;27.9;26.9;27.4;27;26.8;27
51354;22.7;22;22.8;23.3;22.7;22.2;22.5;23.8;23.2;22.1;21.5;22.5;23.3;21.6;23;22.2;22.6;23.1;22.7;22.9;23;22.3;22.4;22.8;22.9;23.4;23.2;22.8;22.5;23.6;22.3;23;22.8;22.7;22.7
51359;24.1;23.5;24.2;24.7;24.1;23.5;24;25.3;24.6;23.6;23;24;24.7;23;24.4;23.6;24.2;24.5;24.1;24.4;24.4;23.8;24;24.3;24.3;24.8;24.6;24.4;23.9;24.9;23.8;24.4;24.3;24.3;24.2
51361;29.5;28.8;29.3;29.8;29.4;28.7;29.5;30;29.9;29.1;28.5;29.4;29.8;28.7;29.8;29.2;29.5;29.5;29.6;29.9;29.6;29.5;30.1;29.9;29.7;30;30;30;29.3;30.1;29.3;29.7;29.4;29.7;29.5
51363;28.9;27.7;28.7;29.4;28.5;28;28.7;29.5;29.2;28.3;27.5;28.8;29.2;28.4;29.1;28;28.2;28.8;28.4;28.6;28.9;28.8;29.5;29.3;28.6;29.4;29.1;29;28.7;29.3;28.6;29.2;28.6;28.2;28.7
51364;29.4;28.3;29.2;29.7;29.1;28.5;29.2;29.9;29.7;28.8;27.9;29.3;29.5;28.7;29.6;28.6;28.9;29.3;29;29.4;29.4;29.4;29.8;29.6;29.4;29.9;29.8;29.6;29.2;30;29;29.7;29.1;28.8;29.2
51377;21.4;20.6;21.7;22.1;21.6;21.1;21.1;22.2;21.8;20.8;20.1;21.2;22.2;20.4;21.3;20.8;21.1;22.2;21.6;20.9;21.6;20.3;20.7;21.7;21.8;22;21.3;21.2;20.8;22.4;21;21.6;21.7;21.6;21.3
51380;22.4;22.4;23.3;23.4;22.8;22.2;22.9;24;23.1;22.4;21.3;22.7;23.5;21.6;22.9;22.2;22.8;23.6;22.7;22.8;23;22.1;22.4;23.4;23.1;23.7;22.8;22.9;22.4;23.8;22.7;22.8;23.5;23.3;22.8
51384;20;19.3;20.3;20.7;20.1;19.7;19.8;21.1;20.5;19.4;18.8;19.8;20.8;18.9;20;19.4;19.8;20.7;20.1;19.8;20.4;19;19.5;20.2;20.3;20.7;20.2;19.9;19.7;21.1;19.6;20.3;20.3;20.2;20
