code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;609.9;595.1;621.7;634.5;613.6;597.8;610.4;653;626.6;594.6;576.7;607.9;635.9;575.5;616.5;594.4;613;632.6;613.5;616.4;625;589.3;601.7;619.8;621.1;635.7;624.5;616.2;606.3;643.1;602.1;622.2;625;621.7;614.5
51340;862.2;850.4;875.7;876.5;870.8;852;871.6;887.6;848.3;865.9;850.6;871.1;866.5;847.6;854.4;872.1;874.8;878.8;882.1;870.8;872.9;878.4;851.8;878.9;886.9;890.1;877.2;886.9;867.1;890.2;888.6;879.7;879.1;853.3;870.9
51341;840.8;835.6;847.4;862.3;850.4;837.2;837.4;840.5;816.1;844.8;834.8;851.6;843.3;830.6;841.9;854.7;853.6;861.1;859.7;854.4;854.9;862.7;836.3;866.1;860.9;873.3;847.4;867.5;847.5;867.7;838.6;862.8;860.6;851.6;849.9
51342;880.7;871.4;884.5;826.6;877.5;872.2;855.9;820;725.4;885.4;873.4;883.7;752.2;872.4;757.6;884.5;881;873;874.6;852.2;896.7;876.2;610.9;676.6;853.9;818.8;808.3;807.9;872.1;850.9;890.3;823.6;885.4;716;835
51344;871.7;862.7;861.5;888.6;882.7;865.6;834.1;803.1;765;876.4;867.1;885.1;839.6;861.4;846.9;887.1;884.7;890.4;872.5;887.1;883.7;897.1;817.4;880;876.1;903.1;860;898.3;881.2;898.9;805.1;896.5;891.5;869.4;867.4
51345;799;793.2;822.1;822.7;809.8;793.7;817.9;843.9;824.6;806;777.4;809.9;824.5;782;825;805.8;811.7;825.4;816.8;815;811.8;814.3;815.9;834.3;824.4;836.8;812;822.4;803.4;835.1;825.6;816.6;825.1;826.4;815.6
51346;842.8;860.3;863.9;797.5;855.6;862.7;821.5;761.6;699;876.2;856;856.1;777;857.8;783.3;868.5;852.5;846.4;869.7;800;879.7;849.4;714.6;758.6;851.8;775.9;818.4;815.9;863.1;773.9;878;841.3;878.8;755.7;825.4
51347;660.8;644.1;669;682.8;661.5;646.1;659.7;702.8;676.7;645;627.7;657.4;683.8;625;669.2;644.5;664.1;678.8;662.9;670.2;673.7;645.8;653.3;667.4;669.2;685.4;676.7;668.7;656.9;690;652;672.3;672;670.2;664.3
51348;807.4;808.4;828.8;809.2;819.7;827.4;809.5;779.6;784.3;828;806.5;816.8;806.9;815.1;795.8;811.5;828.7;801.5;834.2;814.7;829.1;808;776.8;799.7;815.5;774.4;792.2;790.9;825.2;762.9;830.4;804.3;828.6;803.1;808.1
51349;809.7;796.3;819.3;829;811.9;793.8;816.3;848.9;828.3;802.4;778.3;810.2;831.5;780.7;825.7;800.9;816.3;826.7;815.5;825.6;820.4;808;814.7;825.7;821.9;836.9;824.6;825.8;807.3;838.8;809.6;820.2;824.3;826.6;816.8
