code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;26.7;27.2;26.3;27.6;26.6;27;27.2;27.8;27.8;26.6;25;28;28.6;26.8;27.7;26.4;27.2;28.8;27.1;27.1;25;28;28.6;26.8;27.6;26.4;27.2;28.8;27.2;27;26.2;28;28.9;27.6;27.3
51334;27.1;27.6;26.4;27.9;27;27.2;27.3;27.9;28.1;27.1;25.6;28.1;28.6;27;28.2;26.6;27.4;28.6;27.3;27.6;25.5;28;28.6;27;28.2;26.6;27.4;28.6;27.3;27.6;26.2;28.4;29.1;27.7;27.5
51336;26.2;26.7;25.6;27;26.1;26.4;26.4;27.1;27.2;26.2;24.7;27.3;27.8;26.2;27.3;25.8;26.5;27.9;26.5;26.7;24.6;27.2;27.9;26.2;27.3;25.8;26.6;27.9;26.6;26.6;25.3;27.5;28.3;26.9;26.7
51337;23.9;24.6;23.4;24.8;23.6;24.4;24.3;25;25;23.7;22.4;25.2;25.9;24.1;24.9;23.7;24.3;26.1;24.6;24.2;22.3;25.2;25.9;24.1;24.8;23.6;24.4;26.1;24.7;24.1;23.1;25.2;26.2;24.8;24.5
51350;28.1;28.5;27.7;29;28.1;28.1;28.5;29;29.2;28.2;26.5;29.2;29.6;28;29.3;27.7;28.5;29.7;28.2;28.7;26.4;29.2;29.7;28;29.2;27.7;28.5;29.7;28.2;28.7;27.6;29.4;30.1;28.9;28.6
51366;27.5;28.1;27.3;28.4;27.1;28.1;28.4;28.7;28.2;27.3;25.9;28.7;29.6;27.9;27.7;27.6;27.6;30.7;28.7;26.8;25.9;28.6;29.6;27.9;27.7;27.6;27.6;30.7;28.8;26.7;27.2;28.1;29.3;28.5;28.1
51368;27.5;28.1;27.3;28.4;27.1;28.1;28.4;28.7;28.2;27.3;25.9;28.7;29.6;27.9;27.7;27.6;27.6;30.7;28.7;26.8;25.9;28.6;29.6;27.9;27.7;27.6;27.6;30.7;28.8;26.7;27.2;28.1;29.3;28.5;28.1
51369;26.6;27.3;26.4;27.5;26.3;27.2;27.4;27.8;27.4;26.4;25.1;27.8;28.7;27;27;26.6;26.7;29.7;27.8;26.1;25;27.8;28.8;27;26.9;26.7;26.8;29.7;27.9;26;26.2;27.4;28.6;27.7;27.2
51371;27.5;28;27.2;28.4;27.1;28;28.3;28.6;28.2;27.2;25.9;28.6;29.6;27.8;27.7;27.5;27.6;30.6;28.7;26.8;25.8;28.6;29.6;27.8;27.6;27.6;27.6;30.6;28.7;26.7;27.3;28.1;29.3;28.5;28
51372;24.6;25.3;24.2;25.5;24.2;25.1;25.2;25.8;25.5;24.3;23;25.9;26.7;24.9;25.2;24.5;24.9;27.3;25.6;24.3;22.9;25.9;26.8;24.9;25.1;24.5;24.9;27.3;25.6;24.3;24;25.6;26.7;25.6;25.2
