code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;626.1;620.1;648.8;657.4;636.5;619.2;634.7;674.5;645.7;617.8;594.2;630.6;658.7;596.7;634.8;615.1;634.1;659.5;634.4;633.6;646.4;604.7;622.4;648;644.4;659.2;639.6;635.5;625.6;667.7;626.2;640.3;653.7;647.8;636.3
51334;660.8;644.1;669;682.8;661.5;646.1;659.7;702.8;676.7;645;627.7;657.4;683.8;625;669.2;644.5;664.1;678.8;662.9;670.2;673.7;645.8;653.3;667.4;669.2;685.4;676.7;668.7;656.9;690;652;672.3;672;670.2;664.3
51336;621.9;606.9;632.9;646;624.9;609.1;622.2;664.9;638.4;606.6;588.8;619.6;647.3;587.2;629;606.2;625.3;643.6;625.2;629.3;636.6;602.7;614;631.2;632.5;647.5;636.8;628.8;618.3;654.1;614;634.1;636.3;633.4;626.3
51337;520.5;509.4;538.9;550.2;529.9;513.1;524;565.6;538.6;506.3;487.3;521;552.3;488.7;523.9;506.4;523.6;552;527.1;521.8;539.7;489.3;510.9;536.6;537.1;548.5;532.2;523.9;517.2;561.1;514.6;534.4;543;537.1;527.2
51350;688.4;677.9;703.6;713.6;692.4;676.1;693.9;735.4;707;679;655.6;689.7;715.3;656.5;701.6;675.8;695.5;712.4;693.6;701.4;703.6;678.3;685.3;703.9;701.2;718.7;703.4;701;686.7;722.5;686.8;700.7;708.5;706;696.2
51366;705.3;698.7;734.5;743.5;732.7;707;710.2;725.5;716.7;696;671.3;711.2;737.5;683.3;699.1;698.9;699;758.1;722.6;690;719.8;669.7;694.7;736.1;729.7;730.6;700.5;705.8;697.5;738.4;707;714.6;739;724.4;713.2
51368;705.3;698.7;734.5;743.5;732.7;707;710.2;725.5;716.7;696;671.3;711.2;737.5;683.3;699.1;698.9;699;758.1;722.6;690;719.8;669.7;694.7;736.1;729.7;730.6;700.5;705.8;697.5;738.4;707;714.6;739;724.4;713.2
51369;657;648.9;683.7;693.2;681;657.4;661.1;681.5;669.6;646.6;623;661.5;689.3;633.1;651.8;648.6;651.9;705.6;672.2;643.7;672;620.8;645.7;684.8;680;682.5;654.2;657.1;648.7;691.9;656.7;667.1;688.2;675.6;664.3
51371;696.6;692.6;727.9;736.1;724.3;698.4;703.2;718.9;708.3;688.4;663.6;704.2;729.6;675.1;692.5;691.7;693;749.8;714.7;682.4;712.6;663.9;688;729.1;721.8;724.2;694;698.9;691.2;730.7;700.5;706.2;731.5;717.4;705.9
51372;552.7;545.5;578.3;588;571.9;551;558.7;588.5;568.7;541.5;519.4;556.8;586.9;526.1;551.2;542.8;552.3;596.8;564.9;546.1;571.8;516.3;543;577.8;574.8;580.8;557.1;554.3;548.2;593.2;551.1;565.7;583.3;572.7;561.1
51375;704.4;689.1;724.5;735.7;726.9;704.5;701.1;719.7;713.4;691.9;669.2;705.2;733.4;679.8;693.7;691.9;693.2;748;719;683.3;712.3;666.6;686.9;727.4;725.3;725;692.1;699.8;684.8;733.1;699.6;710.5;728.7;718.8;707
51378;549.3;542;574.8;584.5;568.3;547.5;555.3;585.4;565.4;538;516;553.3;583.5;522.6;547.9;539.2;549;593.2;561.4;542.9;568.5;512.8;539.6;574.3;571.3;577.4;553.9;550.9;544.8;589.9;547.6;562.3;579.7;569.3;557.7
51382;557.5;548.8;581.7;591.7;575.8;555.5;562.3;592.5;573.2;545.6;523.8;560.7;591;530.4;555.6;546.7;556.3;600;569.1;550.1;575.5;520.9;546.7;581.3;578.8;584.8;561;558.2;551.6;597.3;554.9;569.9;586.4;576.4;565.1
51385;685.6;659.4;693.9;707.6;693;677.3;672.5;706.3;697.4;665.4;645.7;679.4;708.8;654.4;678.1;666.2;672.8;709.4;691.5;665.9;690;648.5;661.5;693.7;696.8;703.7;677.2;675.3;663.9;714.2;672.9;689;694.8;690.9;682.4
51386;521.8;511.6;541.6;552.5;532.9;515.3;526;565.6;539.6;508.2;488.7;523.1;554.2;490.9;524.4;508.4;524.5;555.7;529.5;522;541.2;489.6;512.3;539.6;539.5;549.9;532.4;525.1;518.4;562.5;516.7;535.6;546;539.2;528.9
51391;734.3;704.3;740.6;755.1;741.3;723.6;714.8;747.4;744.2;712.3;694.2;727.6;754.3;704.9;722.6;713.9;718.2;756.2;742.2;708.1;734.4;697.3;707.1;740.6;744.3;749.2;719.3;721.9;705.7;757.3;720.3;734.2;741.7;736.8;728.5
51393;631.8;610.9;644.4;657.3;643.8;627.5;625.1;656.6;644;614.7;594.3;627.6;659;601;625.4;614.5;621.8;662.3;639.3;615.7;639.7;593.8;611.1;644.8;646.7;652.2;625.7;624.6;613.5;664.2;621.4;638.8;646.5;641.7;631.8
51395;699.1;677.7;713.1;725.9;716;696;689.6;713.4;707.9;683.3;662.5;696.4;725.2;672.2;687.1;682.7;685.6;734.4;711.1;675.6;703.4;660.8;677.2;715.5;716.3;717;684.4;691.3;673.9;725.6;690;703.2;716.4;709.3;698.2
51396;704.6;685.7;720.9;733.1;725;703.9;697.8;717.9;712.6;690.8;668.9;703.2;732.2;679;692;689.5;691.3;744.4;718.2;681;709.7;666.1;684.2;724.3;724.1;723.2;689.1;698;680;731.3;697.1;709.4;724.9;716.9;705
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;704;685.1;720.3;732.5;724.4;703.4;697.2;717.3;712;690.2;668.3;702.6;731.6;678.3;691.4;688.9;690.8;743.7;717.4;680.4;709.1;665.4;683.6;723.7;723.4;722.6;688.5;697.2;679.4;730.8;696.5;708.8;724.3;716.3;704.4
68769;629.5;608.7;642.2;655.1;641.7;625.4;623;654.3;641.6;612.5;592;625.4;656.9;598.6;623;612.2;619.5;660.3;637;613.4;637.5;591.4;608.9;642.7;644.5;649.9;623.4;622.4;611.2;662;619.1;636.6;644.4;639.6;629.6
