code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;24;23.4;24;24.4;22.9;23.5;23.6;24;23.7;23.2;23.1;23.6;23.7;24.2;23.4;23.7;23.8;23.4;23.8;23.9;23;23.6;23.8;24.2;23.4;23.8;23.9;23.4;23.8;23.9;23.7;24.5;23.4;23.6;23.7
51340;30.8;30;30.2;30.6;29.9;30;30.1;30.5;30.3;29.9;30.3;29.7;30.2;31.3;29.7;30.4;29.8;29.9;30.5;30.2;30.2;29.7;30.3;31.3;29.8;30.4;29.8;29.9;30.6;30.2;30.8;31;30.8;30.1;30.3
51341;29.5;28.6;29;29.8;29;28.8;29.2;29.5;29;28.9;29.3;28.6;29.2;30.1;28.5;29.2;28.6;28.7;29.7;28.9;29.2;28.6;29.2;30.1;28.6;29.3;28.7;28.7;29.7;29;29.9;29.8;29.6;29.2;29.2
51342;31.2;30.3;30.6;30.7;30.3;30.2;30.1;31;31.1;30.3;30.6;30.3;30.8;31.5;30.4;30.7;30.3;30.4;31;30.5;30.5;30.4;30.9;31.5;30.5;30.8;30.4;30.4;31;30.5;31.3;31.6;31.1;30.3;30.7
51344;29.9;29;29.3;29.9;29.2;29.2;29.4;29.7;29.3;29.2;29.6;28.8;29.3;30.3;28.6;29.4;28.8;29;30;29.1;29.5;28.8;29.3;30.3;28.7;29.5;28.8;29;30;29.2;30;30.1;30;29.6;29.4
51345;28.6;27.8;28.2;28.8;27.8;27.9;28.3;28.4;27.9;27.9;28;27.5;28;29.4;27.7;28.3;27.7;27.5;28.2;28.2;27.9;27.6;28.1;29.4;27.8;28.4;27.7;27.5;28.2;28.2;28.6;28.8;28.4;27.9;28.1
51346;31.8;30.9;31.2;31.4;30.8;30.8;30.9;31.6;31.5;30.8;30.9;30.9;31.3;32.2;31;31.3;31;30.8;31.4;31.1;30.8;30.9;31.4;32.2;31.1;31.3;31;30.8;31.4;31.2;31.7;32;31.6;30.8;31.2
51347;25.2;24.6;25.1;25.6;24.1;24.6;24.7;25.2;24.8;24.4;24.3;24.7;24.9;25.4;24.6;24.8;25;24.5;25;25;24.1;24.8;24.9;25.4;24.6;24.9;25;24.5;25;25.1;24.9;25.6;24.7;24.7;24.8
51348;30.4;29.6;30;30.4;29.4;29.4;29.8;30.5;29.9;29.5;29.4;30.3;30.3;30.1;30.1;29.9;30.4;29.4;30.2;29.9;29.3;30.3;30.4;30.1;30.2;29.9;30.4;29.4;30.2;30;30.5;31;30.2;29.6;30
51349;29.7;28.9;29.3;29.7;28.6;28.9;29;29.5;29.3;28.7;28.7;28.9;29.2;30.2;29.1;29.3;29.1;28.7;29.2;29.4;28.7;28.9;29.3;30.2;29.1;29.3;29.2;28.7;29.2;29.4;29.5;29.9;29.3;28.8;29.2
51351;27.7;27;27.4;27.9;26.7;27;27.3;27.5;27.2;26.9;26.8;26.8;27.1;28.6;27.1;27.4;27.2;26.6;27.1;27.6;26.7;26.8;27.2;28.6;27.2;27.5;27.2;26.6;27.1;27.6;27.4;27.9;27.2;26.9;27.3
51352;29.7;29.1;29.5;29.9;29.2;28.7;29.5;29.6;29.3;28.9;29.2;30.2;30.2;29.1;29.7;29.8;29.9;28.9;29.7;29.6;29;30.2;30.2;29.1;29.8;29.8;29.9;28.9;29.6;29.7;30;30.6;29.7;29.2;29.6
51354;26.3;25.7;26.2;26.6;25.3;25.6;25.8;26.4;25.9;25.4;25.4;26.1;26.2;26.2;25.8;25.9;26.2;25.6;26.1;26;25.2;26.1;26.2;26.2;25.8;26;26.3;25.6;26.1;26.1;26.1;26.7;25.8;25.8;26
51359;27.7;27;27.5;27.9;26.6;27;27.1;27.7;27.3;26.8;26.7;27.2;27.4;27.9;27.2;27.3;27.4;26.9;27.4;27.4;26.6;27.3;27.5;27.9;27.2;27.3;27.5;26.9;27.4;27.4;27.5;28.1;27.3;27;27.3
51361;32.7;31.8;32.1;32.2;31.8;31.6;31.7;32.7;32.5;31.7;31.8;32;32.4;32.8;32.2;32.1;32.1;31.7;32.4;32;31.7;32;32.4;32.8;32.2;32.2;32.2;31.7;32.4;32;32.9;33.2;32.8;31.7;32.2
51363;31.7;30.8;31.2;31.4;30.9;30.5;31.3;31.6;31.5;30.4;31.2;31.4;32;30.6;31.6;31.7;31.5;30.6;31.7;31.5;31.1;31.4;32;30.6;31.7;31.7;31.5;30.6;31.6;31.6;32.4;32.6;32.5;31.3;31.4
51364;32.2;31.4;31.7;31.8;31.3;31;31.7;32.3;31.8;31.3;31.4;31.9;32.2;31.6;32;31.8;32.2;30.9;32;31.7;31.3;31.9;32.2;31.6;32.1;31.8;32.2;30.9;32;31.8;32.6;33.1;32.6;31.4;31.8
51377;25.6;25.1;25.8;26.1;25.1;25.2;25.4;25.7;25.3;24.8;25.2;25.6;25.8;25.4;25.1;25.7;25.7;25.2;25.7;25.5;25;25.6;25.8;25.4;25.1;25.8;25.7;25.2;25.7;25.5;25.5;26.3;25.2;25.7;25.5
51380;26.3;25.7;26.3;26.7;25.3;25.8;26.1;26.2;25.9;25.7;25.6;25.6;25.9;27.2;25.8;26.2;26;25.3;25.9;26.4;25.5;25.6;25.9;27.2;25.8;26.3;26;25.3;25.9;26.4;26.1;26.8;25.7;25.8;26
51384;24.3;23.8;24.5;24.7;23.5;23.9;24;24.4;24;23.6;23.6;24.2;24.3;24.2;23.7;24.2;24.3;23.8;24.3;24.2;23.5;24.2;24.3;24.2;23.8;24.3;24.4;23.8;24.3;24.2;24.1;25;23.8;24.2;24.1
51388;24.1;23.6;24.3;24.6;23.2;23.8;23.9;23.9;23.7;23.5;23.5;23.5;23.9;24.5;23.5;24.1;24;23.5;24;24.1;23.4;23.5;23.9;24.5;23.5;24.1;24;23.5;24;24.2;24;24.7;23.4;24.1;23.9
51389;27.5;26.9;27.5;27.9;26.8;26.8;27.2;27.6;27.1;26.7;26.8;27.7;27.7;27.2;27.2;27.4;27.7;26.9;27.4;27.3;26.7;27.8;27.7;27.2;27.2;27.5;27.7;26.9;27.4;27.3;27.4;28.2;27.1;27.2;27.3
51392;31.9;31.3;31.8;32.3;31.8;31.1;31.8;31.6;31.5;30.8;31.9;32.3;32.6;31.3;31.6;32.3;32;31.5;31.9;31.9;31.7;32.3;32.6;31.3;31.6;32.3;32;31.5;31.9;31.9;31.9;32.8;31.8;31.9;31.9
51394;28.4;27.9;28.6;28.9;28.2;27.8;28.3;28.4;28.1;27.5;28.2;28.6;28.8;28;28;28.7;28.6;28.1;28.5;28.3;28.1;28.6;28.8;28;28;28.7;28.6;28.1;28.5;28.4;28.3;29.2;28.2;28.6;28.4
