code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;563.6;547.6;555.6;582.3;573.3;550.9;553.5;581.7;562.3;548.6;560.2;573.9;568.2;584.4;569;570.5;577;552.1;581;561.1;580.1;570.3;567.8;571.9;571.7;581.6;577.2;580.2;566.6;588.3;586.4;587.9;563.5;564.7;569.8
51340;820.7;800.2;790.4;821.7;808.4;801.9;794.4;815.5;820.3;799.5;813.7;804.7;820;842.7;809.7;814.8;803;805.7;831.3;803.3;806.4;833.7;829.2;832;839.3;836.3;824.1;828.8;804.3;834.6;827;828.9;826.8;807.6;817.1
51341;788.4;769.2;762.4;797.9;783.4;774.6;774.2;788.9;793.1;773.3;790.2;778.2;794;812.7;779.8;789.1;776.3;777.1;806.8;778.5;778.6;806.1;804.2;804.3;805.1;806.4;793.8;800.5;776.8;803.6;803.9;801.5;794;783.5;789.7
51342;860.5;832.7;828.4;856;842.9;831.3;826;858.8;857.3;833;846.1;843.1;857.7;872.2;848.2;849.4;841.7;838.7;865.4;833.9;841.4;868.1;855.9;867;872;869.2;859.7;868.7;842.1;869.4;863;868.2;862.4;843.5;852.2
51344;828.4;811.1;798.5;827.8;816.9;813.3;809;823.2;830.8;808.8;825.5;813.5;827.2;849;814;822.6;808.5;816.4;843.3;813.1;813.1;843.9;842.6;843.4;849.1;842.5;832.2;836.3;814.1;840.5;836.8;836.6;833.9;820.2;826.1
51345;743.9;723.3;718.9;755.6;738.5;730.7;724.4;735.6;747.6;725;741.1;734.6;746.7;774.1;740.7;744.8;733.6;731.2;755.1;732.9;739.7;760.2;760.1;758.6;763.7;769.3;750.8;753.4;728;764.4;754.2;756;751.6;733;744.7
51346;841.4;813.4;811.4;844;830.2;816.5;809.8;841;838.9;815.2;827.8;828;840.5;860.2;834.7;833;828.8;819.8;844.7;818.2;829.2;849.5;837;845.3;851.3;855.6;842.9;849.6;823.8;855.6;847.5;848.7;845.1;824.3;835.4
51347;614.7;595.9;603.6;633.1;621.7;600.2;601.6;632.2;612.7;598.7;609.5;623.2;618.3;635.6;620.1;619.1;626.7;601.2;629.3;610.1;628.2;622.2;616.5;622.5;622;633.6;627.6;630.7;615.9;638.7;635.6;638.5;615.5;613.9;619.7
51348;804.5;766.1;785.3;810;800.7;773.3;788.1;815.9;795.9;776.3;785.3;807.1;807.7;803.9;803.7;796.5;810.8;774.6;801.7;783.2;808.9;808.6;782.9;799.1;803.2;818.7;813.4;823.3;796.5;819.5;820.1;827.6;802.3;786.2;800
51349;762.7;739.4;741.3;776.1;760.3;745;738.8;767.5;761.3;741.1;754;759.2;764.4;788.5;764.4;761.8;761.5;745.5;769.8;750.6;762.9;772.4;765.1;769.2;773.5;783.1;769.7;773.4;751.4;783.7;775.2;779.9;767.1;752;762.7
51351;688.7;669.3;671.1;708.3;689.5;676.5;668.3;690.8;688.6;669.4;684.4;687.9;692;722.2;694.7;693.2;690.4;675.8;698.2;684.1;693.8;701.3;700.9;699.2;703.9;714.6;697.7;699.2;677.4;713.6;703;706.4;694.5;680.1;692
51352;785.9;759;779.5;796.5;790;754.4;783;791.3;776;760;773.2;797.4;801.4;777.6;789.3;790.2;797.5;767.1;784.5;774.4;807.4;794.3;763.3;780.5;791.2;798.1;804;808.8;784.8;807.4;811.2;817.8;790;773.4;787.1
51354;660.7;636.3;649.1;676.1;667;642.6;649.2;678.6;657.3;641.5;652.2;669.9;666;674.2;665.4;662.1;673.6;642.5;671.7;652.2;673.5;667.8;654.3;663.9;664.2;678.1;674.2;679.6;662.6;682.4;682.4;685.5;660.1;656.8;663.9
51359;702.2;678.5;686.2;716.5;704.9;683.3;684.6;716.7;699.3;682.3;693.1;706.1;704.9;720.3;705.1;702.1;709.5;684.3;711.8;691.1;709.6;708.9;698.2;706.6;707.7;719.7;712.3;716.9;698.8;723.4;719.8;724.4;703.1;695.9;703.8
51361;863.9;840.9;845.6;874.3;862.7;844;845.2;859.9;873;845.7;857.4;863.7;870.1;882.9;868.3;863.5;859.6;847.5;858.7;846.4;862.8;860.6;860.6;872.3;873.1;814.4;872.5;858.4;858.6;840.2;863.6;845.1;862.5;854.6;858
51363;831.7;787.3;807.8;824.6;812.7;785.1;814.8;808.4;826.2;787.8;804.6;819.6;835.2;794.5;817.8;821.5;817;793.2;818;806.2;835.2;832.3;805.2;826.5;828.7;807.5;833.6;834.4;818.9;828.2;833.5;814.5;834.7;809.1;816.4
51364;839.5;807.6;829.7;851.2;839.2;812.8;834.8;813.9;845.5;818.2;827.6;847.4;847.5;837;845.9;839.7;843.4;814.9;825.1;824.7;852;834.4;826.3;842.8;835.8;761.3;852.6;807.1;838.2;807.4;830.6;782;831.4;825.9;828.6
51377;611.6;602.6;614.3;632.8;632.5;604.5;614.8;630.9;617.2;598.1;616.4;630.2;626.5;624.5;619.7;624.4;630.7;605.5;637.4;614.2;635;620.8;617.3;618.1;620.9;626.1;633.5;639.6;626.4;637.2;647.1;643.9;617.8;623.2;623.4
51380;642.2;626.6;630.4;664.3;648.7;631.6;628.3;647.3;641.8;625.8;641.4;646.4;646.4;675.1;649.3;652;649.2;633.7;656.5;641.6;654.5;653.4;658.5;654.9;657.9;669.1;652.8;653.5;634.5;668.7;660.4;662.5;645.5;637.5;648.3
51384;571.2;557.3;569.5;590.5;587.2;561.2;568.9;592;572.2;556.2;570.4;587.2;580.9;586.7;577.9;580.6;589.1;560.9;592.4;571;592.4;578.1;573.9;577.3;578.1;586.7;589.3;594.5;580.9;596.6;600.7;599.4;572.1;576.8;580
51388;555.9;547.2;552.8;576.8;570.2;548.2;551.8;565.6;558.9;543.7;559.9;562.6;562.1;578.1;561.1;570.4;568.9;553.6;581.1;558;575.9;563.2;574.7;569.4;569.1;576.3;569.1;570.7;560.5;578.5;582.1;580;558.8;564.3;565.3
51389;701.2;680;697.2;718.1;714.5;683.4;699.5;718.6;699.1;682.6;695.8;718.4;715.5;708.2;709.5;708.6;720.3;687.2;713.5;696.4;722.3;710.5;691;701.7;706.8;716.3;721.7;726.3;708.3;726.1;730.5;731.8;703.7;700.6;707.8
