code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;24.6;24.1;24.7;25;23.5;24.2;24.3;24.5;24.3;24;23.8;24;24.3;25.1;24;24.5;24.4;23.9;24.4;24.6;23.7;24.1;24.3;25.1;24;24.6;24.5;23.9;24.4;24.7;24.3;25.1;23.9;24.2;24.3
51334;25.2;24.6;25.1;25.6;24.1;24.6;24.7;25.2;24.8;24.4;24.3;24.7;24.9;25.4;24.6;24.8;25;24.5;25;25;24.1;24.8;24.9;25.4;24.6;24.9;25;24.5;25;25.1;24.9;25.6;24.7;24.7;24.8
51336;24.3;23.7;24.3;24.7;23.2;23.8;23.8;24.2;23.9;23.5;23.4;23.8;24;24.5;23.7;24;24.1;23.6;24.1;24.2;23.3;23.9;24.1;24.5;23.7;24.1;24.1;23.6;24.1;24.2;24;24.7;23.7;23.8;24
51337;22;21.5;22.1;22.3;20.9;21.6;21.6;21.9;21.6;21.3;21.2;21.5;21.7;22.2;21.3;21.8;21.8;21.3;21.9;21.9;21.1;21.6;21.8;22.2;21.3;21.9;21.9;21.3;21.9;22;21.6;22.5;21.2;21.7;21.7
51350;26.2;25.5;26;26.5;25.1;25.5;25.7;26;25.7;25.3;25.2;25.5;25.7;26.7;25.6;25.8;25.8;25.3;25.7;26.1;25.1;25.5;25.8;26.7;25.6;25.9;25.9;25.3;25.7;26.1;25.8;26.5;25.6;25.5;25.8
51366;26.6;26.1;26.9;27.2;26.1;26.3;26.4;26.4;26.1;25.9;26.3;26;26.7;26.6;26;26.6;26.7;26.3;26.8;26.4;26.2;26.1;26.7;26.6;26;26.7;26.7;26.3;26.8;26.5;26.6;27.1;26.1;27.1;26.5
51368;26.6;26.1;26.9;27.2;26.1;26.3;26.4;26.4;26.1;25.9;26.3;26;26.7;26.6;26;26.6;26.7;26.3;26.8;26.4;26.2;26.1;26.7;26.6;26;26.7;26.7;26.3;26.8;26.5;26.6;27.1;26.1;27.1;26.5
51369;25.4;25;25.8;26;24.9;25.2;25.2;25.3;25;24.7;25.1;24.9;25.5;25.5;24.8;25.5;25.5;25.1;25.6;25.3;25;25;25.5;25.5;24.9;25.5;25.5;25.1;25.6;25.4;25.4;26;24.9;25.9;25.3
51371;26.5;26.1;26.9;27.2;26;26.3;26.4;26.4;26.1;25.9;26.2;25.9;26.6;26.7;26;26.6;26.6;26.2;26.7;26.4;26.1;26;26.6;26.7;26;26.6;26.6;26.2;26.7;26.5;26.6;27.1;26.1;27.1;26.4
51372;22.9;22.5;23.2;23.4;22.1;22.7;22.7;22.8;22.6;22.3;22.4;22.4;22.8;23.1;22.3;22.9;22.9;22.5;23;22.9;22.3;22.5;22.9;23.1;22.3;23;22.9;22.5;23;22.9;22.8;23.6;22.2;23.1;22.7
51375;26.6;26.1;26.9;27.2;26.4;26.3;26.4;26.6;26.2;25.8;26.5;26.2;26.8;26.5;26;26.7;26.7;26.3;26.9;26.5;26.4;26.3;26.8;26.5;26.1;26.8;26.7;26.3;26.9;26.5;26.7;27.2;26.3;27.3;26.5
51378;22.9;22.4;23.1;23.3;22;22.6;22.6;22.7;22.5;22.2;22.3;22.4;22.8;23;22.2;22.8;22.8;22.4;22.9;22.8;22.2;22.4;22.8;23;22.2;22.9;22.9;22.4;22.9;22.9;22.7;23.5;22.2;23;22.7
51382;23.1;22.6;23.3;23.5;22.2;22.8;22.8;23;22.7;22.4;22.5;22.6;23;23.2;22.4;23;23;22.6;23.1;23;22.4;22.7;23;23.2;22.4;23.1;23.1;22.6;23.1;23.1;22.9;23.7;22.4;23.2;22.9
51385;26.3;25.8;26.5;26.8;26;25.9;26.1;26.4;26;25.5;26;26.3;26.6;26;25.8;26.5;26.4;26;26.4;26.2;25.9;26.4;26.6;26;25.8;26.6;26.5;26;26.4;26.3;26.2;27.1;26;26.6;26.2
51386;22;21.5;22.2;22.4;21;21.7;21.7;21.9;21.7;21.3;21.3;21.6;21.8;22.2;21.3;21.9;21.9;21.4;21.9;22;21.2;21.6;21.8;22.2;21.4;22;21.9;21.4;21.9;22;21.7;22.6;21.3;21.9;21.8
51391;27.5;27;27.7;28;27.4;27;27.4;27.6;27.2;26.7;27.4;27.6;27.9;27.2;27.1;27.8;27.7;27.2;27.7;27.4;27.3;27.6;27.9;27.2;27.1;27.9;27.7;27.2;27.7;27.5;27.5;28.3;27.4;27.9;27.5
51393;24.9;24.4;25.1;25.3;24.4;24.5;24.6;25;24.5;24.1;24.5;24.7;25;24.7;24.2;25;24.9;24.5;25;24.7;24.4;24.8;25;24.7;24.3;25;24.9;24.5;25;24.8;24.8;25.5;24.4;25.2;24.7
51395;26.5;26;26.8;27.1;26.3;26.1;26.4;26.6;26.2;25.7;26.4;26.3;26.8;26.3;26;26.7;26.6;26.2;26.8;26.4;26.3;26.4;26.8;26.3;26;26.7;26.6;26.2;26.8;26.4;26.6;27.2;26.3;27.1;26.5
51396;26.6;26.1;27;27.2;26.5;26.3;26.5;26.7;26.3;25.8;26.6;26.4;26.8;26.5;26.1;26.8;26.7;26.4;26.9;26.5;26.5;26.4;26.9;26.5;26.1;26.8;26.7;26.4;26.9;26.5;26.7;27.3;26.4;27.3;26.6
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;26.6;26.1;26.9;27.2;26.5;26.3;26.5;26.7;26.3;25.8;26.6;26.3;26.8;26.4;26;26.8;26.7;26.4;26.9;26.5;26.4;26.4;26.9;26.4;26.1;26.8;26.7;26.4;26.9;26.5;26.7;27.3;26.4;27.3;26.6
68769;24.8;24.3;25.1;25.3;24.3;24.5;24.5;24.9;24.5;24;24.4;24.7;24.9;24.6;24.2;24.9;24.9;24.4;24.9;24.7;24.3;24.7;24.9;24.6;24.2;25;24.9;24.4;24.9;24.7;24.7;25.5;24.4;25.1;24.7
