code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;18.6;18.2;18.4;19.3;19;18.3;18.3;19.1;18.6;18.2;18.6;18.9;18.8;19.5;18.8;19;19;18.4;19.3;18.7;19.2;18.9;19;19;19;19.3;19;19.1;18.6;19.5;19.4;19.4;18.7;18.7;18.9
51334;19.8;19.2;19.5;20.4;20.1;19.4;19.4;20.4;19.8;19.3;19.7;20.1;19.9;20.5;20;20;20.2;19.4;20.3;19.7;20.3;20.1;19.9;20.1;20.1;20.4;20.2;20.3;19.9;20.6;20.5;20.6;19.9;19.8;20
51336;18.6;18;18.3;19.2;18.9;18.1;18.2;19.1;18.5;18.1;18.4;18.9;18.7;19.2;18.7;18.8;19;18.2;19.1;18.5;19.1;18.8;18.7;18.8;18.8;19.2;19;19.1;18.6;19.4;19.3;19.3;18.6;18.6;18.8
51337;15.3;14.9;15.2;15.9;15.7;15;15.1;15.9;15.3;14.8;15.3;15.7;15.5;15.9;15.4;15.6;15.8;15;16;15.3;16;15.4;15.6;15.6;15.6;15.8;15.8;15.8;15.5;16.1;16.1;16.1;15.2;15.4;15.6
51350;20.6;20.1;20.2;21.3;20.8;20.2;20.1;21;20.6;20.1;20.5;20.8;20.7;21.5;20.8;20.8;20.9;20.2;21.1;20.5;21;20.9;20.9;20.9;21;21.4;21;21.1;20.5;21.5;21.2;21.3;20.7;20.5;20.8
51366;21.6;21.5;21.7;22.3;22.2;21.5;21.7;21.8;22;21.3;21.9;21.7;22;22.1;21.8;22.1;22;21.7;22.7;21.7;22.3;21.9;22.3;22.1;22;22.2;22.1;22.3;22.1;22.2;22.7;22.5;22;22.3;22
51368;21.6;21.5;21.7;22.3;22.2;21.5;21.7;21.8;22;21.3;21.9;21.7;22;22.1;21.8;22.1;22;21.7;22.7;21.7;22.3;21.9;22.3;22.1;22;22.2;22.1;22.3;22.1;22.2;22.7;22.5;22;22.3;22
51369;19.9;19.8;20;20.6;20.5;19.8;20;20.2;20.2;19.6;20.2;20.1;20.3;20.4;20.1;20.4;20.4;19.9;21;20;20.6;20.2;20.6;20.4;20.3;20.5;20.4;20.6;20.4;20.6;21;20.8;20.2;20.5;20.3
51371;21.4;21.2;21.4;22.1;22;21.2;21.4;21.6;21.7;21;21.7;21.5;21.7;21.9;21.5;21.9;21.8;21.4;22.4;21.5;22;21.6;22.1;21.9;21.8;22;21.9;22;21.8;21.9;22.4;22.3;21.7;22;21.8
51372;16.4;16.2;16.5;17.1;17;16.2;16.4;16.9;16.6;16.1;16.6;16.7;16.7;17;16.6;16.9;16.9;16.4;17.4;16.5;17.1;16.6;16.9;16.8;16.8;16.9;16.9;17;16.8;17.2;17.4;17.3;16.5;16.8;16.8
51375;21.2;21.2;21.4;22;22;21.2;21.4;21.6;21.7;20.9;21.7;21.6;21.7;21.6;21.4;21.7;21.7;21.3;22.4;21.4;21.9;21.6;21.9;21.7;21.7;21.8;21.9;22.1;21.9;21.9;22.5;22.3;21.7;22;21.7
51378;16.3;16.1;16.3;17;16.9;16.1;16.3;16.7;16.5;15.9;16.5;16.6;16.6;16.9;16.5;16.8;16.8;16.2;17.2;16.4;17;16.5;16.8;16.7;16.7;16.8;16.8;16.9;16.6;17;17.3;17.2;16.4;16.7;16.6
51382;16.5;16.4;16.6;17.2;17.1;16.4;16.5;17;16.7;16.2;16.7;16.9;16.8;17.1;16.7;17;17;16.5;17.5;16.7;17.3;16.7;17.1;16.9;16.9;17.1;17.1;17.2;16.9;17.3;17.5;17.4;16.7;16.9;16.9
51385;20.4;20.2;20.5;21.1;21.1;20.2;20.6;20.9;20.6;20;20.6;21;20.9;20.7;20.7;20.9;21;20.3;21.3;20.5;21.2;20.7;20.6;20.6;20.7;20.8;21.1;21.3;20.9;21.2;21.6;21.5;20.7;20.8;20.8
51386;15.3;15;15.3;16;15.8;15.1;15.2;15.9;15.4;14.9;15.4;15.8;15.5;16;15.5;15.7;15.8;15.1;16.1;15.4;16;15.5;15.7;15.6;15.7;15.9;15.8;15.9;15.6;16.2;16.2;16.2;15.3;15.5;15.6
51391;21.8;21.7;22;22.6;22.6;21.6;22.1;22.3;22.2;21.4;22.2;22.5;22.5;22.1;22.1;22.4;22.4;21.8;22.8;22;22.7;22.3;22.1;22;22.3;22.2;22.6;22.8;22.4;22.6;23.2;23;22.2;22.4;22.3
