code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;578;565;570.8;598.5;588.5;567.6;568.4;591.5;577.3;563.7;577.3;587.1;582.6;604.3;583.9;588.4;589.9;570;596.9;578.2;595.3;585.6;589.8;589.1;590.1;598.9;590.5;592.1;577.8;604;600.2;600.9;578.3;578.4;585.3
51334;614.7;595.9;603.6;633.1;621.7;600.2;601.6;632.2;612.7;598.7;609.5;623.2;618.3;635.6;620.1;619.1;626.7;601.2;629.3;610.1;628.2;622.2;616.5;622.5;622;633.6;627.6;630.7;615.9;638.7;635.6;638.5;615.5;613.9;619.7
51336;575.6;559;566.7;594.2;584.5;562.5;564.6;593.4;574.1;560.4;571.8;585.3;579.8;596.6;580.9;581.9;588.5;563.7;592.3;572.6;591.3;582.5;579.4;583.8;583.6;593.8;588.9;591.9;578;600.1;597.8;599.7;575.7;576.2;581.5
51337;473.4;462.8;471;493;488.2;464.3;468.8;492.5;473.6;460.3;473.5;487.1;479.8;494.3;478.9;484.9;489.3;466;496.3;474.9;495.3;478.9;482.4;482.8;483.1;489.7;488.3;491.3;479.8;499.4;499.9;498.8;472;478.2;482.1
51350;639.8;621.7;626.7;660;644.9;627.1;623.6;651;638.6;622.9;635.6;645;643.1;667.8;646.3;645.3;648.2;627.4;652.6;636.5;650.7;649.4;647.5;649.3;651;662.5;651.2;653;635.7;665;658.1;661.3;642.9;636.2;644.6
51366;670.7;666.6;671.7;690.9;689.1;667;671.2;676.2;680.9;660;679.5;673.3;680.5;684.1;675;684.8;682.7;672.2;704;673.5;689.8;678.2;692.6;684.9;683;687.2;686;690.2;685.1;687.8;704;698.2;681.5;690.7;682.1
51368;670.7;666.6;671.7;690.9;689.1;667;671.2;676.2;680.9;660;679.5;673.3;680.5;684.1;675;684.8;682.7;672.2;704;673.5;689.8;678.2;692.6;684.9;683;687.2;686;690.2;685.1;687.8;704;698.2;681.5;690.7;682.1
51369;618.1;613.5;619.4;638.4;636.8;613.9;618.5;627;626.9;607.2;626;624.1;628;632.8;622.8;632.2;631.3;618.2;650.2;621.2;638.4;625.3;637.9;631.3;630.1;634.4;633.9;638.4;631.9;637.4;651.1;645.9;626.7;635.8;629.6
51371;663.2;658.1;663.1;683.7;680.5;658.7;662.9;668.1;672.7;652.2;671.5;665.1;672.4;677.9;667.7;677.9;675.3;664.7;695.1;665.6;682.1;671.1;685.9;677.5;675.9;680.9;677.8;681.4;675.8;680.4;695.1;689.8;673.4;682.2;674.3
51372;509.3;503.2;510;529.2;527;503.5;508.2;522.7;514;497.8;514;519;517.3;527.3;514.1;523.3;524.1;506.9;538.2;512.6;531.6;515;525.4;521.2;520.6;525.2;524.5;527.7;519.7;531.9;539.4;535.7;512.5;521.4;519.8
51375;658.6;656.5;662.7;680.6;681;656.6;662.4;669.9;671.3;648.5;671.3;669.3;672.9;670.9;664.2;673;672.6;659.5;694.2;662.9;678.7;668.3;679.8;671.7;671.4;675;677.8;686.4;678.2;678.2;697.1;690.6;671.7;680.8;672.5
51378;505.6;499.5;506.3;525.6;523.3;499.9;504.5;519.2;510.2;494.2;510.3;515.5;513.6;523.8;510.5;519.7;520.5;503.2;534.4;508.9;528;511.3;521.6;517.5;517;521.5;520.8;524.1;516;528.4;535.7;532;508.6;517.6;516.1
51382;513;506.9;514.1;533.1;531.2;507.4;512.4;527.2;518;501.5;518;523.7;521.7;530.7;518.1;527;528.2;510.4;542;516.4;535.4;519;528.6;524.6;524.2;528.8;528.9;532.6;524.1;536;543.8;540;516.5;525.3;523.8
51385;631.4;625.8;636.3;654.2;654.9;625.6;637.7;649.3;639.7;619;639.9;651.3;649.4;643.2;640.5;646.4;650.9;628.2;659.7;635.6;656.3;642.5;639;638.1;642.7;645.2;655.3;661.3;648.4;657.2;670.1;666;640.6;646;644.9
51386;475.3;465.5;473.4;494.9;490.5;466.7;471.1;493.4;476.2;462.5;476.2;488.3;481.8;495.9;480.6;487.2;490.9;468.7;499.3;477.1;497.2;480.7;485.6;485.1;485.3;491.5;490.1;493.1;482.2;500.7;502.2;500.7;474.6;481.3;484.3
51391;676;674;682.6;701.1;701.7;670.1;686.2;691.4;687.5;664.6;689.3;697.6;698.6;685.6;686.3;693.3;695.3;676.1;706.9;681.3;702.7;690.8;684.8;682.4;689.8;689.1;701.7;708.2;695.1;701.8;718.5;713.5;689.2;693.4;691.4
51393;580.2;574.2;584.3;601.9;602.5;576.2;583.8;599;588.3;568.2;587.9;597.7;594.5;594.1;587.4;593.8;598.2;576.3;610.1;584.2;603;588.9;592;589.3;590.5;595.3;601.5;609.2;597.4;604.7;617.1;612.5;587.9;595.8;593.2
51395;646.4;644.9;652.1;669.8;670.8;644.1;652.7;661;659.4;636.2;660.3;662.6;663.9;658.1;653.6;661.6;662.4;646.8;681.5;651.5;668.6;657.9;664.3;657.6;659.5;662;668.3;677.9;667.4;668.6;687.3;681.1;659.8;667.9;661.4
51396;654.1;652.9;659.5;676.9;678.2;652.9;659.3;667.8;667.9;644.2;668.5;668.2;670.3;666;660.3;668.7;668.9;654.9;690.8;659.1;674.7;664.9;675;666.8;667.2;670.4;674.9;685.5;675.9;674.7;694.8;688.1;668.2;677.3;669
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;653.4;652.3;658.8;676.2;677.5;652.2;658.7;667.1;667.2;643.6;667.8;667.6;669.6;665.4;659.6;668;668.2;654.1;690;658.4;674;664.1;674.3;666.1;666.5;669.7;674.3;684.9;675.2;674;694.1;687.4;667.5;676.5;668.4
68769;577.9;572;582;599.6;600.2;574;581.5;596.7;586;566;585.6;595.3;592;592;585.1;591.4;595.8;574.1;608;581.9;600.6;586.5;590;587.2;588.2;593.1;599.1;606.9;595.2;602.4;614.7;610.2;585.6;593.6;590.9
