code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;23.9;23.4;24.3;23.6;23.7;23.7;24.4;24.7;23.3;23.9;23.5;23.4;23.7;24.4;23;23.7;23.4;22.4;23.8;23.1;23.5;23.5;23.8;24.4;23;23.7;23.5;22.4;23.8;23;24.2;23.5;24.2;24;23.6
51340;31.6;31.4;31.3;31.5;31.3;31.6;31.8;31.8;31.1;31.5;31.5;32;31.2;32.2;30.3;30.9;31.2;30.1;30.9;31.1;31.5;32;31.2;32.2;30.3;30.9;31.2;30.1;30.9;31.1;31.9;31.8;31.7;32.1;31.3
51341;31.3;31;31.1;31.1;31.2;31.1;31.6;31.4;30.7;31.1;31.2;31.5;30.8;31.8;30.4;30.8;31.1;30.4;30.8;30.9;31.2;31.4;30.8;31.8;30.5;30.8;31.1;30.4;30.9;30.9;32;31.7;31.5;32;31.1
51342;31.6;31.2;31.1;31.5;31.1;31.6;31.8;31.9;31.1;31.4;31.5;32;31.1;31.9;30.1;31;31.2;29.8;30.7;31.1;31.5;32;31.1;31.9;30.1;31;31.2;29.8;30.7;31.1;32.1;31.7;31.7;32;31.3
51344;30.7;30.3;30.5;30.4;30.6;30.6;31;30.7;30.1;30.6;30.6;31.1;30.3;31.2;29.6;29.9;30.1;29.6;30;30.2;30.6;31;30.2;31.2;29.6;29.9;30.1;29.6;30;30.2;31.1;31;30.9;31.3;30.4
51345;29.9;29.6;29.8;29.7;29.8;29.8;30.4;30.1;29.4;29.8;29.8;30.2;29.5;30.6;28.7;29.3;29.4;28.3;29.5;29.3;29.8;30.1;29.5;30.6;28.7;29.3;29.4;28.3;29.5;29.3;30.5;30.3;30.1;30.7;29.7
51346;31.9;31.5;31.5;31.9;31.4;31.8;32.2;32.3;31.5;31.7;31.7;32.2;31.5;32.3;30.5;31.4;31.6;29.9;31.3;31.4;31.7;32.2;31.5;32.3;30.5;31.5;31.6;29.9;31.3;31.3;32.3;31.8;32;32.2;31.6
51347;24.9;24.4;25.2;24.7;24.7;24.7;25.4;25.7;24.4;24.8;24.5;24.5;24.7;25.4;24.1;24.7;24.5;23.4;24.8;24.1;24.4;24.6;24.8;25.4;24;24.7;24.5;23.4;24.8;24.1;25.2;24.7;25.2;25.1;24.7
51348;29.8;29;29.6;29.7;29.3;29.6;30;30.6;29.4;29.5;29.5;29.9;29.7;30.1;28.4;29.5;29.7;27.8;29.3;29.5;29.4;29.9;29.7;30.1;28.4;29.5;29.7;27.8;29.4;29.5;30.6;28.9;30.1;30;29.5
51349;29.6;29.1;29.5;29.6;29.3;29.4;30;30.1;29.2;29.4;29.3;29.6;29.3;30.1;28.4;29.2;29.1;27.8;29.3;28.9;29.3;29.6;29.3;30.1;28.4;29.2;29.2;27.8;29.3;28.9;30;29.5;29.8;30;29.3
51351;28;27.6;28.1;28;27.9;27.8;28.5;28.4;27.6;28;27.8;28;27.7;28.7;27;27.7;27.5;26.3;27.9;27.3;27.8;28;27.8;28.7;26.9;27.7;27.5;26.3;27.9;27.2;28.5;28.2;28.4;28.7;27.8
51352;29.6;28.7;29.6;29.4;29.3;29.2;29.6;30.2;29;29.6;29.5;29.8;29.6;29.9;28.5;29.7;29.6;27.7;29.3;29.6;29.4;29.9;29.6;29.9;28.5;29.7;29.6;27.7;29.4;29.5;30.6;28;29.8;29.7;29.4
