code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;18.2;18.3;17.8;18.3;17.3;17.8;18.3;18.9;17.4;17.7;17.8;17.8;18.1;18.6;17.9;18.1;17.9;17.8;18.1;17.9;18.3;17.9;18;18.5;18.2;18.7;18.1;18.4;18.3;18.9;18.4;18.3;18.4;18.4;18.1
51340;26.9;27;26.7;27.1;26.3;26.9;27.3;27.5;26.8;26.4;26.9;27.2;26.9;27.4;26.3;26.5;26.8;26.2;26.9;26.5;27.3;26.9;26.6;27.3;27;27.1;26.8;26.9;27.2;27.4;27.2;27.2;27.5;27.3;26.9
51341;26.6;26.7;26.3;26.8;26.1;26.3;26.9;27.1;26.6;26.3;26.6;26.8;26.6;27;26.3;26.4;26.7;26.5;26.8;26.3;27;26.9;26.4;27.1;26.8;26.8;26.7;26.9;27.1;27.2;27.2;27.1;27.1;27.1;26.7
51342;27.8;28;27.5;28;26.9;27.9;28.1;28.3;27.3;26.9;27.7;28;27.6;28;26.9;27.2;27.6;26.7;27.5;27.4;28.2;27.7;27.2;27.7;27.7;27.9;27.4;27.4;27.8;28.1;28;27.7;28.4;28.1;27.7
51344;26.9;27;26.8;27.1;26.6;27;27.4;27.5;27.1;26.7;27.1;27.3;27;27.4;26.6;26.5;26.9;26.7;27;26.7;27.5;27.2;26.9;27.5;27.1;27.1;27;27.1;27.4;27.7;27.5;27.4;27.5;27.4;27.1
51345;24.9;25;24.5;25.2;24.3;24.6;25.2;25.4;25.1;24.6;24.9;25.1;24.9;25.6;24.5;24.6;24.7;24.4;25;24.5;25.3;24.9;24.6;25.5;25.1;25.3;24.8;25.2;25.3;25.4;25.3;25.4;25.4;25.4;25
51346;27.4;27.5;26.9;27.6;26.2;27.2;27.4;27.9;26.7;26.3;27.1;27.4;27.1;27.6;26.4;26.9;27;26.2;27;26.9;27.6;27.1;26.8;27.3;27.2;27.5;26.8;27;27.3;27.7;27.5;27.2;27.7;27.5;27.1
51347;19.8;19.9;19.4;20;18.9;19.4;19.9;20.5;19;19.2;19.5;19.5;19.7;20.2;19.4;19.7;19.5;19.3;19.6;19.5;20;19.5;19.6;20;19.8;20.3;19.7;19.9;19.9;20.5;20;19.9;20;20;19.7
51348;25.7;25.7;25;25.9;24.4;25.5;25.5;26.5;24.7;24.6;25.3;25.5;25.4;25.7;24.7;25.3;25.4;24.6;25.1;25.4;25.9;25.2;25.2;25.3;25.1;25.9;25;25.1;25.3;26.2;26.1;25;25.6;25.4;25.4
51349;24.8;24.9;24.4;25.2;23.8;24.4;24.9;25.5;24.2;24;24.6;24.7;24.7;25.3;24.2;24.6;24.5;24;24.6;24.4;25.1;24.5;24.4;25.1;24.8;25.2;24.5;24.8;24.9;25.3;24.9;24.9;25.1;25.1;24.7
