code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;545.4;548.8;533.1;549.3;520.1;535.4;548.8;565.6;521.5;530.9;535.5;534.2;543.7;559.3;536;542.8;536.5;533.8;542.3;536.6;549.9;535.6;539.9;553.7;545.6;562.3;542.8;550.9;549.7;568.2;551.1;548.1;551.8;552.7;544.2
51340;807.3;811.2;799.9;813.6;788.6;805.8;817.5;824.1;802.8;790.9;806.7;815.7;806.5;820.8;789.3;794;802.7;787.3;806.2;796.1;820.1;808.2;797.4;818.2;810;812.7;804;808.2;816;821.5;816;816.3;823.6;818.7;808.2
51341;798.9;800.5;789.9;788.2;784.1;789.2;806.5;810;798;789.8;797.9;795.3;794.9;811.1;786;783.2;792.2;781.9;786.7;788.3;808.7;806.4;792.7;814.3;792;805.5;800.5;801.8;804.2;814.9;804.3;812.5;812;789.3;798
51342;834.6;838.7;824.2;839.9;807.3;835.9;841.9;850.4;820.3;805.6;830.1;841.2;829.2;840.8;805.5;817.3;827.1;801.1;824.2;821.1;846.4;831.6;817.5;832.5;831.9;836.6;821.3;822.6;834.6;843.7;839.2;831.9;852.5;843.8;830.1
51344;806.5;810.1;805.2;812.3;797.1;809.3;821.6;824.5;813.6;801.2;811.6;819.1;810.6;821.2;797.7;796.3;806.2;801.3;810.4;801;824.4;816.3;805.6;824.1;813.9;813.1;811.4;812.9;822.6;829.7;824.9;823.2;826.3;821.9;813.1
51345;747.8;749;735.9;756.7;729.2;738.7;757;763.5;751.7;737;748;752.8;746.9;766.8;733.8;738.7;741.4;732.8;750.2;734.5;758.8;748;739.1;765.3;754.4;759;743.6;755.5;760.3;762.1;759.3;763.4;762.2;761.9;750.2
51346;821;823.6;805.9;828.4;787.1;814.6;823.1;837.6;800.6;789.6;813.1;822.1;813.1;828.9;792.4;807.3;810.5;785.6;810.1;806.1;827.9;812;803.3;819.9;816.1;824.4;805.1;810.6;818.8;830.1;823.5;816.4;830;825.7;814.3
51347;594.1;597;582;600.8;566.4;583.3;595.6;615.9;568.6;575.9;584.2;584.2;591.4;607.4;583;590.6;584.7;580;588.9;585.4;600.4;584.4;587;600.1;594.3;609;590.9;597.6;597.6;616.2;598.8;597.1;601;600.8;592.2
51348;771.2;771.1;748.8;777.8;731.4;763.7;766.1;793.5;741.9;738.6;757.9;765.5;761.1;769.9;742.2;759.5;761.1;736.8;753.1;761.7;776.8;756.5;756.6;760.2;754.5;775.9;749.4;754.2;758.8;785.6;781.6;751;769.3;763.3;760.8
51349;745.4;747.3;731;755.7;714.1;733.1;746.2;763.9;725.3;720.1;737.8;741.8;739.9;759.2;725.6;737.2;734.4;720.4;739.2;731.8;751.9;735.7;732.1;751.6;745.3;755.4;735.2;744.4;748.2;759.6;747.9;748;754.4;752.2;741.5
51351;681.7;683.6;668.2;694.8;656.1;665.8;684.4;699.2;670;664;677.5;678.5;679.2;702.6;667.9;676.3;671.4;664.6;682.5;667.3;689;674;671.4;697.7;687.9;697.2;675.6;690.1;691.2;696.8;685.4;693.2;694.7;693.6;681.6
51352;759;757.5;736.3;763.5;733;750.8;755.1;778.1;735.5;741.1;750.1;756.9;752.9;755.1;737.1;757.5;752.7;732.7;746.2;752.4;767.8;751.8;758.5;757.2;739.5;770.2;743.4;752.1;744.9;783.3;774.2;730;764.1;748.5;752.6
51354;634.8;636.7;618.3;639.3;603.5;625.5;634.5;656.9;607.6;613;623.8;624.9;629.5;642.7;618.7;628.4;624.8;615;624.7;627.1;639.9;622.6;625.2;635.1;628;646.4;626.2;631.5;631.9;655.1;641.3;629;636.8;633.9;629.8
51359;678.6;680.6;663.9;685.5;645.6;668.2;678;699.6;651;653.7;667.6;670;672.8;687.8;660.7;672.2;667.8;656;669;668.4;684;667;667.6;679.3;674.7;689.3;669.1;675;677.4;697.1;682.8;675.7;683.1;681.7;673.6
51361;844.9;830.6;831.2;842.5;809.3;846.8;844.2;852.5;823.9;810.5;836.7;848;838.6;848.7;812.9;833.4;815.3;805.4;831.2;835.4;848.3;839.7;828.4;837.9;837.4;846.9;824.8;828.1;840;857.5;850.9;834.5;855.8;849.8;835.9
51363;797.6;784.2;762.5;795.3;766.8;784.9;794.7;805.9;770.3;762.3;780.9;798.8;785;787.4;748.8;775.8;791.3;747;772.3;781.1;812.5;794.4;774.2;777.6;768.6;799;769;779;784.4;807.5;815.3;776.7;799.3;781.3;783.3
51364;815.8;805.2;794.1;812.3;781;815.7;810.5;817.7;794.1;782.6;804.1;818.7;809.4;814.7;779.9;802.8;805.2;773.8;798.5;808.5;815.6;811.7;799.8;802;797.4;818.3;790.5;797.4;806.7;830.4;818.9;796.1;820.9;811.5;804.8
51377;594;599.7;574.3;585.5;576.7;589.5;602.3;607.4;576.7;589.2;588.7;583.1;592.5;603.3;582.6;592.7;590.1;581.7;593.3;586.4;591.6;584.8;589.9;607.9;585.9;615;588.3;598.3;594.5;619.1;607.5;582.3;597.2;591.4;592.5
51380;641.8;645.4;628.9;652.9;620.9;627;647.4;658.2;634.1;633.3;637.8;635.6;641.9;664.4;633.1;641.2;633.3;631.7;647.2;628;647.6;635.3;637;662.3;651.1;663.7;637.4;655.5;653.8;659.2;650.5;655;654.8;658.5;644.3
51384;551.3;554.5;534.6;547.1;528.7;543.9;557;568.4;528.5;540;541.6;538.5;548.8;561.1;540.6;547.9;544.1;539.4;547.4;543.4;551.4;539.7;546;559.4;545.2;569.1;547;554.8;551.3;575.2;559.9;545.9;553.6;551.2;548.7
51388;551.5;561.4;538.4;551.9;537.6;545.5;563.6;564.4;545.6;556.9;546.6;540.6;554.4;572.5;544.7;556.4;548;547.2;561;540.3;553;548.2;548;575.2;557.7;580.8;546.8;568;561.1;572.2;568.7;556.5;560.9;565;555.6
51389;674.9;677;653.5;675.5;647.9;667.3;675.3;694.1;650.6;658.7;665.4;666.5;670.1;677.9;658.9;671.4;666.8;654.6;665.3;669.2;677.4;662.6;669.9;677.4;661.8;688.7;664.7;671;666.6;698;684.6;656.3;676.6;667.5;669.5
51392;790;796.3;766.1;787.7;779.1;786.6;797.8;803.1;775.1;789.5;792.5;788.9;792.7;793;781;800;787.2;770.3;788.2;785.4;792.5;792.4;793.7;807.3;773.4;810.6;783.2;794.5;779.9;800.8;809;758.8;801;786.5;789.2
51394;687.3;694.8;663.3;679.2;673.8;684.5;696.1;698.2;673.4;687.8;686.8;681;687.7;693.8;676;690.2;685.1;670.7;687.9;681.5;684.4;682.2;687.1;705.1;675.1;709.4;679.4;691.6;686.5;714.6;704.2;664.2;693.4;682.6;686.4
