code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;25.2;24.7;25.7;24.8;25.1;24.9;25.8;25.8;24.6;25.2;24.8;24.7;25;25.8;24.2;25;24.6;23.6;25.2;24.2;24.8;24.7;25;25.8;24.2;25;24.7;23.6;25.2;24.1;25.6;24.9;25.4;25.5;24.9
51334;24.9;24.4;25.2;24.7;24.7;24.7;25.4;25.7;24.4;24.8;24.5;24.5;24.7;25.4;24.1;24.7;24.5;23.4;24.8;24.1;24.4;24.6;24.8;25.4;24;24.7;24.5;23.4;24.8;24.1;25.2;24.7;25.2;25.1;24.7
51336;24.2;23.7;24.5;23.9;24;23.9;24.6;24.9;23.6;24.1;23.8;23.7;24;24.6;23.3;23.9;23.7;22.7;24.1;23.3;23.7;23.7;24;24.6;23.3;23.9;23.7;22.7;24.1;23.2;24.4;23.8;24.4;24.3;23.9
51337;22.2;21.6;22.7;21.7;22;21.8;22.6;22.9;21.4;22.3;21.8;21.5;21.9;22.7;21.2;22;21.6;20.6;22.2;21.1;21.7;21.6;22;22.7;21.2;22;21.6;20.6;22.2;21.1;22.5;21.5;22.3;22.1;21.9
51350;26.2;25.7;26.4;26;26.1;26;26.7;26.8;25.7;26.1;25.9;25.9;26;26.7;25.3;25.9;25.7;24.6;26.1;25.4;25.8;25.9;26;26.7;25.2;25.9;25.7;24.6;26.1;25.3;26.5;26.2;26.5;26.6;25.9
51366;27;26.7;27.8;26.5;26.7;27;27.5;27.4;26.5;27.3;26.9;26.5;26.8;27.8;25.7;27.1;26.7;25.6;27.5;26.1;26.9;26.5;26.8;27.8;25.7;27.1;26.7;25.6;27.7;26;27.9;25.8;26.9;26.6;26.8
51368;27;26.7;27.8;26.5;26.7;27;27.5;27.4;26.5;27.3;26.9;26.5;26.8;27.8;25.7;27.1;26.7;25.6;27.5;26.1;26.9;26.5;26.8;27.8;25.7;27.1;26.7;25.6;27.7;26;27.9;25.8;26.9;26.6;26.8
51369;25.9;25.6;26.6;25.3;25.6;25.8;26.4;26.4;25.3;26.2;25.8;25.3;25.7;26.7;24.7;25.9;25.5;24.5;26.3;25;25.8;25.4;25.7;26.7;24.7;25.9;25.5;24.5;26.5;24.9;26.7;24.8;25.9;25.6;25.7
51371;27.2;26.8;27.9;26.6;26.9;27.1;27.7;27.5;26.6;27.5;27.1;26.6;26.9;28;25.9;27.3;26.8;25.8;27.7;26.2;27;26.7;26.9;28;25.9;27.2;26.8;25.8;27.8;26.1;28.1;26.1;27.1;26.9;26.9
51372;23.5;23.1;24.2;22.9;23.3;23.3;24;24;22.8;23.7;23.2;22.8;23.2;24.2;22.4;23.5;23;21.9;23.7;22.4;23.2;22.9;23.3;24.2;22.4;23.4;23;21.9;23.8;22.3;24.1;22.5;23.5;23.3;23.2
