code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;18.9;19.1;18.5;19.1;18.2;18.6;19.1;19.5;18.4;18.7;18.7;18.6;19;19.6;18.7;18.9;18.7;18.7;19;18.6;19.1;18.7;18.8;19.5;19.1;19.6;18.9;19.3;19.2;19.7;19.2;19.2;19.3;19.4;19
51334;19.8;19.9;19.4;20;18.9;19.4;19.9;20.5;19;19.2;19.5;19.5;19.7;20.2;19.4;19.7;19.5;19.3;19.6;19.5;20;19.5;19.6;20;19.8;20.3;19.7;19.9;19.9;20.5;20;19.9;20;20;19.7
51336;18.6;18.7;18.2;18.7;17.7;18.2;18.7;19.3;17.8;18.1;18.2;18.2;18.5;19;18.2;18.5;18.3;18.2;18.4;18.3;18.7;18.2;18.4;18.8;18.6;19.1;18.5;18.7;18.7;19.3;18.7;18.7;18.8;18.8;18.5
51337;15.3;15.5;14.9;15.3;14.6;15;15.6;15.9;14.6;15.1;15;14.9;15.3;15.8;15.1;15.3;15.1;15.1;15.4;15;15.4;15;15.2;15.8;15.3;16;15.3;15.6;15.5;16.1;15.6;15.4;15.5;15.6;15.3
51350;20.9;20.9;20.5;21.2;20;20.4;20.9;21.5;20.2;20.3;20.6;20.6;20.8;21.4;20.5;20.7;20.5;20.4;20.8;20.5;21.1;20.6;20.6;21.2;21;21.4;20.7;21.1;21.1;21.5;21;21.1;21.2;21.2;20.8
51366;21.7;22.3;21.2;21.5;21.5;21.8;22.3;22;21.8;22.2;21.7;21.4;21.8;22.4;21.3;21.9;21.8;21.5;22.2;21.4;21.7;21.8;21.4;22.8;21.8;22.9;21.4;22.2;22;22.5;22.6;21.6;22;21.8;21.9
51368;21.7;22.3;21.2;21.5;21.5;21.8;22.3;22;21.8;22.2;21.7;21.4;21.8;22.4;21.3;21.9;21.8;21.5;22.2;21.4;21.7;21.8;21.4;22.8;21.8;22.9;21.4;22.2;22;22.5;22.6;21.6;22;21.8;21.9
51369;20.1;20.5;19.5;19.8;19.8;20.1;20.6;20.4;20;20.4;20;19.7;20.2;20.7;19.7;20.2;20.1;19.9;20.4;19.7;20;20;19.8;21;20.1;21.1;19.8;20.6;20.4;20.8;20.8;20;20.3;20.2;20.2
51371;21.6;22.2;21.1;21.4;21.3;21.7;22.2;21.9;21.7;22.1;21.6;21.3;21.7;22.3;21.2;21.9;21.6;21.4;22.1;21.3;21.6;21.7;21.3;22.6;21.7;22.7;21.3;22.2;21.9;22.3;22.5;21.5;21.9;21.8;21.8
51372;16.6;16.9;16.1;16.4;16.2;16.5;17;17;16.3;16.7;16.4;16.2;16.7;17.2;16.3;16.7;16.5;16.4;16.9;16.3;16.6;16.4;16.5;17.3;16.7;17.5;16.5;17.1;16.9;17.4;17.1;16.6;16.8;16.8;16.7
51375;21.5;22;20.9;21.1;21.3;21.6;22;21.8;21.5;21.9;21.6;21.2;21.6;22.1;21.1;21.6;21.6;21.3;21.9;21.2;21.4;21.4;21.3;22.5;21.5;22.5;21.2;21.9;21.9;22.3;22.3;21.2;21.7;21.6;21.6
51378;16.5;16.8;16;16.3;16;16.4;16.9;16.9;16.1;16.6;16.3;16.1;16.6;17.1;16.2;16.6;16.3;16.3;16.7;16.2;16.5;16.3;16.3;17.2;16.5;17.4;16.4;16.9;16.8;17.3;17;16.5;16.7;16.7;16.6
51382;16.7;17;16.2;16.5;16.3;16.6;17.1;17.1;16.4;16.8;16.6;16.3;16.8;17.3;16.5;16.8;16.6;16.6;17;16.4;16.7;16.5;16.6;17.4;16.8;17.6;16.6;17.2;17;17.5;17.2;16.7;16.9;16.9;16.8
51385;20.5;20.8;19.8;20.2;20.1;20.4;20.9;20.9;20.1;20.5;20.5;20.2;20.5;20.8;20.2;20.5;20.5;20.1;20.6;20.3;20.4;20.3;20.4;21.1;20.2;21.3;20.3;20.7;20.6;21.4;21.1;20;20.7;20.4;20.5
51386;15.4;15.6;15;15.3;14.8;15.2;15.7;16;14.8;15.2;15.1;15;15.4;15.9;15.2;15.4;15.2;15.2;15.5;15.1;15.4;15.1;15.3;15.9;15.4;16.1;15.4;15.8;15.6;16.2;15.7;15.5;15.6;15.7;15.4
51391;22.1;22.4;21.3;21.7;21.7;22;22.4;22.4;21.7;22.2;22.1;21.9;22.1;22.4;21.7;22.2;22.1;21.6;22.2;21.8;21.9;21.9;22.1;22.8;21.7;22.9;21.8;22.3;22.2;23;22.7;21.4;22.3;22;22.1
51393;18.9;19.1;18.2;18.5;18.4;18.8;19.2;19.2;18.4;18.8;18.8;18.5;18.8;19.3;18.5;18.8;18.8;18.5;19;18.6;18.7;18.6;18.7;19.5;18.7;19.7;18.7;19.1;19;19.7;19.4;18.6;19;18.8;18.9
51395;21.1;21.5;20.5;20.7;20.9;21.2;21.6;21.4;21;21.4;21.3;20.9;21.2;21.6;20.7;21.2;21.2;20.8;21.4;20.8;21;21;21;22.1;21;22.1;20.9;21.4;21.5;22;21.9;20.7;21.4;21.2;21.2
51396;21.4;21.9;20.7;21;21.2;21.5;21.9;21.7;21.4;21.8;21.6;21.2;21.5;22;21;21.5;21.5;21.2;21.8;21.1;21.3;21.3;21.3;22.4;21.3;22.4;21.2;21.7;21.8;22.2;22.2;21.1;21.6;21.5;21.5
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;21.4;21.8;20.7;21;21.2;21.5;21.9;21.7;21.3;21.7;21.5;21.1;21.5;22;21;21.5;21.5;21.1;21.7;21.1;21.2;21.3;21.2;22.4;21.3;22.4;21.1;21.7;21.8;22.2;22.2;21.1;21.6;21.4;21.5
68769;18.8;19;18.2;18.4;18.3;18.7;19.1;19.2;18.3;18.8;18.7;18.4;18.8;19.2;18.4;18.8;18.7;18.5;18.9;18.5;18.7;18.5;18.6;19.4;18.6;19.6;18.6;19;18.9;19.6;19.3;18.5;18.9;18.8;18.8
