code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;568.2;572.5;556.4;573.3;547;557;574.2;585.8;552.1;559.9;560.7;557.9;568.6;586.9;561.3;567.9;559.9;560.2;571;557.2;572.2;560.2;565;583.9;573.4;589.4;566.1;579.7;577.3;589.7;576;576.2;577.7;581.6;569.6
51334;594.1;597;582;600.8;566.4;583.3;595.6;615.9;568.6;575.9;584.2;584.2;591.4;607.4;583;590.6;584.7;580;588.9;585.4;600.4;584.4;587;600.1;594.3;609;590.9;597.6;597.6;616.2;598.8;597.1;601;600.8;592.2
51336;556.9;560.3;544.8;561.6;531;546.7;559.8;577.5;532.6;541.6;547.1;546.1;555;570.8;547.2;554.2;547.9;544.8;553.4;548;561.9;547.2;551;564.8;557.3;573.4;554.2;562.1;561.2;579.6;562.3;560;563.6;564.3;555.6
51337;459.7;464.2;447.2;458.4;439.1;451.4;466.8;476.9;438.8;452.3;449.9;446.4;460;474.9;453.5;459;451.8;453;460.7;450.6;461;450;457.2;472.5;460.3;480.4;458.5;469.2;465.9;483.9;467.4;462.2;465.6;468.6;459.9
51350;625.8;628.4;613.6;636.1;599.3;611.9;627.7;645.7;606.2;608.4;618.5;618.2;623.6;643.4;614.5;622.4;615.9;611.6;624.2;614.3;632.4;617;617.9;637.4;629.9;642;621.9;632.8;632.9;645.3;629.7;633.9;636;636;625.1
51366;652.3;668.2;635.3;644;644.6;654.3;669.3;660.7;654;666.6;652.5;642.6;655.4;672.9;639.2;658.5;652.7;646.2;665.3;642;650.2;652.7;642.6;683;654;685.6;642.8;667.5;661.2;673.7;677.7;648.3;658.8;655.2;656.8
51368;652.3;668.2;635.3;644;644.6;654.3;669.3;660.7;654;666.6;652.5;642.6;655.4;672.9;639.2;658.5;652.7;646.2;665.3;642;650.2;652.7;642.6;683;654;685.6;642.8;667.5;661.2;673.7;677.7;648.3;658.8;655.2;656.8
51369;602.5;616.1;586;594.6;592.9;602.7;617.8;612.2;599.9;613;601.2;592;605.1;621.9;591.1;607.2;601.6;596.6;613.3;592.5;600.5;600.7;594.8;630.2;603.7;633.5;594.9;616.5;611.2;624.8;624.7;599.1;608.8;606.5;606.2
51371;648.6;664.6;632.1;642.2;640.4;649.7;665.5;657;650.9;663.3;648;638.8;651.9;669.8;636.3;655.8;649.4;642.9;661.8;637.9;647.1;649.7;639.4;679;651.4;682.5;639;664.9;657.1;668.8;674.1;645.8;656;653.7;653.4
51372;498.3;508;484;492.6;484.6;494.7;510.7;510.8;488;502.3;492.8;485.8;500.4;516.5;490.3;501.1;494;493.5;505.8;488.5;497.3;492.9;493.6;520.4;499.8;525.7;494.2;511.8;506.4;521.8;514;498.3;504.4;505.5;500.9
51375;644.8;659;625.8;633.1;637.9;647.2;660.1;652.9;644.1;656.3;648.1;636.5;647.2;662.8;632.2;648.3;647.1;637.8;655.9;635;640.9;643.4;638.7;674.9;643.9;675.7;636.6;656.4;655.5;668.2;670;636.7;651.4;646.8;648.6
