code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;26.1;24.9;24.4;25.9;-999;23.8;23.6;24.3;-999;-999;23;24.5;-999;-999;-999;24.3;24.8;-999;-999;27.4;22.4;25.9;-999;27.6;24.1;25;25;-999;27.8;18.9;27.6;27.2;-999;27.1;25
51340;28;23.9;-999;-999;26;23.1;24.5;-999;-999;25.4;24.4;25.1;-999;-999;24;21.4;25.6;-999;-999;18.2;21.4;25.1;-999;28;26.8;24.3;25.4;28.1;25.5;26.6;27.9;27.2;26.8;27.4;25.2
51341;27.4;25.5;-999;-999;25.4;24.2;25.5;-999;-999;25.4;22.6;25.4;-999;-999;23;19;25.5;-999;-999;20.2;22.7;24.9;-999;27.3;25.6;24.4;25.4;27.9;23.6;27;27.2;-999;25.7;21.3;24.7
51342;27.4;23.6;23.8;25.3;25.7;23.8;22.3;-999;-999;25.5;24.2;24.7;-999;-999;25.3;23.1;25.2;-999;-999;22.5;20.8;25;-999;27.3;27;23.7;25.3;-999;27.3;23;27.6;27.3;26.6;27.4;25
51344;26.6;26.5;-999;-999;25.6;24.7;25.4;-999;-999;25.7;22;25.5;-999;-999;22.1;18.5;25.7;-999;-999;21.3;23.1;25;-999;28.1;25.7;24.6;-999;28.3;22.4;27.3;26.9;-999;26.2;17.4;24.5
51345;27.8;24;-999;-999;25.6;23.8;24.6;-999;-999;25.6;24.5;25;-999;-999;23.2;20.7;25.3;-999;-999;17.1;21.5;24.7;-999;28.1;26.5;24.2;24.9;27.3;25.3;27;27.2;26.2;26.4;26.7;24.9
51346;27;24.3;24.2;26.6;25.8;23.8;23.3;23.6;-999;25.4;23.9;24.9;-999;-999;25.3;23.1;25;-999;-999;24;21.1;25.4;-999;27.6;26.3;24.5;25.3;-999;27.6;21.7;28.1;27.2;26.6;27.4;25.2
51347;25.9;24.8;24.4;-999;-999;23.9;23.2;24.7;-999;-999;23;24.2;-999;-999;-999;24.4;25;-999;-999;27.1;22.6;25.8;-999;27.2;23.9;24.9;24.8;-999;27.5;19;27.2;27.3;-999;27.1;24.9
51348;25.2;29.2;26.1;-999;-999;24.3;24.3;24.7;-999;-999;24;24.3;25;-999;-999;24.1;23.2;25.2;-999;28.2;23.4;24.1;-999;27.5;24.8;26.1;25.1;-999;27.8;14.7;27.2;26.1;-999;28.6;25.1
51349;26.4;23.7;24;26.6;26.4;23.3;22.9;23.8;-999;24.9;24.1;24.7;-999;-999;25.1;23.5;24.8;-999;-999;23.3;21;25.2;-999;27.3;27.1;24.2;24.9;-999;26.9;21.2;27.8;26.3;26.6;26.8;24.9
51351;27;23.3;25.2;26.9;26.2;23.7;23.2;-999;-999;24.9;24.4;25.2;-999;-999;24.9;22.6;25.2;-999;-999;19.7;20.1;25;-999;26.9;28.4;23.8;25;-999;27.1;23.4;27.9;26.8;26.3;27.8;25
51352;26.2;26.6;25.2;-999;-999;25.3;23.8;25.1;-999;-999;24.7;23.9;25.1;-999;-999;22.8;19.7;25.5;-999;27.1;20.8;22.9;24.9;-999;28.2;27.7;25.1;25.4;27.9;21.6;26.7;27.9;28.6;26.2;25.2
51354;25.7;26.9;24.9;-999;-999;24;23.8;24.4;-999;-999;23.8;24.9;25.4;-999;-999;24.6;23.6;-999;-999;28.2;22.7;25.5;-999;27.7;23.4;26.2;25;-999;27.4;18;27.5;26.7;-999;28.2;25.2
51359;26.3;25.1;24.3;-999;-999;23.6;23.2;24.2;-999;-999;23.2;24.5;-999;-999;-999;24.4;24.5;-999;-999;27.3;22.5;25.5;-999;27.5;23.5;25.2;25.1;-999;27.8;18.8;27.4;26.9;-999;26.9;24.9
51361;25.8;25.5;24.4;25.3;-999;23.7;23.6;24;-999;-999;24;24.8;24.9;-999;26.4;24.4;24.4;-999;-999;27;22.2;25.2;-999;27.5;24.2;25.2;25.1;-999;27.6;18.7;27.9;27;27;27.5;25.1
51363;26;26.8;23.3;-999;-999;25.6;23.6;24.9;-999;-999;25.7;24.4;25;-999;-999;22.4;19.3;25.4;-999;27.1;19.9;21.8;24.8;-999;28.4;28.5;25.1;25.1;27.7;23.6;26.6;28.3;27.8;24.6;25.1
51364;25.9;27;25.8;-999;-999;25;23.8;24.9;-999;-999;24.7;23.9;25.3;-999;-999;23.2;21.4;25.5;-999;27.5;22.7;23.8;25.1;27.9;26.5;26.8;25.1;25.3;28;17.5;27.2;27;-999;27.9;25.2
51377;25.9;27.4;25.4;-999;-999;24.2;23.8;24.3;-999;-999;24;24.8;25.1;-999;-999;24.3;23.3;25.4;-999;27.9;23.2;24.7;-999;27.7;23.7;26.3;25.5;-999;28.2;17;27.4;26.3;-999;28.9;25.2
51380;27;23.7;23.7;26.7;25.9;23.4;24.1;-999;-999;25;24.2;25.3;-999;-999;25.1;22.5;25.3;-999;-999;20.3;20.4;25.3;-999;27.4;28.1;24.2;25.2;-999;27.1;22.9;28.2;27.1;26.4;27.6;25.1
51384;25.7;26.6;25.3;-999;-999;24.1;24.1;24.2;-999;-999;24.1;25.3;25.2;-999;-999;24.5;23.8;-999;-999;28.2;22.6;25.2;-999;27.6;23.7;26.4;25.6;-999;28.3;18.1;27.8;26.7;-999;29.3;25.3
51388;25.9;24;24.8;26.5;-999;23;23.3;24.2;-999;-999;24.1;24.8;-999;-999;25.8;23.7;25;-999;-999;22.5;20.9;25.4;-999;26.6;27.6;24.4;24.6;-999;27.2;19.6;28;26.1;26.3;26.6;24.8
51389;25.4;27.6;25.4;-999;-999;24.7;24.1;24.7;-999;-999;24;24.3;25.2;-999;-999;23.9;22.8;25.6;-999;27.9;23.4;24.1;26.1;28;25.6;26;25.4;-999;27.8;14.9;27.5;26.6;-999;28.5;25.2
51392;26;27;25.2;-999;-999;25.2;23.9;25.1;-999;-999;24.8;23.9;25;-999;-999;22.7;20.2;25.4;-999;27.4;20.7;22.8;24.8;-999;28;27.5;25;25.2;27.7;21.5;26.2;27.7;27.9;26.1;25.1
51394;25.4;29.8;26.4;-999;-999;25.2;23.8;24.5;-999;-999;23.5;23.9;25.1;-999;-999;23.2;22;25.2;-999;27.9;23;23.7;25;-999;25.9;26;25.1;-999;27.9;13.9;27.5;26.3;-999;28.8;25
