code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;809;770.3;757.4;803;-999;737.1;731;754.8;-999;-999;714.3;759.9;-999;-999;-999;753.4;767.9;-999;-999;850.6;694.2;801.9;-999;854.6;745.7;775;775;-999;861.6;586.5;856.2;842.1;-999;839.5;775.7
51340;826.9;741.9;-999;-999;807.4;716.5;759.8;-999;-999;787.3;756.8;776.9;-999;-999;743.3;664.5;794;-999;-999;563.3;662.7;777.8;-999;866.9;831.6;752.9;786.4;870.4;791.5;823.7;864.3;842.1;829.3;845.4;779.3
51341;751.7;789.7;-999;-999;787.3;751.7;790.1;-999;-999;788.1;702.1;786.2;-999;-999;711.9;589.3;791.3;-999;-999;626.7;705;773.4;-999;847;794.8;756.1;787;864.4;730.4;836.5;843;-999;795.5;620.2;759.1
51342;805.1;730.2;739.1;784.6;797.1;738;691.7;-999;-999;791.1;749.4;765.6;-999;-999;784.9;715.6;781.7;-999;-999;697.7;643.6;773.5;-999;846;835.6;735.2;785.3;-999;846.9;713.8;855.5;847;823.1;819.1;772.9
51344;766.2;821.2;-999;-999;792.1;766.8;787;-999;-999;796.9;681.1;789;-999;-999;684.6;572.4;795.9;-999;-999;659;717.5;774.5;-999;870.3;796.9;763.8;-999;878.4;693.3;845.1;833;-999;812.5;540.9;758.2
51345;758;744.7;-999;-999;794.8;737.4;763.7;-999;-999;792.4;759.1;773.8;-999;-999;719.8;642.9;785.5;-999;-999;531.5;667.7;765.6;-999;850.6;821.4;751.2;770.4;845.4;783.8;838;842.4;812.1;817.2;823;767.7
51346;819.6;752.2;751;825.3;799.7;736.7;722.9;732.8;-999;788.9;741.6;772;-999;-999;784.3;717.4;776.2;-999;-999;744.5;653.9;786.1;-999;856.7;816.8;759.6;784.7;-999;855.9;673.4;871.4;842.2;824.7;835.8;778.7
51347;801.7;768.5;755.3;-999;-999;741.8;719.5;766.9;-999;-999;712.8;749.1;-999;-999;-999;755.4;773.7;-999;-999;840.4;701.3;799.4;-999;842.9;742.2;772.4;769.6;-999;851.9;588.8;843.1;845.5;-999;841.1;772
51348;782.3;496.9;810.6;-999;-999;754.4;754.3;766.7;-999;-999;744.8;751.8;776.4;-999;-999;747.4;720.3;782.2;-999;873.2;726;746.8;-999;851.5;768.1;809.9;778.7;-999;862.5;457;842.2;810;-999;815.3;759.6
51349;811.2;732.8;743.1;824.3;819.2;722.8;711.3;737;-999;770.9;746.2;764.6;-999;-999;778.1;729.9;769.6;-999;-999;722.6;651.9;782.5;-999;844.9;839.6;751.3;771.7;-999;832.8;656.1;862.4;813.8;823.2;807.5;771.2
