code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;1.2;1.9;1;0.6;-999;0.9;0.8;1.3;-999;-999;0.8;1.3;1.1;-999;-999;0.6;0.7;-999;-999;0.6;0.8;0.9;-999;0.7;0.7;0.7;0.9;-999;0.5;0.8;0.8;0.7;-999;1.1;0.9
51340;1.3;1.2;-999;-999;0.9;1.2;1;-999;-999;0.7;1.1;0.6;-999;-999;0.8;0.8;0.8;-999;-999;0.8;0.9;0.9;-999;0.7;0.9;0.7;0.8;0.5;0.9;0.6;0.7;0.8;0.8;0.8;0.8
51341;1.7;1.3;0.5;1.1;0.9;1.3;0.9;0.5;0.6;0.8;0.9;0.8;0.7;0.7;0.8;0.9;0.9;0.5;0.7;0.7;0.8;0.7;0.8;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.8;0.9;0.8;0.8
51342;1.5;1.3;1;0.6;0.6;1.1;1.4;-999;-999;0.5;0.9;1.1;-999;-999;0.6;0.8;0.7;-999;-999;0.7;0.8;0.8;-999;0.6;0.6;0.9;0.9;-999;0.6;0.7;0.8;0.7;0.9;1.1;0.8
51344;1.9;1.1;-999;-999;0.7;1.5;1;-999;-999;0.8;0.7;1;-999;-999;0.9;1.1;1;-999;-999;0.8;0.7;0.7;-999;0.9;0.6;0.6;0.7;0.7;0.6;0.7;0.8;-999;0.7;0.8;0.9
51345;1.8;1.2;-999;-999;0.7;1.2;1;-999;-999;0.5;0.9;0.7;-999;-999;0.7;0.7;0.8;-999;-999;0.6;0.8;0.8;-999;0.8;0.6;0.9;0.8;0.4;1;0.7;0.7;0.8;1.2;1;0.9
51346;1.6;1.6;1.1;0.5;0.6;0.9;1.1;1;-999;0.8;0.7;0.9;0.8;-999;0.6;0.7;0.7;-999;-999;0.7;0.6;0.8;-999;0.6;0.7;0.7;0.9;-999;0.6;0.8;0.8;0.8;0.9;0.9;0.8
51347;1.1;1.8;1;-999;-999;1;0.8;1.4;-999;-999;0.9;1.5;-999;-999;-999;0.7;0.6;-999;-999;0.6;0.9;1;-999;0.7;0.7;0.8;1;-999;0.6;0.7;0.8;0.7;-999;1.2;0.9
51348;1.7;1.6;1;-999;-999;1.3;1.2;0.7;-999;-999;0.8;1;0.8;-999;-999;0.6;0.9;0.6;-999;0.6;0.6;0.6;0.6;0.5;0.5;0.8;0.6;-999;0.7;0.7;0.6;0.7;-999;0.9;0.8
51349;1.6;1.3;1.4;0.5;0.8;1.3;1.2;1.1;-999;0.8;1;0.8;0.8;-999;0.7;0.7;0.7;-999;-999;0.6;0.6;0.7;-999;0.6;0.5;0.7;0.8;-999;1;0.6;0.9;1;0.8;1.1;0.9
51351;1.7;1.4;1.2;0.6;0.8;1.2;1.5;-999;-999;0.7;0.8;0.7;-999;-999;0.6;0.8;0.7;-999;-999;0.6;0.8;0.8;-999;0.7;0.6;0.9;0.8;-999;0.8;0.6;0.8;0.6;0.8;1.1;0.9
51352;1;1.6;1.4;-999;-999;0.8;1.1;0.8;-999;-999;0.8;0.8;0.8;-999;-999;0.6;0.9;0.8;-999;0.5;0.6;0.8;0.8;-999;0.8;0.7;0.7;0.8;0.6;0.7;0.7;0.7;0.9;1;0.8
51354;1.4;1.7;1.1;-999;-999;0.8;1.1;1;-999;-999;0.8;1.2;1.1;-999;-999;0.7;0.8;-999;-999;0.5;0.9;0.7;-999;0.5;0.5;0.8;0.8;-999;0.6;0.7;0.7;0.7;-999;0.9;0.9
51359;1.4;1.7;1;-999;-999;0.9;1;1.2;-999;-999;0.9;1.2;1;-999;-999;0.7;0.6;-999;-999;0.5;0.7;0.8;-999;0.5;0.6;0.7;0.9;-999;0.5;0.6;0.8;0.7;-999;1.3;0.9
51361;1.5;1.6;1.1;0.6;-999;1.1;1.1;0.9;-999;-999;0.7;1.1;0.8;-999;0.6;0.7;0.8;0.6;-999;0.6;0.8;0.7;-999;0.6;0.6;0.8;0.8;-999;0.6;0.7;0.7;0.8;0.8;1;0.8
51363;1;1.6;1.6;-999;-999;0.8;1.1;1.1;-999;-999;0.7;0.8;0.6;-999;-999;0.7;0.9;0.7;-999;0.6;0.5;0.8;0.8;-999;0.8;0.6;0.8;0.8;0.5;0.8;0.8;0.8;0.8;0.9;0.9
51364;1.2;1.6;1.2;-999;-999;0.9;1.1;0.8;-999;-999;0.8;0.8;0.9;-999;-999;0.6;0.9;0.8;-999;0.6;0.7;0.7;0.8;0.6;0.8;0.7;0.7;0.7;0.6;0.7;0.8;0.8;-999;0.9;0.8
51377;1.9;1.7;1.2;-999;-999;1;1.2;1;-999;-999;0.8;1;0.9;-999;-999;0.6;0.6;0.6;-999;0.5;0.6;0.7;-999;0.5;0.6;0.6;0.8;-999;0.4;0.7;0.7;0.8;-999;1.2;0.8
51380;1.4;1.4;1.5;0.6;0.9;1;1.2;1.1;-999;0.7;0.9;0.7;-999;-999;0.7;0.8;0.7;-999;-999;0.8;0.9;0.8;-999;0.5;0.9;0.8;0.8;-999;0.8;0.6;0.8;0.7;0.9;1.1;0.9
51384;2.2;1.8;1.3;0.6;-999;0.9;1.3;1;-999;-999;0.6;0.8;0.8;-999;-999;0.6;0.7;-999;-999;0.7;0.6;0.8;-999;0.7;0.6;0.6;0.8;-999;0.5;0.8;0.7;1;-999;1;0.9
51388;1.6;1.4;1.1;0.6;-999;1.4;1.1;1;-999;-999;0.8;0.6;-999;-999;0.5;0.7;0.7;-999;-999;0.6;0.6;0.8;-999;0.8;0.6;0.8;0.9;-999;1;0.6;1;0.8;0.7;1.1;0.9
51389;1.3;1.7;1.1;-999;-999;1.1;1;0.9;-999;-999;0.7;0.9;0.9;-999;-999;0.6;0.9;0.7;-999;0.6;0.7;0.6;0.6;0.5;0.5;0.9;0.7;-999;0.6;0.7;0.7;0.8;-999;0.8;0.8
51392;1;1.5;1.3;-999;-999;1;1.1;0.8;-999;-999;0.8;0.8;0.8;-999;-999;0.6;0.9;0.7;-999;0.6;0.5;0.7;0.7;-999;0.7;0.7;0.7;0.8;0.6;0.8;0.7;0.7;0.8;1.1;0.8
51394;1.9;2;0.9;-999;-999;1;1.3;0.8;-999;-999;0.7;1.1;0.8;-999;-999;0.7;0.8;0.8;-999;0.6;0.6;0.6;0.6;-999;0.5;0.6;0.6;-999;0.5;0.6;0.5;0.7;-999;0.8;0.8
