code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;33.3;32.3;31.9;33.3;-999;29.1;31;29.4;-999;-999;29.3;31.5;-999;-999;-999;30.2;30.1;-999;-999;31.3;27.2;30;-999;32;30.6;31.1;30.9;-999;33.5;24.8;34.5;34.1;-999;32.1;31
51334;30.4;32.2;31.7;-999;-999;26.7;31.7;30.4;-999;-999;29.5;31.6;-999;-999;-999;30.7;30.6;-999;-999;33;27.8;29.8;-999;31.4;28.1;31.3;32.1;-999;33.3;24.3;34;32.9;-999;33.2;30.7
51336;30.9;32.1;31.8;33.6;-999;27;31.7;30.1;-999;-999;29.3;31.6;-999;-999;-999;30.5;30.5;-999;-999;32.9;27.7;29.7;-999;31.6;28.2;31.5;31.8;-999;33.4;24.4;34.2;33.3;-999;33.1;30.9
51337;32.5;32;32.2;33.6;-999;28.3;31.6;29.4;-999;-999;29.1;31.6;-999;-999;-999;30.1;30.1;-999;-999;32.8;27.4;29.7;-999;32.2;28.4;32.2;31.2;-999;33.4;24.5;35.1;34.3;-999;32.7;31.1
51350;32.2;32.1;32.6;33;-999;28.7;30.9;30.4;-999;-999;30.1;31.5;-999;-999;30;30.3;30.4;-999;-999;31.3;26.4;30.3;-999;31.9;30.6;30.4;30.6;-999;33.9;24.6;34.4;33.1;31.4;32.2;30.9
51366;32.2;32.2;33.1;33.3;-999;26.9;31.3;30;-999;-999;29.5;31.5;-999;-999;-999;31;30.3;-999;-999;32.8;26.5;30.4;-999;31.7;29.2;30.7;30.1;-999;33.6;24.1;34.5;33.2;-999;32.6;30.9
51368;32.2;32.2;33.1;33.3;-999;26.9;31.3;30;-999;-999;29.5;31.5;-999;-999;-999;31;30.3;-999;-999;32.8;26.5;30.4;-999;31.7;29.2;30.7;30.1;-999;33.6;24.1;34.5;33.2;-999;32.6;30.9
51369;31.6;32.2;32.6;-999;-999;27.1;31.4;30.2;-999;-999;29.4;31.5;-999;-999;-999;30.9;29.8;-999;-999;32.7;26.7;29.9;-999;31.5;29.4;31;30.4;-999;33;24.6;34.4;33.3;-999;32.6;30.7
51371;32.1;31.9;33.1;33.1;-999;27.9;31.2;30;-999;-999;29.5;31.7;-999;-999;-999;30.6;30.3;-999;-999;30.8;26.3;29.9;-999;31.9;30.1;30.7;30.1;-999;33.6;24.7;34.6;33.1;-999;32.5;30.9
51372;30.6;32.1;31.6;33;-999;26.6;31.2;30.6;-999;-999;29.1;31.1;-999;-999;-999;30.8;28.8;-999;-999;32.6;26.6;29.1;-999;31.4;30.4;31;30.7;-999;32;25.7;34.5;33.7;-999;32.1;30.7
51375;30.9;32.9;32.6;-999;-999;28.9;32;30.6;-999;-999;29.8;32;29.8;-999;-999;31;30.6;-999;-999;32.8;27.9;30;-999;30.7;28.4;32.1;31.6;-999;33.2;24.5;34;32.8;-999;33.5;31
51378;30.6;32;31.5;33;-999;26.6;31.2;30.6;-999;-999;29.1;31.1;-999;-999;-999;30.8;28.7;-999;-999;32.6;26.6;29.1;-999;31.4;30.4;31;30.7;-999;32;25.7;34.5;33.7;-999;32.1;30.7
51382;30.8;32.1;31.8;-999;-999;27;31.3;30.5;-999;-999;29.2;31.2;-999;-999;-999;30.8;28.7;-999;-999;32.5;26.7;29;-999;31.3;30.2;31.2;30.6;-999;32;25.7;34.5;33.7;-999;32.2;30.6
51385;32;34.3;33.9;-999;-999;30.9;31.8;30.4;-999;-999;29;31.8;30.4;-999;-999;30.2;28.7;30.7;-999;32.1;27.5;28.8;-999;30.4;29.5;32.5;30.5;-999;32.6;22.4;34.2;32.7;-999;33.2;30.8
51386;32.3;31.9;32.1;33.6;-999;27.9;31.5;29.6;-999;-999;29.1;31.5;-999;-999;-999;30.2;29.9;-999;-999;32.8;27.3;29.6;-999;32.1;28.7;32;31.1;-999;33.2;24.7;35;34.3;-999;32.5;31
51391;31.6;35.5;33.4;-999;-999;30.9;31.8;30.5;-999;-999;28.5;31.7;30.5;-999;-999;30.2;28.6;30.4;-999;32.2;27.8;29.8;-999;-999;30.6;32.6;31;-999;32.3;19.3;34.3;33.2;-999;33;30.9
51393;33.1;32.7;33.6;-999;-999;29.7;32.3;29.9;-999;-999;29.6;32.1;30.5;-999;-999;30.5;28.6;-999;-999;32.3;27.8;28.6;-999;30.4;28.3;32.6;30.3;-999;32.8;25.5;34.1;33.2;-999;33.4;30.9
51395;31.1;33.5;32.7;-999;-999;29.8;32.3;30.5;-999;-999;29.6;32.1;30.1;-999;-999;30.8;29.9;30.2;-999;32.6;28.3;29.8;-999;30.3;28.6;32.7;31.7;-999;32.8;23.6;33.9;33;-999;33.7;31
51396;30.3;33.1;32.4;-999;-999;29.7;32.4;30.8;-999;-999;30;32.2;29.8;-999;-999;30.9;30.7;-999;-999;32.8;28.5;29.8;-999;30.3;28;32.7;32.2;-999;33;24.6;33.8;32.7;-999;33.9;31.1
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;30.3;33.1;32.4;-999;-999;29.7;32.4;30.8;-999;-999;30;32.2;29.8;-999;-999;30.9;30.7;-999;-999;32.8;28.5;29.8;-999;30.3;28;32.7;32.2;-999;33;24.6;33.8;32.7;-999;33.9;31.1
68769;33.2;32.6;33.6;-999;-999;29.7;32.3;29.9;-999;-999;29.7;32.1;30.5;-999;-999;30.5;28.6;-999;-999;32.3;27.8;28.6;-999;30.4;28.2;32.6;30.3;-999;32.8;25.6;34.1;33.2;-999;33.4;31
