code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;26.6;24.5;24.2;26.3;-999;23;23.4;23.7;-999;-999;23.6;25;-999;-999;-999;23.9;25.1;-999;-999;26.7;21.5;25.7;-999;27.6;26.5;24.3;25.2;-999;27.7;19.3;28;26.9;-999;26.6;25
51334;25.9;24.8;24.4;-999;-999;23.9;23.2;24.7;-999;-999;23;24.2;-999;-999;-999;24.4;25;-999;-999;27.1;22.6;25.8;-999;27.2;23.9;24.9;24.8;-999;27.5;19;27.2;27.3;-999;27.1;24.9
51336;26;24.8;24.4;25.9;-999;23.8;23.5;24.5;-999;-999;23;24.4;-999;-999;-999;24.3;24.9;-999;-999;27.3;22.4;25.9;-999;27.5;24;24.9;24.9;-999;27.7;19;27.5;27.2;-999;27.1;25
51337;26.5;24.9;24.6;25.9;-999;23.5;24.2;23.7;-999;-999;23.1;25.1;-999;-999;-999;24.2;24.5;-999;-999;27.9;22;26;-999;28.1;24.3;25.1;25.3;-999;28.4;18.9;28.3;27;-999;27.1;25.2
51350;26.6;23.8;25;26.9;-999;23;22.6;24.7;-999;-999;23.9;24.9;-999;-999;25.8;24.3;25.2;-999;-999;26.1;21.2;25.3;-999;27;26.8;23.7;25.2;-999;27.6;19.7;27.6;27.1;27.4;26.9;25.1
51366;26.3;24.4;25.7;26;-999;23.1;22.8;24.1;-999;-999;23.1;25;-999;-999;-999;24.8;25.2;-999;-999;28;21.7;25.4;-999;27.1;25.4;24.1;25.2;-999;27.5;18.7;27.4;26.7;-999;27.1;25
51368;26.3;24.4;25.7;26;-999;23.1;22.8;24.1;-999;-999;23.1;25;-999;-999;-999;24.8;25.2;-999;-999;28;21.7;25.4;-999;27.1;25.4;24.1;25.2;-999;27.5;18.7;27.4;26.7;-999;27.1;25
51369;26;24.5;25.1;-999;-999;23.2;23.1;24.3;-999;-999;23.2;24.9;-999;-999;-999;24.7;24.9;-999;-999;27.6;21.9;25.5;-999;27.4;25.4;24.5;25.1;-999;27.2;18.9;27.5;26.4;-999;27;24.9
51371;26.3;24;25.5;26.3;-999;22.9;23;24.1;-999;-999;23.5;25.2;-999;-999;-999;24.4;25;-999;-999;25.8;21.1;25.4;-999;27.1;26.2;24.1;25.2;-999;27.6;19;27.7;26.7;-999;27;24.9
51372;25.5;24;24;25.5;-999;23.2;23.5;24.4;-999;-999;23.2;24.8;-999;-999;-999;24.4;24.5;-999;-999;26.8;21.7;25.9;-999;27.9;26;24.7;24.8;-999;26.3;19.2;27.8;25.8;-999;26.4;24.8
51375;25.8;25.8;25.3;-999;-999;23.8;23.5;25;-999;-999;23.6;24.6;24.9;-999;-999;24.6;25;-999;-999;27.7;23;25.4;-999;27.3;24.2;25.6;25.2;-999;27.7;19;27.1;26.8;-999;28.1;25.2
51378;25.5;24;24;25.4;-999;23.2;23.5;24.4;-999;-999;23.2;24.8;-999;-999;-999;24.4;24.5;-999;-999;26.8;21.7;25.9;-999;27.9;26;24.7;24.8;-999;26.2;19.2;27.8;25.8;-999;26.4;24.8
51382;25.6;24.3;24.1;-999;-999;23.2;23.5;24.4;-999;-999;23.3;24.8;-999;-999;-999;24.4;24.3;-999;-999;26.9;21.8;25.8;-999;27.9;25.7;24.9;24.9;-999;26.4;19.2;27.7;25.8;-999;26.6;24.8
51385;25.8;28.3;25.8;-999;-999;24.4;23.7;24.2;-999;-999;23.6;24.5;25.1;-999;-999;24;22.9;25.2;-999;27.8;23.3;24.3;-999;27.9;24.1;26.1;25.3;-999;28.2;15.7;27.4;26.2;-999;28.5;25.1
51386;26.4;24.7;24.5;25.9;-999;23.5;24.1;23.8;-999;-999;23.1;25;-999;-999;-999;24.2;24.5;-999;-999;27.7;21.9;26;-999;28.1;24.6;25;25.2;-999;28.1;19;28.3;26.8;-999;26.9;25.1
51391;25.7;29.5;25.9;-999;-999;25.1;23.7;24.4;-999;-999;23.6;24.1;25.4;-999;-999;23.6;22.4;25.3;-999;28.2;23.2;24.5;-999;-999;25.5;26;25.2;-999;27.8;12.9;27.5;26.2;-999;28.8;25
51393;26.5;26.4;24.8;-999;-999;23.5;23.7;24.3;-999;-999;23.9;24.9;25.1;-999;-999;24.5;23.4;-999;-999;27.6;23.4;24.9;-999;27.9;22.8;26.5;25.6;-999;28.3;18.8;27.1;26.1;-999;27.9;25.1
51395;25.8;27;25.1;-999;-999;24.2;23.7;25.1;-999;-999;23.8;24.4;25.1;-999;-999;24.4;24.1;25.4;-999;27.8;23.5;25.3;-999;27.4;24;26.3;25.2;-999;27.7;17.8;27;26.6;-999;28.5;25.2
51396;25.6;26.4;25.1;-999;-999;24.2;23.8;25.4;-999;-999;23.8;24.4;24.9;-999;-999;24.5;24.9;-999;-999;27.6;23.6;25.4;-999;27.4;23.7;26.2;25.1;-999;27.7;19.1;26.9;26.8;-999;28.6;25.3
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;25.6;26.4;25.1;-999;-999;24.2;23.8;25.4;-999;-999;23.8;24.4;24.9;-999;-999;24.5;25;-999;-999;27.6;23.6;25.4;-999;27.4;23.7;26.2;25.1;-999;27.7;19.1;26.9;26.8;-999;28.6;25.3
68769;26.6;26.3;24.8;-999;-999;23.4;23.7;24.3;-999;-999;24;24.9;25.1;-999;-999;24.5;23.4;-999;-999;27.6;23.4;24.9;-999;27.9;22.7;26.5;25.7;-999;28.3;18.9;27.1;26.1;-999;27.9;25.1
