code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;823.1;759;750.6;816.5;-999;713.4;725.7;733.4;-999;-999;730.6;775.6;-999;-999;-999;740.8;777.7;-999;-999;826.3;665.6;796.9;-999;856.8;821.6;754.8;781.8;-999;858.9;599;868.6;832.9;-999;825.2;775.4
51334;801.7;768.5;755.3;-999;-999;741.8;719.5;766.9;-999;-999;712.8;749.1;-999;-999;-999;755.4;773.7;-999;-999;840.4;701.3;799.4;-999;842.9;742.2;772.4;769.6;-999;851.9;588.8;843.1;845.5;-999;841.1;772
51336;807.1;768.4;756.5;803;-999;738.2;727.4;758.1;-999;-999;712.9;756.4;-999;-999;-999;753.6;770.9;-999;-999;846.7;695.9;801.4;-999;851;745.4;772.8;773.3;-999;859.4;588.1;852.6;843.7;-999;839;774.9
51337;820.3;773;762.2;803;-999;729.9;749.8;734.8;-999;-999;716;777.6;-999;-999;-999;749.3;761;-999;-999;865.4;682.5;804.9;-999;872.2;752.8;777.7;785.1;-999;880.5;584.4;878.1;837.6;-999;805.7;778.4
51350;825;739;774.4;834.3;-999;713.6;700.2;766.9;-999;-999;739.9;771.1;-999;-999;798.3;751.8;782.4;-999;-999;808.7;655.8;783.8;-999;838.2;830.9;733.3;780.3;-999;855.3;609.2;854.7;839;850.1;833.3;778.8
51366;816.3;755.2;797.4;806.8;-999;714.6;705.9;748.3;-999;-999;715.3;775.2;-999;-999;-999;769.8;780.3;-999;-999;866.8;671.5;788.4;-999;841;788.2;747.1;781.9;-999;853.1;579;850.3;827.9;-999;840.6;774.8
51368;816.3;755.2;797.4;806.8;-999;714.6;705.9;748.3;-999;-999;715.3;775.2;-999;-999;-999;769.8;780.3;-999;-999;866.8;671.5;788.4;-999;841;788.2;747.1;781.9;-999;853.1;579;850.3;827.9;-999;840.6;774.8
51369;807.3;758.8;779.5;-999;-999;718.9;715.4;753.1;-999;-999;719;772.3;-999;-999;-999;764.7;771.5;-999;-999;855;677.5;791.9;-999;849.5;786.7;759.5;778.4;-999;842.6;585.4;852.2;819.3;-999;819.3;771.7
51371;815.4;742.7;790.1;814.6;-999;709.9;712.6;748.3;-999;-999;728.2;781.6;-999;-999;-999;755.6;775.4;-999;-999;799.1;654.5;788.5;-999;841.4;813.4;746;780.7;-999;854.1;589.9;859.1;826.8;-999;836.5;772.4
51372;790.9;745.3;745;789.1;-999;719.6;727.5;755.1;-999;-999;719.6;769.9;-999;-999;-999;756;758.6;-999;-999;831.1;671.4;801.9;-999;865.2;805.5;764.6;769.3;-999;813.9;596;861.9;800.4;-999;819.6;768.6
51375;799.7;799.7;784.4;-999;-999;738.9;727.4;775.5;-999;-999;730.2;762.6;772.8;-999;-999;763.5;775.5;-999;-999;859;714.1;787.9;-999;846.3;750;793.6;780;-999;857.2;589;838.6;829.9;-999;744.1;774.8
51378;790.4;745;743.8;788.7;-999;719.7;728;755.3;-999;-999;719.7;769.7;-999;-999;-999;755.7;758.1;-999;-999;830.3;671.4;802.2;-999;865.7;805.9;765;769;-999;813;596.4;862.1;799.7;-999;819.1;768.4
51382;793.8;752.4;746.3;-999;-999;720.3;728.5;754.9;-999;-999;722.1;770;-999;-999;-999;756.2;754.6;-999;-999;832.9;676.9;799.2;-999;865.6;795.3;770.9;771.8;-999;819.5;595.5;859.7;800.8;-999;804.9;767.8
51385;800.9;576.7;799.2;-999;-999;756.8;733.4;751.5;-999;-999;733;759.2;777.3;-999;-999;744.4;709.8;780.1;-999;862.1;722.7;754.6;-999;864.6;746.5;809.8;785.7;-999;872.8;486.1;848.5;810.9;-999;748.8;759.8
51386;817;766.6;758;803;-999;727.1;746.2;737.5;-999;-999;715.4;775.9;-999;-999;-999;750;761;-999;-999;859.3;680.4;805.3;-999;872.1;761.2;774.3;782.1;-999;869.9;587.5;875.8;831.7;-999;821.5;777.3
51391;796.3;492.7;803.6;-999;-999;777.3;734.9;757.6;-999;-999;730.9;746.8;788.5;-999;-999;732;693.6;783.5;-999;875.3;720.2;758.8;-999;-999;790.5;806.5;780;-999;860.4;399.4;852.3;812.1;-999;847.3;753.9
51393;822.4;804.4;769.5;-999;-999;727.4;733.3;751.8;-999;-999;742.1;771.4;777;-999;-999;759.6;724.6;-999;-999;856.3;724;772.1;-999;864.4;705.7;821.2;795;-999;876.2;582.3;839.5;810.1;-999;685.9;770.3
51395;800.8;770.3;778.5;-999;-999;750.7;736;776.6;-999;-999;737.4;757;778.8;-999;-999;754.9;748.6;786.8;-999;861.3;728.2;782.8;-999;848.5;742.6;814.5;782.3;-999;860.2;550.8;837.7;823.6;-999;738.3;772.8
51396;792.8;818.7;778.9;-999;-999;749.2;737;786.8;-999;-999;736.6;757.4;772.6;-999;-999;760.8;773.4;-999;-999;855.8;732;787.7;-999;848.8;733.8;813.4;779.3;-999;859.3;593.2;834.1;830.6;-999;705;775.5
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;792.6;818.7;778.9;-999;-999;749.3;736.6;787.2;-999;-999;736.6;757.2;772.8;-999;-999;760.9;773.5;-999;-999;855.6;732.2;787.6;-999;848.5;733.7;813.4;779.1;-999;859;593.3;833.7;830.7;-999;703;775.4
68769;823.4;816.2;768.1;-999;-999;726;733.3;752;-999;-999;742.6;771.9;777;-999;-999;760.4;725.6;-999;-999;856;724.1;773.1;-999;864.4;703.7;821.8;795.4;-999;876.3;587.3;839;810.2;-999;682.7;770.9
