code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;1.3;1.3;1.4;0.6;-999;0.9;1.2;1.2;-999;-999;0.7;0.9;-999;-999;0.5;0.7;0.7;-999;-999;0.8;0.7;0.8;-999;0.6;0.9;0.8;0.9;-999;0.7;0.8;0.8;0.7;1.1;0.9;0.9
51334;1.1;1.8;1;-999;-999;1;0.8;1.4;-999;-999;0.9;1.5;-999;-999;-999;0.7;0.6;-999;-999;0.6;0.9;1;-999;0.7;0.7;0.8;1;-999;0.6;0.7;0.8;0.7;-999;1.2;0.9
51336;1.2;1.9;1;0.6;-999;0.9;0.8;1.3;-999;-999;0.8;1.3;-999;-999;-999;0.7;0.7;-999;-999;0.6;0.8;0.9;-999;0.7;0.7;0.7;1;-999;0.5;0.7;0.8;0.7;-999;1.2;0.9
51337;1.4;2.1;1.2;0.6;-999;0.9;0.9;1.1;-999;-999;0.5;0.8;0.7;-999;-999;0.5;0.8;-999;-999;0.6;0.6;0.8;-999;0.6;0.7;0.6;0.9;-999;0.5;0.9;0.9;0.8;-999;1;0.8
51350;1.4;1.2;1.2;0.6;-999;1.1;1.6;1.4;-999;-999;0.9;1.1;-999;-999;0.6;0.8;0.8;-999;-999;0.7;0.8;0.8;-999;0.7;0.7;1;0.9;-999;0.6;0.7;0.8;0.6;0.9;0.9;0.9
51366;1.3;1;1.3;0.6;-999;1.1;1.9;0.9;-999;-999;0.8;1;-999;-999;-999;0.8;0.8;-999;-999;0.7;0.7;0.8;-999;0.6;0.8;1;0.8;-999;0.7;0.6;0.8;0.5;-999;0.8;0.9
51368;1.3;1;1.3;0.6;-999;1.1;1.9;0.9;-999;-999;0.8;1;-999;-999;-999;0.8;0.8;-999;-999;0.7;0.7;0.8;-999;0.6;0.8;1;0.8;-999;0.7;0.6;0.8;0.5;-999;0.8;0.9
51369;1.3;1.2;1.4;0.6;-999;1.1;1.6;1;-999;-999;0.9;0.9;0.8;-999;-999;0.7;0.8;-999;-999;0.7;0.7;0.8;-999;0.5;0.7;0.9;0.8;-999;0.8;0.6;0.8;0.7;-999;0.9;0.9
51371;1.4;1.3;1.2;0.6;-999;1.1;1.8;0.9;-999;-999;0.8;0.9;-999;-999;0.7;0.7;0.8;-999;-999;0.7;0.8;0.8;-999;0.6;0.7;0.9;0.7;-999;0.7;0.6;0.8;0.5;0.7;1;0.9
51372;1.2;1.2;1.6;0.6;-999;1.2;1.1;1;-999;-999;1.1;0.8;-999;-999;-999;0.6;0.7;-999;-999;0.7;0.6;0.8;-999;0.4;0.6;0.6;0.7;-999;1.3;0.5;1;1.2;-999;0.8;0.9
51375;1.1;1.6;1.1;0.6;-999;1;1.1;1.2;-999;-999;0.9;1.4;0.7;-999;-999;0.7;0.7;-999;-999;0.6;0.8;0.9;-999;0.6;0.7;0.8;0.9;-999;0.6;0.6;0.8;0.7;-999;1.2;0.9
51378;1.2;1.2;1.7;0.6;-999;1.2;1.1;1;-999;-999;1.1;0.8;-999;-999;-999;0.6;0.7;-999;-999;0.7;0.6;0.8;-999;0.4;0.5;0.6;0.7;-999;1.3;0.5;1;1.2;-999;0.8;0.9
51382;1.2;1.3;1.6;0.6;-999;1.2;1.1;1;-999;-999;1.1;0.8;1;-999;-999;0.6;0.6;-999;-999;0.7;0.6;0.8;-999;0.4;0.5;0.6;0.7;-999;1.2;0.5;1;1.1;-999;0.9;0.9
51385;1.8;1.9;1;-999;-999;0.9;1.2;0.9;-999;-999;0.7;1.1;0.9;-999;-999;0.7;0.6;0.8;-999;0.5;0.6;0.6;-999;0.3;0.6;0.5;0.7;-999;0.4;0.6;0.7;0.7;-999;1.2;0.8
51386;1.3;2;1.2;0.6;-999;0.9;0.9;1.1;-999;-999;0.6;0.8;0.9;-999;-999;0.5;0.8;-999;-999;0.6;0.6;0.8;-999;0.6;0.6;0.6;0.9;-999;0.6;0.8;0.9;0.9;-999;1;0.9
