code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;23.9;24.1;24.4;24.1;24.1;24;24;24.5;24.4;24.5;24.5;24.1;23.8;24.5;24.4;24.3;24.5;25.9;24;24.5;24.5;24.3;23.8;24.5;24.4;24.3;24.4;25.9;24.1;24.5;24.3;24.2;24.7;24.3;24.4
51340;29.7;29.3;29.5;29.9;29.3;29.6;29.5;30;29.8;29.8;30;29.5;29.3;29.4;29.4;29.6;29.6;30.3;29.9;29.8;30;29.6;29.3;29.4;29.4;29.6;29.5;30.3;30;29.8;29.9;30.6;30.7;30.4;29.8
51341;29.2;28.8;29;29.3;28.6;29;28.8;29.3;29.1;29.1;29.2;29.1;29;28.8;29;29.1;29.1;29.6;29.4;29.1;29.2;29.1;28.9;28.8;29;29.2;29;29.6;29.4;29.1;29.3;30;30.2;30;29.2
51342;29.5;29.4;29;29.7;29.2;29.4;29.4;30.2;29.9;29.8;30;29.3;29.1;29.3;29.3;29.3;29.5;30.2;29.8;29.7;30;29.4;29.1;29.3;29.3;29.4;29.4;30.2;29.8;29.8;30;30.8;30.8;30.4;29.7
51344;28.5;28.1;28.5;28.6;27.9;28.2;28.2;28.5;28.6;28.5;28.7;28.4;28.2;28.1;28.2;28.4;28.3;29;28.8;28.5;28.7;28.4;28.2;28.1;28.3;28.4;28.3;29;28.8;28.5;28.7;29.4;29.5;29.3;28.5
51345;28.3;27.9;28.5;28.4;27.9;28.2;28;28.6;28.2;28.4;28.5;28.2;28.1;28.1;28.2;28.5;28.2;28.9;28.5;28.5;28.5;28.3;28;28.1;28.3;28.5;28.2;28.9;28.6;28.5;28.3;29;29.2;29.1;28.4
51346;30.6;30.5;30.1;30.8;30.5;30.6;30.5;31.3;30.9;31;31;30.4;30.3;30.4;30.5;30.6;30.7;31.5;30.8;31;31;30.5;30.3;30.4;30.6;30.6;30.6;31.5;30.9;31;31;31.6;31.6;31.2;30.8
51347;25;25.2;25.4;25.2;25.2;25.1;25;25.7;25.4;25.6;25.5;25.1;25;25.4;25.3;25.4;25.6;26.8;25;25.7;25.5;25.2;24.9;25.4;25.4;25.3;25.5;26.8;25.1;25.7;25.4;25.4;25.8;25.4;25.4
51348;30;30.2;29.7;30;30.1;29.7;29.6;30.7;30.2;30.5;30.3;29.7;29.9;29.9;30.1;30.2;30.2;31.2;30;30.5;30.3;29.8;29.9;29.9;30.2;30.2;30.2;31.2;30.1;30.5;30.5;30.5;30.8;30.2;30.2
51349;29.1;29;29.1;29.2;29;29.1;28.9;29.7;29.2;29.5;29.4;28.9;28.9;29.1;29.1;29.3;29.3;30.2;29.1;29.5;29.4;29.1;28.8;29.1;29.2;29.3;29.3;30.2;29.2;29.5;29.3;29.7;30;29.5;29.3
51351;27.5;27.3;27.8;27.6;27.4;27.5;27.4;28.1;27.6;27.8;27.7;27.5;27.3;27.6;27.6;27.8;27.7;28.6;27.5;27.9;27.8;27.7;27.2;27.6;27.7;27.8;27.7;28.6;27.6;27.9;27.6;28;28.4;28.1;27.7
51352;29.7;29.9;29.8;29.7;29.7;29.4;29.4;30.3;29.8;30.1;30.1;29.7;29.8;29.8;30;30;29.8;30.8;29.9;30.3;30;29.8;29.8;29.8;30;30;29.8;30.8;30;30.3;30.4;29.8;30.6;30.1;30
51354;26.1;26.3;26.3;26.2;26.3;26;25.9;26.7;26.5;26.7;26.5;26;26.1;26.3;26.4;26.4;26.5;27.8;26.1;26.7;26.5;26.1;26;26.3;26.5;26.4;26.5;27.8;26.2;26.7;26.5;26.4;26.8;26.2;26.4
51359;27.3;27.5;27.4;27.4;27.5;27.4;27.2;28;27.7;27.9;27.7;27.2;27.2;27.5;27.6;27.6;27.8;28.9;27.3;27.9;27.7;27.3;27.2;27.5;27.7;27.6;27.7;28.9;27.4;27.9;27.7;27.8;28.1;27.6;27.6
