code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;18;17.5;17.6;17.5;17.8;17.7;17.7;18.7;17.3;17.5;17.6;17.2;17.5;17.5;17.8;17.8;17.9;18.5;17.5;18;17.8;18.3;17.6;17.8;18.6;17.8;18;17.9;18.6;19;17.9;18.2;18.1;18;17.9
51340;25.1;24.8;25;25.2;24.8;25.1;25.1;25.6;25.2;25.3;25.4;24.6;25.1;24.8;25.3;25.2;25.1;25.9;25.6;25.1;24.8;25.6;25.1;25.7;25.9;25.4;25.3;25.6;25.7;25.9;25.2;26.2;25.9;25.7;25.3
51341;24.4;24.2;24.3;24.6;24.2;24.4;24.5;25;24.5;24.5;24.6;24.1;24.6;24.1;24.7;24.6;24.5;25.2;24.9;24.5;24.3;25;24.6;25.1;25.2;24.9;24.6;25.1;25;25.2;24.6;25.4;25.3;25.1;24.7
51342;26.2;25.8;26;26.1;25.8;25.9;26;26.5;26.2;26.2;26.3;25.6;26;25.7;26.1;26.1;26;26.8;26.4;26;25.7;26.4;25.9;26.5;26.6;26.3;26.2;26.5;26.7;26.7;26.2;27.2;26.9;26.7;26.2
51344;24.8;24.6;24.9;25;24.6;24.9;24.9;25.3;25;25;25.2;24.5;25;24.5;25.1;25;24.8;25.6;25.5;24.9;24.7;25.4;25.1;25.5;25.7;25.3;25.2;25.6;25.5;25.7;25.1;26;25.7;25.5;25.2
51345;23.1;22.7;23;23.2;22.9;23.1;23.2;23.6;23.1;23.2;23.2;22.7;23.1;22.8;23.4;23.2;23.2;23.9;23.4;23.2;22.9;23.6;23.2;23.7;24;23.5;23.2;23.6;23.8;23.9;23.1;24.1;23.9;23.7;23.3
51346;26;25.6;25.6;25.9;25.6;25.7;25.8;26.4;25.7;25.9;25.9;25.3;25.7;25.4;25.9;25.8;25.8;26.6;26;25.9;25.5;26.3;25.7;26.2;26.5;26;25.9;26.2;26.6;26.6;26;26.8;26.5;26.3;26
51347;19.6;19.1;19.3;19.1;19.4;19.3;19.2;20.3;18.9;19.1;19.2;18.8;19.1;19;19.4;19.4;19.5;20.1;19.1;19.6;19.4;20;19.1;19.4;20.2;19.4;19.5;19.5;20.3;20.5;19.6;19.9;19.7;19.6;19.5
51348;25.6;25;25.1;25;25.1;24.9;24.8;25.8;24.8;24.9;25;24.6;24.9;24.7;25.1;25.1;25.1;25.8;24.8;25.2;25;25.6;25.1;25.2;25.6;25.2;25.3;25.4;26;26;25.6;25.7;25.5;25.4;25.2
51349;23.9;23.4;23.5;23.6;23.6;23.6;23.6;24.4;23.4;23.6;23.6;23.1;23.5;23.3;23.8;23.7;23.8;24.4;23.7;23.8;23.5;24.3;23.5;24;24.5;23.8;23.7;24;24.5;24.5;23.8;24.5;24.2;24.1;23.8
51351;21.7;21.1;21.4;21.5;21.3;21.4;21.6;22.2;21.2;21.4;21.4;21;21.4;21.2;21.7;21.6;21.7;22.3;21.5;21.7;21.3;22.1;21.4;21.9;22.4;21.8;21.5;21.7;22.3;22.3;21.5;22.3;22.1;22;21.7
