code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;540.6;524.9;529.4;523.9;533.2;532.2;531.7;561;519.5;524.6;528.3;515.7;524;526.4;532.7;533.3;536.4;556.4;525.5;539.5;534.4;548.3;528.5;533.7;557.6;534.9;538.8;535.6;558.1;570.8;538.3;547;542.7;540.2;536.7
51340;752.7;744.3;751.2;756;745.1;752.2;753.9;766.7;755.1;759.4;762.3;739.3;753.3;742.7;757.8;755.1;753;776.9;767.1;752.9;745.1;768.6;753.8;770.7;777;762;758.5;769.3;771.9;776.3;756.6;785.9;776.9;770.7;760
51341;732.2;724.7;729;736.7;725.9;733.3;734.1;748.9;736;734.8;736.7;722.5;737.4;721.7;741.2;738.3;733.6;754.8;747.3;734.3;728.5;749.3;739.2;751.6;757;746;739.4;752.2;751.2;757;736.8;761.7;758.1;753.6;740.7
51342;784.8;775.1;780.3;784.5;773.8;777.8;779;794.5;784.8;787.2;789.6;769.4;778.7;770.8;782;781.5;778.6;802.7;791.6;780.7;770.7;793.4;776.9;795.5;798.9;788.9;784.6;794.5;800.6;800.5;786.9;815.7;805.6;802.1;787.1
51344;742.8;739.1;748.4;748.9;737.3;746.5;748.1;759.3;750.9;751.4;757;734.3;748.7;736;754;750.6;743.2;768.8;764;747.4;740.7;761.6;752.9;766.3;771.2;758.8;756.4;767.5;763.7;772;752.2;779.9;771.7;765.2;754.6
51345;693.7;682.3;688.7;695.8;686.1;691.5;696;709.5;691.6;696.3;697.3;679.6;693.6;682.5;703.2;697.1;695.8;716.4;703.4;695.5;687;709.4;695.5;711;720.3;705.8;695.7;706.8;714.6;715.6;694.1;722.5;715.5;711;700
51346;778.9;768;768;776;769.3;770.7;772.8;791.2;771;778.2;777.5;759.6;770.9;761.4;777.1;774.1;775.5;796.7;780.8;775.9;765.2;789.8;769.9;787.4;794.1;778.7;776;786.2;796.9;796.6;779;804.6;793.8;789.8;779.5
51347;588.9;574;577.7;573.4;581.6;579.9;577.5;608.7;566.5;573.4;576.6;562.7;572.8;571.5;580.6;580.9;585.9;603.3;572.8;587.2;580.9;599.3;574.3;583.2;605.8;581.1;584.8;585.2;608.3;616;586.8;597.1;590.8;587.7;584.6
51348;768.4;750.5;754.1;748.9;754;746;745.2;774.1;742.6;747.6;750.6;738.8;746;739.9;753;752.7;753.3;773.7;743.7;757.5;750.9;767.6;752.3;756.5;768.1;755.7;758;762.7;779.6;781.4;766.7;771.9;765.5;761.6;757
51349;716.6;702.6;705.1;709.5;707.2;707.8;709.1;731.6;701.7;709.2;708.5;694.2;705.8;698.2;714;711.5;715.4;732.8;710.4;714.8;703.9;728.4;704.8;721.1;734.6;714.2;711.1;718.8;736.1;736.4;713.7;734.8;726.4;722.9;715.1
51351;650.4;633.5;640.7;644.7;640.2;642.8;646.7;665.3;637.3;642.4;641.1;629.6;640.9;634.9;651.1;648.7;651.9;668;645.2;650.2;638.4;662.3;640.8;657.7;672.8;652.8;644.8;651.9;670.2;670.1;645.3;668.1;662.6;659.7;650.1
51352;765.3;743.4;757.9;741;746.1;740.6;740.5;768.7;738.5;743.4;748.2;740.1;740.2;735.3;748;750.3;748.1;770;739.2;750.7;749.8;758.7;754.1;747.3;756.5;754.2;755.9;749.2;773.1;772.3;762.7;756.5;763.3;760.4;752
51354;635.8;618.9;622.5;616.5;625.6;621.7;618.3;651.1;610.5;617.5;621.1;606.5;616.3;613.4;623.9;624.2;626.3;645.6;615.1;630;625.5;640;619.7;625.5;644.3;624.4;629.7;630.5;651.3;658.3;633.4;639.5;633.5;629.9;627.8
