code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;24.8;24.9;25.5;25.1;24.9;24.9;25.1;25.3;25.3;25.3;25.4;25.3;24.7;25.5;25.3;25.3;25.4;26.7;25;25.4;25.5;25.4;24.6;25.5;25.4;25.2;25.3;26.7;25.1;25.4;25.2;25.1;25.7;25.4;25.3
51334;25;25.2;25.4;25.2;25.2;25.1;25;25.7;25.4;25.6;25.5;25.1;25;25.4;25.3;25.4;25.6;26.8;25;25.7;25.5;25.2;24.9;25.4;25.4;25.3;25.5;26.8;25.1;25.7;25.4;25.4;25.8;25.4;25.4
51336;24.2;24.4;24.7;24.4;24.4;24.2;24.3;24.8;24.7;24.8;24.7;24.3;24.1;24.7;24.6;24.5;24.7;26.1;24.2;24.8;24.8;24.5;24;24.7;24.7;24.5;24.7;26.1;24.3;24.8;24.5;24.5;25;24.6;24.6
51337;22;22.3;22.7;22.3;22.2;22;22.3;22.4;22.7;22.6;22.8;22.5;21.9;22.9;22.6;22.4;22.5;24.2;22.2;22.6;22.8;22.6;21.8;22.9;22.7;22.4;22.5;24.2;22.3;22.6;22.4;22.1;22.8;22.5;22.6
51350;26;26;26.5;26.2;26.1;26.1;26;26.7;26.3;26.5;26.4;26.1;25.9;26.4;26.3;26.4;26.5;27.6;26;26.6;26.5;26.3;25.8;26.4;26.4;26.4;26.4;27.6;26.1;26.6;26.3;26.4;26.9;26.5;26.4
51366;26.8;26.8;27.4;27.3;26.6;26.9;27.6;27.3;27.3;27;27.3;27.3;26.8;27.8;27.8;27.2;26.9;29.8;27.5;26.9;27.3;27.4;26.8;27.8;27.8;27.1;26.9;29.8;27.5;26.9;27.1;26.2;27;27;27.3
51368;26.8;26.8;27.4;27.3;26.6;26.9;27.6;27.3;27.3;27;27.3;27.3;26.8;27.8;27.8;27.2;26.9;29.8;27.5;26.9;27.3;27.4;26.8;27.8;27.8;27.1;26.9;29.8;27.5;26.9;27.1;26.2;27;27;27.3
51369;25.7;25.7;26.3;26.2;25.5;25.7;26.4;26.2;26.2;25.9;26.3;26.2;25.6;26.7;26.6;26.1;25.8;28.6;26.3;25.9;26.3;26.3;25.6;26.7;26.6;26;25.8;28.6;26.3;25.8;26;25.2;26;25.9;26.2
51371;27;26.9;27.6;27.5;26.7;27.1;27.8;27.6;27.4;27.2;27.5;27.5;27;28;27.9;27.4;27.1;29.9;27.7;27.1;27.5;27.7;27;28;28;27.3;27.1;29.9;27.7;27.1;27.3;26.5;27.3;27.2;27.5
51372;23.3;23.4;24;23.7;23.2;23.2;23.9;23.7;23.9;23.6;24;23.8;23.2;24.3;24.1;23.7;23.6;25.9;23.7;23.6;24;24;23.1;24.3;24.1;23.6;23.6;25.9;23.8;23.6;23.6;23;23.8;23.7;23.8
51375;26.9;26.9;27.4;27.3;26.7;26.8;27.4;27.3;27.3;27.1;27.3;27.3;26.8;27.7;27.7;27.1;26.8;29.9;27.5;26.9;27.3;27.4;26.7;27.7;27.7;27.1;26.8;29.9;27.6;26.9;27.1;26.2;27;27.1;27.3
51378;23.2;23.3;23.9;23.6;23.2;23.2;23.8;23.6;23.8;23.6;23.9;23.8;23.1;24.2;24;23.6;23.5;25.8;23.6;23.6;23.9;23.9;23;24.2;24.1;23.5;23.5;25.8;23.7;23.5;23.6;23;23.7;23.6;23.7
51382;23.3;23.5;24;23.8;23.3;23.3;23.9;23.7;24;23.7;24.1;23.9;23.2;24.3;24.2;23.7;23.6;26;23.8;23.7;24.1;24;23.2;24.3;24.2;23.7;23.6;26;23.8;23.7;23.7;23.1;23.9;23.7;23.9
51385;26.2;26.4;26.7;26.5;26.2;26;26.2;26.6;26.6;26.6;26.7;26.4;26.1;26.8;26.9;26.4;26.2;28.7;26.7;26.5;26.8;26.5;26;26.8;26.9;26.4;26.2;28.7;26.7;26.5;26.5;25.8;26.5;26.5;26.6
51386;22.1;22.4;22.8;22.5;22.2;22.1;22.5;22.5;22.8;22.7;22.9;22.6;22;23;22.8;22.5;22.6;24.4;22.4;22.7;22.9;22.8;21.9;23;22.9;22.5;22.6;24.4;22.4;22.7;22.5;22.2;22.9;22.6;22.7
51391;27.5;27.6;27.9;27.7;27.3;27.3;27.4;27.9;27.8;27.7;27.9;27.7;27.4;28;28.1;27.6;27.3;30;28;27.7;27.9;27.7;27.4;28;28.2;27.6;27.3;30;28;27.6;27.7;26.8;27.7;27.9;27.8
51393;24.8;25;25.4;25.2;24.8;24.6;24.9;25.2;25.3;25.2;25.4;25.1;24.6;25.5;25.5;25;24.8;27.4;25.3;25.1;25.4;25.2;24.6;25.5;25.6;25;24.8;27.4;25.3;25.1;25;24.4;25.1;25.1;25.2
51395;26.7;26.8;27.2;27.1;26.5;26.6;26.9;27.1;27.1;26.9;27.1;27;26.5;27.4;27.4;26.9;26.6;29.6;27.3;26.8;27.2;27.1;26.5;27.4;27.5;26.8;26.5;29.6;27.3;26.7;26.8;26;26.8;27;27.1
51396;26.9;27;27.4;27.3;26.7;26.8;27.3;27.4;27.3;27.1;27.3;27.3;26.7;27.6;27.7;27.1;26.8;29.9;27.6;26.9;27.4;27.3;26.7;27.6;27.7;27;26.7;29.9;27.6;26.9;27;26.2;27;27.2;27.3
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;26.9;26.9;27.4;27.3;26.7;26.8;27.3;27.3;27.3;27.1;27.3;27.3;26.7;27.6;27.7;27.1;26.8;29.9;27.6;26.9;27.4;27.3;26.7;27.6;27.7;27;26.7;29.9;27.6;26.9;27;26.1;27;27.2;27.3
68769;24.8;25;25.3;25.1;24.7;24.6;24.9;25.1;25.3;25.1;25.3;25;24.6;25.5;25.5;25;24.8;27.4;25.2;25;25.4;25.1;24.5;25.5;25.5;24.9;24.7;27.4;25.2;25;25;24.4;25.1;25;25.2
