code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;18.5;17.9;18.1;18;18.2;18.3;18.4;19.2;18;18;18.1;17.8;18;18.2;18.4;18.4;18.4;19.1;18.2;18.5;18.3;18.7;18.3;18.4;19.2;18.5;18.5;18.3;19.1;19.5;18.4;18.8;18.7;18.7;18.4
51334;19.6;19.1;19.3;19.1;19.4;19.3;19.2;20.3;18.9;19.1;19.2;18.8;19.1;19;19.4;19.4;19.5;20.1;19.1;19.6;19.4;20;19.1;19.4;20.2;19.4;19.5;19.5;20.3;20.5;19.6;19.9;19.7;19.6;19.5
51336;18.4;17.9;18;17.9;18.1;18.1;18.1;19.1;17.7;17.9;18;17.6;17.8;17.9;18.1;18.1;18.3;18.9;17.9;18.4;18.2;18.7;18;18.2;19;18.2;18.3;18.2;19;19.4;18.3;18.6;18.5;18.4;18.3
51337;15.2;14.6;14.8;14.5;14.9;14.9;15;15.9;14.5;14.6;14.8;14.4;14.6;14.9;14.9;15;15;15.8;14.7;15.2;15.1;15.3;14.9;14.9;15.7;15.1;15.3;14.9;15.6;16.4;15.1;15.3;15.3;15.2;15.1
51350;20.3;19.8;20;19.9;20;20;20.1;20.9;19.7;19.9;19.9;19.5;19.9;19.8;20.2;20.2;20.3;20.9;19.9;20.3;20;20.7;19.9;20.3;21;20.2;20.2;20.2;21;21.1;20.2;20.7;20.5;20.4;20.2
51366;21.8;21.2;21.2;21.3;21.6;21.6;22.3;22.4;21.4;21.4;21.5;21.3;21.2;22;22;21.9;21.6;23.3;21.8;21.7;22.1;21.6;22;21.5;22;22.2;22.2;21.6;22;22.8;21.9;21.7;22;21.8;21.8
51368;21.8;21.2;21.2;21.3;21.6;21.6;22.3;22.4;21.4;21.4;21.5;21.3;21.2;22;22;21.9;21.6;23.3;21.8;21.7;22.1;21.6;22;21.5;22;22.2;22.2;21.6;22;22.8;21.9;21.7;22;21.8;21.8
51369;20.1;19.5;19.6;19.5;19.9;19.9;20.5;20.7;19.7;19.7;19.8;19.6;19.5;20.2;20.2;20.1;19.9;21.4;20;20;20.3;19.9;20.2;19.8;20.4;20.4;20.5;19.8;20.3;21.2;20.2;20;20.2;20.1;20.1
51371;21.7;21.1;21.2;21.3;21.5;21.5;22.3;22.3;21.4;21.3;21.4;21.2;21.1;21.9;21.9;21.8;21.6;23.2;21.7;21.6;22;21.5;21.9;21.5;22;22.1;22.1;21.5;21.9;22.7;21.8;21.6;21.9;21.7;21.7
51372;16.6;16;16.1;16;16.3;16.3;16.8;17.3;16.1;16.1;16.2;15.9;16;16.5;16.5;16.5;16.4;17.6;16.3;16.5;16.7;16.5;16.5;16.3;17;16.7;16.8;16.3;16.9;17.7;16.5;16.5;16.7;16.6;16.5
51375;21.5;20.9;20.9;20.8;21.2;21.1;21.7;22.1;21;21.1;21.1;21;20.7;21.4;21.5;21.4;21.2;22.8;21.4;21.3;21.7;21.2;21.6;21.1;21.5;21.7;21.8;21.1;21.6;22.3;21.5;21.2;21.5;21.5;21.4
51378;16.4;15.8;16;15.9;16.2;16.2;16.6;17.1;16;15.9;16.1;15.8;15.8;16.4;16.4;16.4;16.2;17.5;16.2;16.4;16.5;16.4;16.4;16.1;16.9;16.6;16.7;16.2;16.7;17.6;16.4;16.4;16.6;16.5;16.4
51382;16.7;16.1;16.2;16.1;16.4;16.4;16.8;17.4;16.2;16.2;16.3;16.1;16.1;16.6;16.6;16.6;16.5;17.7;16.4;16.6;16.8;16.6;16.6;16.4;17.1;16.8;16.9;16.4;17;17.8;16.7;16.6;16.8;16.7;16.6
51385;20.6;19.9;20.1;19.7;20.2;20.1;20.2;21.1;19.8;20.1;20.1;19.9;19.8;20.1;20.3;20.3;20.2;21.3;20.2;20.3;20.5;20.3;20.4;20;20.5;20.4;20.6;20;20.7;21.4;20.5;20.2;20.4;20.5;20.3
51386;15.3;14.7;14.9;14.7;15;15;15.2;16;14.7;14.7;14.9;14.5;14.7;15;15.1;15.1;15.1;16;14.9;15.3;15.2;15.3;15.1;15;15.8;15.3;15.4;15;15.7;16.5;15.2;15.4;15.4;15.3;15.2
