code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;554.2;537.5;544;541.1;547.2;548.4;553.2;574.6;539;540.3;543;533.4;540.5;545.7;551;551.4;552.8;574;544.6;555.5;549.8;561.8;547.6;551.5;576;555.9;554.7;550.2;571.8;585.8;551.1;563.2;561.5;559.7;553.3
51334;588.9;574;577.7;573.4;581.6;579.9;577.5;608.7;566.5;573.4;576.6;562.7;572.8;571.5;580.6;580.9;585.9;603.3;572.8;587.2;580.9;599.3;574.3;583.2;605.8;581.1;584.8;585.2;608.3;616;586.8;597.1;590.8;587.7;584.6
51336;551.7;536.3;540.6;535.5;544.4;543.4;542.4;572.1;530.4;536;539.5;526.6;535.4;536.9;543.9;544.4;548.1;567.3;536.6;550.6;545.1;560.3;539;545.3;569;545.6;549.4;547.1;569.8;581.3;549.4;558.8;553.9;551.3;547.9
51337;454.9;437.9;443.8;436.5;447.6;448;451;476.8;436.3;438.5;442.8;432.8;437.5;446.8;448.2;449.2;449;473.7;442.3;455.1;452.3;458;447.5;446.2;472.4;453.3;457.7;447.6;469.2;491;452.4;458.4;457.6;456.4;452
51350;609.5;593.6;599;598.3;601.2;601.5;602.2;627.7;590.9;596.7;597.8;585.8;596.3;593.5;605.4;604.6;609.4;625.7;597.7;609;599.8;621.2;596.9;609.5;629.9;606.4;604.5;607.5;629.6;633.9;605.7;621.6;615.9;613.2;607.1
51366;655.2;636.6;637.4;639.1;648;647.1;669.5;673;643.1;641.8;645.1;639.4;635.8;658.9;659.9;656.8;648.7;699.5;653.2;651.4;662.5;647.8;660.1;646.1;661.1;666.2;666.8;647.1;658.8;684.6;657.1;649.9;658.6;652.9;654.7
51368;655.2;636.6;637.4;639.1;648;647.1;669.5;673;643.1;641.8;645.1;639.4;635.8;658.9;659.9;656.8;648.7;699.5;653.2;651.4;662.5;647.8;660.1;646.1;661.1;666.2;666.8;647.1;658.8;684.6;657.1;649.9;658.6;652.9;654.7
51369;603.9;585.4;587.2;586.4;596.3;595.7;613.9;622.4;590.2;589.9;593;587;584.2;605.1;605.9;603.6;597;643;599.7;600.4;609.3;597.6;606.6;594.2;611.1;612.2;613.8;595;608.8;634.5;604.6;599.5;606.6;602.6;602.5
51371;652;633.5;634.9;637.8;645.4;644.5;667.8;670.3;642;638.8;642.1;637;634.2;656.1;657.3;655.1;646.6;695.8;650.6;649.1;659.6;646.3;658.2;644.7;660;664.1;663.9;645.5;657.2;681.5;654.2;648.3;657.3;651.6;652.5
51372;497;479;483.2;479.2;489.9;490.3;503;517.6;482.2;481.8;486;478.4;478.7;496.3;495.9;495.1;490.6;527.8;489.9;496.1;499.8;494.7;496.3;487.8;510.6;502.5;505.2;488.9;505.9;532.5;496.2;496.3;500.7;497.6;495.7
51375;645.5;627;626.6;623.9;636.4;634.4;649.7;662.9;629.1;633;632.8;629.5;622.2;643.3;645.6;642.4;636.9;685.1;640.9;638.4;650.7;634.6;648.7;633.6;643.6;651.5;653.7;631.9;646.7;670.3;645.8;636.8;644;645.1;641.8
51378;493.4;475.5;479.7;475.6;486.3;486.8;499.2;514.1;478.6;478.2;482.4;474.8;475.1;492.6;492.2;491.4;487;523.9;486.2;492.6;496.1;491.2;492.6;484.2;507.2;498.8;501.5;485.3;502.5;529.1;492.6;492.9;497.1;494.1;492.1
51382;500.6;482.5;486.5;482;493.1;493.4;505;521;485;485.3;489.1;481.6;481.6;498.7;498.7;497.9;493.6;530.5;492.9;499.1;502.9;497.7;499.4;490.8;512.9;505.1;508.2;491.8;509.2;535.4;499.6;499.3;503.4;500.9;498.7
51385;617.4;597.4;601.9;591.5;605.1;603.7;606.1;633.3;594.2;601.6;602.6;596.6;592.6;603.9;608.9;607.8;605.2;640;604.5;608.5;615.5;607.9;613.1;601.3;614;612.4;618.6;600;622.1;640.6;614.9;606.7;613;614.9;609.3
51386;457.8;440.7;446.3;439.6;450.6;451.1;455.8;479.6;440;441.7;445.9;436.4;440.4;451.2;452.1;452.9;452;478.8;446.3;458;456.2;460.2;451.7;449.2;475;457.6;461.6;450.4;471.3;493.9;455.6;460.8;460.9;459.4;455.3
51391;663.7;643.5;648.7;637;650.5;648.5;652.7;678.7;640.6;649.9;649.8;646.3;639.3;651;655.9;654.9;652;690.6;652;652.7;663;651.9;662.2;647.7;655.3;658.8;663.8;642.3;665.5;680.6;661.7;648.5;658.7;662.7;655.3
51393;565.5;546.3;548.9;540.7;554.7;553.5;557.5;583.4;543.8;549.8;550.8;544.4;540.6;554.6;558.4;556.8;554;589.9;554.1;558.7;564.9;556.8;561.5;550.6;565.5;563.1;568.9;550.9;570.6;593.3;563.1;558.3;561.5;563.2;558.8
51395;634;615.3;616;609.5;623.5;621.2;631;651.2;614.6;621.5;620.4;617.5;609.4;627.3;630.5;628;624.1;668.4;626.7;625.3;637.1;622.1;635.3;620.4;628.7;635.6;639.1;617;634.9;656.1;633.1;623.1;630.2;634.1;628.3
51396;641.9;623.6;622.6;618.1;632.1;629.6;641.9;659.3;623.8;629.9;628.3;626;617.1;637.3;640.1;636.9;632.6;679.6;636.4;633.5;646.4;629.6;644.5;629;636.8;645.9;648.7;626;642.1;664.8;641.6;631.8;638.4;642.5;637
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;641.3;623;622;617.4;631.5;629;641.2;658.6;623.2;629.2;627.6;625.3;616.4;636.6;639.5;636.2;631.9;678.9;635.7;632.8;645.7;628.9;643.9;628.3;636.1;645.2;648;625.4;641.5;664.2;640.9;631.2;637.8;641.8;636.4
68769;563.2;544.1;546.5;538.5;552.5;551.4;555.4;581.2;541.6;547.5;548.5;542.1;538.3;552.5;556.2;554.6;551.8;587.8;552;556.5;562.8;554.6;559.3;548.4;563.4;561;566.8;548.8;568.3;591.3;560.8;556.2;559.3;560.9;556.6
