"","CountyID","County","Year","Month","T","Phase","MUAC","CSI","PhaseNum"
"1",6,"Nyeri",2013,6,1,"noreport","noreport","noreport",NA
"2",6,"Nyeri",2013,7,2,NA,NA,NA,NA
"3",6,"Nyeri",2013,8,3,NA,NA,NA,NA
"4",6,"Nyeri",2013,9,4,NA,NA,NA,NA
"5",6,"Nyeri",2013,10,5,"noreport","noreport","noreport",NA
"6",6,"Nyeri",2013,11,6,"noreport","noreport","noreport",NA
"7",6,"Nyeri",2013,12,7,"noreport","noreport","noreport",NA
"8",6,"Nyeri",2014,1,8,"noreport","noreport","noreport",NA
"9",6,"Nyeri-North",2014,2,9,NA,NA,NA,NA
"10",6,"Nyeri",2014,3,10,NA,NA,NA,NA
"11",6,"Nyeri-North",2014,4,11,NA,NA,NA,NA
"12",6,"Nyeri",2014,5,12,NA,NA,NA,NA
"13",6,"Nyeri-North",2014,6,13,NA,NA,NA,NA
"14",6,"Nyeri",2014,7,14,NA,NA,NA,NA
"15",6,"Nyeri",2014,8,15,"Late Alert","2.6","1.3",NA
"16",6,"Nyeri",2014,9,16,"Late Alert","2.7","1.3",NA
"17",6,"Nyeri",2014,10,17,"Late Alert","2.73","1.4",NA
"18",6,"Nyeri",2014,11,18,"Alert","1.8","1.5",2
"19",6,"Nyeri",2014,12,19,"Alert","1.2","1.2",2
"20",6,"Nyeri-North",2015,1,20,"Alert","0.9","1.15",2
"21",6,"Nyeri",2015,2,21,"Alert","1.25","1.5",2
"22",6,"Nyeri",2015,3,22,"noreport","noreport","noreport",NA
"23",6,"Nyeri",2015,4,23,"noreport","noreport","noreport",NA
"24",6,"Nyeri-North",2015,5,24,"Alert","0.7","1.3",2
"25",6,"Nyeri",2015,6,25,"Alert","0.8","1.6",2
"26",6,"Nyeri",2015,7,26,"Alert","1.1","1.6",2
"27",6,"Nyeri-North",2015,8,27,"Alert","1.4","1.8",2
"28",6,"Nyeri-North",2015,9,28,"Alert","2.1","1.5",2
"29",6,"Nyeri-North",2015,10,29,"Alert","2.1","1.4",2
"30",6,"Nyeri-Kieni",2015,11,30,"Normal","0.9","1.2",1
"31",6,"Nyeri-North",2015,12,31,"Normal","1","1.3",1
"32",6,"Nyeri-North",2016,1,32,"Normal","0.3","1.2",1
"33",6,"Nyeri-North",2016,2,33,"Normal","0.95","1.1",1
"34",6,"Nyeri-North",2016,3,34,"Normal","1","1.1",1
"35",6,"Nyeri-North",2016,4,35,"Normal","0.95","1.1",1
"36",6,"Nyeri-North",2016,5,36,"Normal","0.75","0.8",1
"37",6,"Nyeri-North",2016,6,37,"Normal","0.8","0.95",1
"38",6,"Nyeri-North",2016,7,38,"Normal","1.7","1.1",1
"39",6,"Nyeri-North",2016,8,39,"Normal","2","1.8",1
"40",6,"Nyeri-North",2016,9,40,"Normal","1.6","1.6",1
"41",6,"Nyeri",2016,10,41,"Normal","1.65","1.6",1
"42",6,"Nyeri-North",2016,11,42,"Normal","1.7","1.4",1
"43",6,"Nyeri-North",2016,12,43,"Normal","0.8","1.6",1
"44",6,"Nyeri-Kieni",2017,1,44,"Alert","3.5","1.9",2
"45",6,"Nyeri-Kieni",2017,2,45,"Alert",NA,"2.5",2
"46",6,"Nyeri-Kieni",2017,3,46,"Alert","10","5.44",2
