,Year,Month,p10,p30,p50,p70,mean,County,CountyID
1,2001,12,29,41,49,58,49.51,Baringo,33
2,2002,1,23,34,43,53,44.71,Baringo,33
3,2002,2,15,24,33,44,36.24,Baringo,33
4,2002,3,9,17,25,36,28.67,Baringo,33
5,2002,4,10,21,31,41,32.96,Baringo,33
6,2002,5,16,27,38,50,39.55,Baringo,33
7,2002,6,16,28,39,50,39.99,Baringo,33
8,2002,7,17,31,43,55,43.43,Baringo,33
9,2002,8,12,23,33,46,35.93,Baringo,33
10,2002,9,5,11,19,31,25.15,Baringo,33
11,2002,10,4,9,15,24,20.08,Baringo,33
12,2002,11,3,8,13,20,17.23,Baringo,33
13,2002,12,3,8,15,25,19.97,Baringo,33
14,2003,1,15,24,32,41,35.05,Baringo,33
15,2003,2,18,31,41,53,42.56,Baringo,33
16,2003,3,10,20,30,43,32.72,Baringo,33
17,2003,4,5,10,17,28,21.64,Baringo,33
18,2003,5,15,22,27,34,28.95,Baringo,33
19,2003,6,38,50,58,65,56.64,Baringo,33
20,2003,7,45,61,70,78,67.55,Baringo,33
21,2003,8,37,53,64,74,62.53,Baringo,33
22,2003,9,39,52,61,70,60.79,Baringo,33
23,2003,10,38,52,61,69,59.7,Baringo,33
24,2003,11,24,37,47,58,47.85,Baringo,33
25,2003,12,11,20,29,42,33.9,Baringo,33
26,2004,1,13,22,29,38,32.6,Baringo,33
27,2004,2,16,27,35,44,36.55,Baringo,33
28,2004,3,10,18,26,37,29.55,Baringo,33
29,2004,4,15,22,29,37,31.85,Baringo,33
30,2004,5,36,46,53,59,52.19,Baringo,33
31,2004,6,39,52,60,68,59.11,Baringo,33
32,2004,7,25,38,48,60,49.7,Baringo,33
33,2004,8,18,29,41,54,42.74,Baringo,33
34,2004,9,16,29,40,52,41.4,Baringo,33
35,2004,10,21,32,41,52,43.02,Baringo,33
36,2004,11,23,34,42,52,43.57,Baringo,33
37,2004,12,29,41,51,60,50.86,Baringo,33
38,2005,1,20,32,42,53,43.47,Baringo,33
39,2005,2,15,23,32,42,34.03,Baringo,33
40,2005,3,7,15,23,33,25.38,Baringo,33
41,2005,4,9,18,26,36,28.46,Baringo,33
42,2005,5,18,26,34,44,36.87,Baringo,33
43,2005,6,32,43,50,58,51.05,Baringo,33
44,2005,7,41,55,63,70,61.38,Baringo,33
45,2005,8,40,54,64,72,62.01,Baringo,33
46,2005,9,37,51,61,69,59.45,Baringo,33
47,2005,10,44,54,62,69,61.05,Baringo,33
48,2005,11,35,45,54,62,53.94,Baringo,33
49,2005,12,18,26,34,44,37.27,Baringo,33
50,2006,1,5,8,12,18,16.46,Baringo,33
51,2006,2,2,4,6,9,9.56,Baringo,33
52,2006,3,3,6,9,13,11.39,Baringo,33
53,2006,4,10,15,20,27,22.72,Baringo,33
54,2006,5,17,27,36,46,37.69,Baringo,33
55,2006,6,13,22,31,44,35.58,Baringo,33
56,2006,7,9,16,24,35,29.23,Baringo,33
57,2006,8,13,22,33,44,35.65,Baringo,33
58,2006,9,24,36,46,58,47.65,Baringo,33
59,2006,10,20,31,41,52,42.46,Baringo,33
60,2006,11,20,29,37,46,38.48,Baringo,33
61,2006,12,28,38,46,54,46.48,Baringo,33
62,2007,1,50,64,71,78,69.31,Baringo,33
63,2007,2,65,79,85,90,82.26,Baringo,33
64,2007,3,57,71,79,86,76.62,Baringo,33
65,2007,4,34,46,56,67,56.55,Baringo,33
66,2007,5,33,44,52,61,53.32,Baringo,33
67,2007,6,36,47,55,62,54.45,Baringo,33
68,2007,7,39,59,69,76,65.08,Baringo,33
69,2007,8,48,69,79,86,74.01,Baringo,33
70,2007,9,58,74,82,88,78.49,Baringo,33
71,2007,10,66,79,85,90,82.5,Baringo,33
