COUNTY,YEAR,MONTH,VCI3M
Kajiado,2001,1,
Kajiado,2001,2,
Kajiado,2001,3,68.99
Kajiado,2001,4,66.21
Kajiado,2001,5,59.77
Kajiado,2001,6,56.56
Kajiado,2001,7,44.85
Kajiado,2001,8,42.62
Kajiado,2001,9,43.1
Kajiado,2001,10,44.54
Kajiado,2001,11,42.14
Kajiado,2001,12,50.86
Kajiado,2002,1,43.32
Kajiado,2002,2,48.19
Kajiado,2002,3,50.64
Kajiado,2002,4,57.83
Kajiado,2002,5,54.17
Kajiado,2002,6,60.64
Kajiado,2002,7,51.06
Kajiado,2002,8,45.07
Kajiado,2002,9,49.41
Kajiado,2002,10,49.07
Kajiado,2002,11,41.6
Kajiado,2002,12,46.82
Kajiado,2003,1,63.53
Kajiado,2003,2,71.47
Kajiado,2003,3,53.85
Kajiado,2003,4,38.4
Kajiado,2003,5,37.34
Kajiado,2003,6,69.19
Kajiado,2003,7,80.36
Kajiado,2003,8,75.93
Kajiado,2003,9,70.34
Kajiado,2003,10,65.95
Kajiado,2003,11,50.42
Kajiado,2003,12,32.93
Kajiado,2004,1,24.5
Kajiado,2004,2,30.01
Kajiado,2004,3,44.8
Kajiado,2004,4,48.47
Kajiado,2004,5,58.23
Kajiado,2004,6,52.04
Kajiado,2004,7,39.74
Kajiado,2004,8,32.52
Kajiado,2004,9,34.21
Kajiado,2004,10,38.63
Kajiado,2004,11,29.59
Kajiado,2004,12,24.23
Kajiado,2005,1,23.91
Kajiado,2005,2,26.21
Kajiado,2005,3,26.22
Kajiado,2005,4,34.21
Kajiado,2005,5,48.44
Kajiado,2005,6,50.7
Kajiado,2005,7,41.01
Kajiado,2005,8,34.77
Kajiado,2005,9,31.73
Kajiado,2005,10,26.89
Kajiado,2005,11,23.33
Kajiado,2005,12,18.93
Kajiado,2006,1,10.14
Kajiado,2006,2,6.55
Kajiado,2006,3,10.38
Kajiado,2006,4,37.41
Kajiado,2006,5,72.43
Kajiado,2006,6,70.17
Kajiado,2006,7,45.65
Kajiado,2006,8,42.34
Kajiado,2006,9,43.3
Kajiado,2006,10,44.84
Kajiado,2006,11,41.74
Kajiado,2006,12,58.32
Kajiado,2007,1,83.63
Kajiado,2007,2,90.42
Kajiado,2007,3,84.68
Kajiado,2007,4,61.72
Kajiado,2007,5,53.65
Kajiado,2007,6,48.76
Kajiado,2007,7,38.89
Kajiado,2007,8,41.09
Kajiado,2007,9,47.79
Kajiado,2007,10,54.44
Kajiado,2007,11,42.23
Kajiado,2007,12,29.08
Kajiado,2008,1,27.83
Kajiado,2008,2,30.76
Kajiado,2008,3,34.2
Kajiado,2008,4,49.13
Kajiado,2008,5,57.47
Kajiado,2008,6,39.84
Kajiado,2008,7,24.29
Kajiado,2008,8,21.02
Kajiado,2008,9,28.48
Kajiado,2008,10,33.4
Kajiado,2008,11,33.52
Kajiado,2008,12,38.09
Kajiado,2009,1,25.87
Kajiado,2009,2,16.95
Kajiado,2009,3,10.21
Kajiado,2009,4,6.64
Kajiado,2009,5,6.86
Kajiado,2009,6,11.6
Kajiado,2009,7,13.12
Kajiado,2009,8,11.06
Kajiado,2009,9,8.62
Kajiado,2009,10,7.11
Kajiado,2009,11,12.17
Kajiado,2009,12,18.87
Kajiado,2010,1,32.18
Kajiado,2010,2,51.17
Kajiado,2010,3,67.85
Kajiado,2010,4,77.34
Kajiado,2010,5,74.84
Kajiado,2010,6,61.23
Kajiado,2010,7,47.17
Kajiado,2010,8,43.86
Kajiado,2010,9,44.72
Kajiado,2010,10,44.81
Kajiado,2010,11,40.25
Kajiado,2010,12,41.09
Kajiado,2011,1,40.54
Kajiado,2011,2,28.42
Kajiado,2011,3,37.98
Kajiado,2011,4,50.02
Kajiado,2011,5,46.29
