"","Yield0","Year","ID1","SeasPr","I.SeasPr.2.","CVPrec","Spell","Spell4","AvgTempK","CVTempK","Yield0lag"
"1-1981",2.8,"1","1",0.668887042987695,0.447409876276823,-0.488395592380098,0.816250902746546,-1.32435059754606,-1.11131942660434,1.75743167539565,NA
"1-1982",2.7,"2","1",-0.556891405319476,0.310128037318701,0.585307779875935,-0.252790758924378,1.57320085927913,-0.972476624409809,1.97402089814013,2.8
"1-1983",1.62,"3","1",-0.743107964056253,0.55220944624383,0.585307779875935,1.20499332517234,0.971112244873897,-0.805865261776377,2.29890473225685,2.7
"1-1984",2.3,"4","1",-1.65016281467733,2.7230373149438,0.823908529266165,2.96821788403217,-0.496478752738862,-0.972476624409809,2.29890473225685,1.62
"1-1985",2.5,"5","1",-0.189051865196165,0.035740607734149,0.46600740518082,1.20499332517234,0.256132015267681,-1.11131942660434,1.75743167539565,2.3
"1-1986",2.5,"6","1",-0.171030907899058,0.0292515714567761,0.46600740518082,2.78773033076306,-0.38358713753788,-1.05578230572653,2.84037778911804,2.5
"1-1987",1.04,"7","1",-0.589399798875043,0.347392122913941,1.42041040274174,1.37159722049768,-0.12017336873559,-0.861402382654188,3.38185084597923,2.5
"1-1988",1.7,"8","1",0.0109454255913407,0.000119802341375575,0.227406655790591,0.844018218634103,0.0679793232660454,-0.972476624409809,2.19061012088461,1.04
"1-1989",1.16,"9","1",-0.115554627592276,0.0133528719579896,0.346707030485706,0.982854798071885,0.218501476867354,-1.16685654748217,1.64913706402341,1.7
"1-1990",1.2,"10","1",0.196455280120388,0.0385946770871801,0.346707030485706,2.66277740926905,-0.195434445536244,-1.13908798704326,0.999369395789981,1.16
"1-1991",1.2,"11","1",-0.549471011138314,0.301918392081361,2.01691227621731,1.01062211395944,-0.458848214338534,-1.00024518484872,2.08231550951237,1.2
"1-1992",1.28,"12","1",-0.476680477742155,0.227224277860489,1.06250927865639,1.57985208965435,1.19689547527586,-0.972476624409809,3.38185084597923,1.2
